HGNC.approved.symbol,logFC,logCPM,F,PValue
FOXP2,11.3948682831211,4.89222459474785,20.587592672103,5.69937703163423e-06
KDM4D,9.61987812713533,6.08653611188533,13.9748284837373,0.000185320806414269
PAF1,9.54172905867178,11.4919454899906,11.926211686789,0.000553598889424581
YEATS4,9.37886379372759,2.93464934499643,16.5460907636441,4.74980761788292e-05
PCGF1,8.28240107318199,3.97999053674804,12.0772594323196,0.000510502682751959
CCDC101,8.23478894170196,6.69028198164432,12.0778210762457,0.000510348925314387
CHD9,8.09006491325417,11.0195220880466,9.96263721817754,0.00159770315913013
EYA2,8.01840411248084,1.6874931902483,14.8859035975877,0.000114245388973595
SUPT3H,7.99460222257287,1.66685569622469,14.8566644985095,0.000116029979945241
CDC6,7.75647469537524,1.45883277301246,14.5318643385966,0.000137845843338707
HR,7.7527341855475,1.45788071708402,14.5264859661427,0.00013823989982635
ACTL6B,7.74312925526871,1.40147352171336,14.5055140663143,0.000139787309453588
PRMT7,7.72310642442868,1.43268137134481,14.4816498631093,0.000141569353656735
DNMT3A,7.61335870907506,1.33912504869601,14.3080307796877,0.000155241852877885
EPC1,7.46223177504841,7.11374630006761,10.6935116603162,0.00107528231801832
GATAD2B,7.25657556591374,6.42307921987271,10.3698933144246,0.00128105297311119
KDM8,6.9633523610455,0.809356584511283,13.4815363306985,0.00024097868561052
PRKAA2,6.88806324866072,1.34097659014244,10.4003458499053,0.00126009859620458
SP140,6.86507456772603,0.735995504300357,13.3622394788894,0.000256800472555934
BAZ1B,6.78047722430554,6.64895889896263,9.45806050503021,0.00210248662745669
C14orf169,6.70824191291755,0.613504183789683,13.15336998481,0.00028706655525166
ZNF711,6.28271747148556,2.86458029182934,7.2931797309279,0.0069222088380552
ZNF541,6.17864720812105,0.233628896152079,12.7285268200099,0.000360195574221704
HIF1AN,6.02922494198827,6.64969304086854,7.87571469884024,0.00501074099229829
SRCAP,5.95114204946568,5.9761527116023,7.89044919381396,0.00497008438042966
DPY30,5.76659285527613,7.08760045722768,7.4556268874305,0.00632434188416736
PITX2,5.75146111545093,0.432616871583078,8.64824236012018,0.00327410646051227
CECR2,5.70983542278092,3.42521346795858,6.67899633223363,0.00975618358157489
SUPT6H,5.53045764229561,7.80469573465559,6.94101660837657,0.0084247044209602
DR1,5.46007282120209,6.85521063962734,6.88315985346536,0.00870175249518922
SOX2,5.38816599553109,-0.248755547279171,12.2075325577672,0.000476061712557242
TRIM16,5.3607404433833,3.18097188739138,6.48959555628434,0.0108514315322722
CXXC1,5.11766198745689,6.34784311174111,6.25279538687465,0.0124004591940248
EXOSC4,5.11292323314591,5.81737044287307,6.27760174048673,0.0122280535787806
SAP30,5.10099896667066,-0.40451040399576,12.039122675711,0.000521053259691606
ING1,5.05788909934818,4.25932412426988,6.02594145457605,0.0140978687742943
SMYD3,4.9396402814756,5.4088929721591,5.97989543636927,0.0144706281265638
RB1,4.76282284958394,5.67817674166269,5.65430814430884,0.0174133804988106
RPS6KA4,4.6130328273893,1.99776437763235,5.25383190697134,0.0218994228252178
TDRKH,4.58770866053338,3.27875778340123,4.95963508748811,0.0259466766842966
USP11,4.53645667585102,4.71245028519995,5.21214079715962,0.0224306369996536
NSD1,4.49227551865176,5.86134176002896,5.14714409768023,0.0232855906554436
TADA2B,4.46991674126351,4.8456530367903,5.16866663246012,0.0229988082716746
HIRIP3,4.43955417502011,4.96164986380547,5.05349406967151,0.0245773038891189
SETD1A,4.41954289347449,3.28510684405258,4.69965384263847,0.0301697475808024
INO80D,4.36095673612629,4.48616687974548,4.88719791857925,0.0270575761957946
TAF1L,4.33390420604187,-0.120972559523619,5.95737400926014,0.0146566269580404
SETD5,4.26564097335911,4.97369839658037,4.75158903259811,0.0292722951038752
ZHX1,4.22847888125838,4.13403581353807,4.54387841212038,0.0330377491558414
PRMT1,4.21048894393248,6.95101020017743,4.57022165101351,0.0325334402294324
SIN3A,4.20665406328574,4.46679639602951,4.61524472765774,0.0316900470852597
BRE,4.20174233251422,4.36015402463571,4.5834154490129,0.0322838882438565
PCDHGB7,4.06064013138408,-0.326274454887307,5.77248878086751,0.0162797764959637
WHSC1L1,4.05269904913736,6.40528520919202,4.29121857445621,0.038310846173511
MGA,4.03151144154518,0.832837115974999,4.39215809601193,0.0361057097319732
HDAC10,4.01434977821615,-0.0055237673793042,5.00984934884447,0.0252044836186277
KAT6B,3.99204262602778,5.33550606886751,4.24957953481467,0.0392612063067308
FHIT,3.95875912382528,3.52462642970506,3.80617273378612,0.0510652562751244
PHC1,3.94353697945229,9.28368998852231,3.82979241159642,0.0503504144725899
SCML2,3.93425300973113,1.89193623230375,3.85155536025908,0.0497011240459382
USP46,3.92778927468408,3.18809555269841,3.74712129975966,0.0528998042133138
ASH2L,3.88930736268125,7.06290491735275,4.0154344795283,0.0450868130630857
RUVBL1,3.88702942938679,5.53383835593307,4.08346961374924,0.0433058434490578
HDAC11,3.7975383023169,4.14027076301898,3.79488844546665,0.0514105520279611
VPS72,3.78691935711902,4.49820197012289,3.84493863290673,0.0498975907394398
EID2,3.71304626770646,-0.974554893870913,9.93862480949883,0.0845247663776895
EHMT1,3.68843693308938,3.68749487630728,3.54876703847164,0.0595910138292064
BRMS1L,3.67192714273432,-0.714260667600542,5.97545585990669,0.0145071002356587
CHAF1B,3.65270706661033,4.50205493404974,3.61204568091484,0.0573638075737284
PRDM11,3.62785131855898,-0.975204539453247,10.2200676136007,0.00138940131250908
RCC1,3.62785131855898,-0.975204539453247,10.2200676136007,0.00138940131250908
