Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
p53 signaling pathway	1/73	0.0036499451652557326	0.010319874817675267	0	0	19927.0	111851.11054552946	CDK1
Gap junction	1/88	0.004399938226282216	0.010319874817675267	0	0	19912.0	108045.79305232369	CDK1
Progesterone-mediated oocyte maturation	1/100	0.004999933071055651	0.010319874817675267	0	0	19900.0	105436.78197328729	CDK1
Cell cycle	1/124	0.006199923609750122	0.010319874817675267	0	0	19876.0	101034.04709010695	CDK1
Oocyte meiosis	1/129	0.006449921761047041	0.010319874817675267	0	0	19871.0	100223.10990746199	CDK1
Cellular senescence	1/156	0.007799912380841398	0.010399883174455197	0	0	19844.0	96315.68729804519	CDK1
Viral carcinogenesis	1/203	0.010149898020491144	0.010599895502625587	0	0	19797.0	90874.00321672155	CDK1
Human immunodeficiency virus 1 infection	1/212	0.010599895502625587	0.010599895502625587	0	0	19788.0	89974.27756224656	CDK1
