Row.names,logFC,logCPM,PValue
UBE2T,8.93000184654097,6.50172242182648,0.0355830757952122
KMT2A,-2.67548214176916,8.19817306812696,0.0399811787246726
JARID2,-2.80130132754295,7.39228263144694,0.0388758364344656
STK4,-2.80980376329831,6.95752885116374,0.0497202418777896
UIMC1,-2.8555201874388,7.33133895786009,0.0363001579440283
NAP1L1,-2.9501250614344,9.36843340910333,0.0226993302647725
CHD9,-3.05056079628312,7.3022048872609,0.0265419684458359
EP300,-3.13154043689235,6.60999245418198,0.0399688825227927
CTR9,-3.35319011016098,6.63621881573604,0.0278745387626316
PRKAB2,-3.48328430196526,6.78266300902703,0.0204021677743868
USP12,-3.70309062082145,6.37295936692473,0.0226798114281401
HDAC5,-3.73293580348233,7.59110868605772,0.00600639007644819
TLE4,-3.98765000023624,5.88831252504727,0.0309149749655955
JAK2,-4.0604750106486,7.34144865433545,0.00369614751880559
ZMYND8,-4.0686083919408,7.93007708214786,0.00245876616020533
TLK1,-4.15419038447984,7.88307072689369,0.00203112782238393
ACTR3B,-4.31086002197973,6.14230012363595,0.013290043860022
ZBTB16,-4.38128562477864,6.72410882905577,0.00452350734029623
ARRB1,-4.43165728889921,7.64201161406541,0.00127591465005494
KDM3A,-4.54819295528493,5.78647323605929,0.0192710738899355
KAT6A,-4.60246962638407,6.67195259246576,0.00344856232969487
ATF7IP,-4.70163823489809,8.60449532602328,0.000479939585889075
TET2,-4.78720558344551,6.73750259563077,0.00220039930009504
MAX,-4.81376223050889,8.40947597071345,0.000382170257700468
MBD5,-5.42139563778972,5.61533057948181,0.0105556674408125
PRKCD,-6.52691491844733,7.84084334345544,5.79425809981954e-06
CDH1,-7.77785212736769,6.8266366290924,6.58265827819206e-06
APOBEC3C,-8.83003727478096,4.74239755405925,0.0102041754871843
VDR,-8.90558443659282,4.80814507809449,0.00843647612338467
PRKCB,-11.3325169001067,7.07841919705742,5.59727057858203e-09
PADI4,-12.3519142930257,8.07851188482727,2.48885268967497e-11
GFI1B,-12.8808291474718,8.60159953069112,3.99113373332768e-12
