Geneid,logFC,logCPM,PValue
CCL2,-8.81611030301922,7.73845398112549,0.00514674518925995
CYP27B1,-8.86268302891138,6.75361587741846,0.021243219416918
KRT4,-9.0410834525335,6.92315161380997,0.0143060383071375
PLAU,-10.8599660062783,8.69230630412313,0.00033819922415809
