,Br61.CTC.18,Br61.CTC.22,Br61.CTC.23,Br61.CTC.34,Br61.CTC.38,Br61.CTC.45,Br61.CTC.10,Br61.CTC.13,Br61.CTC.20,Br61.CTC.35,Br61.CTC.4,Br61.CTC.6
RP11-598F7.4-2,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R7-2,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R8-2,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R9-2,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R10-2,0,0,0,0,0,0,0,0,0,0,0,0
PRH1-PRR4-2,0,0,0,0,0,0,0,0,0,0,0,0
PRR4-2,0,0,0,0,0,0,0,0,0,0,0,0
PRH1-2,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R13-2,0,0,0,0,0,0,0,0,0,0,0,0
PRH2-2,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R14-2,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R50-2,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R20-2,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R19-2,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R31-2,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R46-2,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R43-2,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R45,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R30-2,0,0,0,0,0,0,0,0,0,0,0,0
LOC100129361-2,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927786-2,0,0,0,0,0,0,0,0,0,0,0,0
PIWIL1-2,0,0,0,0,0,0,0,0,0,0,0,0
DNAH10-2,0,0,0,0,0,0,0,0,0,0,0,0
CCDC92-2,0,0,0,0,0,0,0,0,0,0,0,0
OVOS2-2,0,0,0,0,0,0,0,0,0,0,0,0
FAM60A-2,0,0,0,0,0,0,0,0,0,0,0,0
FLJ13224-2,0,0,0,0,0,0,0,0,0,0,0,0
PRB1-2,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R7-3,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R8-3,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R9-3,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R10-3,0,0,0,0,0,0,0,0,0,0,0,0
PRR4-3,0,0,0,0,0,0,0,0,0,0,0,0
PRH1-PRR4-3,0,0,0,0,0,0,0,0,0,0,0,0
PRH1-3,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R13-3,0,0,0,0,0,0,0,0,0,0,0,0
PRH2-3,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R14-3,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R50-3,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R20-3,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R19-3,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R31-3,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R46-3,0,0,0,0,0,0,0,0,0,0,0,0
LOC101929789,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R43-3,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R30-3,0,0,0,0,0,0,0,0,0,0,0,0
LOC100129361-3,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R42-2,0,0,0,0,0,0,0,0,0,0,0,0
PRB3-2,0,0,0,0,0,0,0,0,0,0,0,0
PRB4-2,0,0,0,0,0,0,0,0,0,0,0,0
PRB1-3,0,0,0,0,0,0,0,0,0,0,0,0
FAM230C,0,0,0,0,0,0,0,0,0,0,0,0
LOC101060157,0,0,0,0,0,0,0,0,0,0,0,0
LOC102724148,0,0,0,0,0,0,0,0,0,0,0,0
LINC00417,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD20A9P,0,1.14262491429794,0.938539453487952,0,0,0,0,1.57054010331741,2.07338377137902,0,0.855319487273501,0.991642860253225
RNU6-55P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-76P,0,0,0,0,0,0,0,0,0,0,0,0
LINC00408,0,0,0,0,0,0,0,0,0,0,0,0
LINC00442,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-52P,0,0,0,0,0,0,0,0,0,0,0,0
TUBA3C,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928697,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD26P3,0,0,0,0,0,0,0,0,0,0,0,0
LINC00421,0,0,0,0,0,0,0,0,0,0,0,0
TPTE2,0,0,0,0,0,0,0,0,0,0,0,0
MPHOSPH8,3.95692831956696,5.17100199788564,4.83276895524329,3.8361760175646,4.47133902707739,4.02730704228031,3.61574636118298,2.30460383552026,3.08525953461191,3.00301237132416,3.8018363395028,6.09200582226004
PSPC1,4.95547021364979,5.85219139010509,6.61703713995219,4.6889629833946,6.20869984723396,0,7.44274594009483,7.21686142054278,2.40007390882571,6.13267609756597,5.2865296532498,0.991642860253225
ZMYM5,5.41450391114083,0,4.20282141007081,5.52858630708199,5.0853520604343,3.34815272185581,0,6.28236930168018,0,0,0,0
LOC102724812,3.12911856065082,0,0,0,1.74570729082727,0,0,0,0,0,0,0
ZMYM2,7.17349274463907,0,6.46067312381456,6.33440673444082,5.7431799554168,5.23778356737849,6.82766716328167,7.27307190016949,6.45344541549344,6.23221504559978,5.09489195165186,4.73874886645451
GJA3,0,0,0,0,0,0,0,0,0,0,0,0
GJB2,0,0,0,0,0,0,0,5.86132534654727,0,6.47913699726486,0,0
GJB6,0,0,0,0,0,0,0,0,0,0,0,0
CRYL1,3.95692831956696,3.04385920024338,4.12916472519802,0,4.47133902707739,0,5.91563094877779,0,5.90271645047161,0,0,6.392826311781
MIR4499,0,0,0,0,0,0,0,0,0,0,0,0
IFT88,0,0,2.89066238575048,3.30085528456345,3.84167356133937,0,0,0,0,0,0,6.04957784896967
IL17D,0,0,0,0,0,0,0,0,0,0,0,3.15503422900324
N6AMT2,0,0,0,0,0,0,0,0,4.48487992985528,0,5.34514115082994,0
XPO4,2.95984011779028,3.83653614959722,0,2.18332719684351,5.24309571789113,0,0,2.78878521854311,1.04933488767123,0,6.92558106503224,5.02814198799467
LINC00367,0,0,0,0,0,0,0,0,0,0,0,0
LATS2,5.59880112432796,0,5.30365846329056,2.44028728818443,6.2977149858689,4.61287053411608,4.35381908515749,3.68043162641402,4.48487992985528,4.00322730021153,0,0
SAP18,5.1647264248613,7.212904686014,6.30213424335417,6.16671480109327,5.56338130306023,4.7284401894904,7.16259621255018,6.71998316911956,6.38123689101134,7.46285428096478,6.00257717844773,8.41373845020771
SKA3,2.95984011779028,0,0,6.62065906993747,0,0,0,0,6.53890273176521,0,4.16931143672517,0
MRP63,6.04216051944777,5.30926189491094,5.57730599435298,6.11235545300286,5.01708588621377,0,5.52466604620375,4.62304197379457,4.84844583910103,0,5.48202879243347,6.49121693879327
LOC101928764,0,0,0,0,0,0,0,0,0,0,0,0
MIPEPP3,0.977188561206484,4.72051355606615,0,0,1.74570729082727,0,5.70532503418614,0,0,0,0,0
LINC00539,0,0,0,0,0,0,3.7314365541753,0,0,0,0,4.79119399326396
LOC102724879,0,0,0,0,0,0,0,0,0,0,0,0
ZDHHC20,5.90896045951133,5.39458282782152,4.33973073750281,3.30085528456345,0,0,0,2.30460383552026,0,4.95752759695321,0,4.23205167550251
MICU2,4.54091891343743,6.64445530172337,5.19955029763702,7.00575862140735,3.14491230150727,4.98237567708231,5.28060463259662,5.33639685262802,4.67808524667181,0,4.95134981399727,0
RNU6-59P,0,0,0,0,0,0,0,0,0,0,0,0
FGF9,0,0,0,0,0,0,0,3.68043162641402,0,0,0,0
LINC00424,0,0,0,0,0,0,0,0,0,0,0,0
LINC00540,0,0,0,0,0,0,0,0,0,0,0,0
BASP1P1,0,0,0,0,0,0,0,0,0,0,0,0
SGCG,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-58P,0,0,0,0,0,0,0,0,0,0,0,0
SACS,0,0,0,4.2257370354029,0,0,0,0,0,0,5.22543577585606,0
SACS-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LINC00327,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928839,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF19,0,4.06192364824904,5.46203879626036,0,0,0,0,0,0,0,5.67716655074129,0
MIPEP,0,0,5.68404115736608,0,3.7604862539382,0,0,0,0,0,5.58289443145416,3.15503422900324
C1QTNF9B-AS1,0.977188561206484,4.1626556138888,4.52344194986562,0,0,0,0,0,0,0,0,0
C1QTNF9B,0.977188561206484,3.83653614959722,3.58484749498704,0,0,0,0,0,0,0,0,0
ANKRD20A19P,0,0,0,0,0,0,0,0,0,0,0,0
SPATA13,5.41450391114083,6.82435539407708,7.18805210508597,4.29244986055355,6.90043385702915,5.58308484681712,6.40818991544755,7.23584263240826,5.68004437124643,6.25132447174089,6.19012457553014,3.68497314292479
MIR2276,0,0,0,0,0.835544763064257,0,0,0,0,0,0,0
SPATA13-AS1,0,0,0,0,0,0,0,0,0,0,0,0
C1QTNF9,0,0,0,0,0,0,0,0,0,0,0,0
PARP4,1.96564614263482,0,0,0,6.28325532946285,0,0,0,5.00079731066783,0,3.30753823492077,0
LOC101927375,0,0,0,0,0,0,0,0,0,0,0,0
TPTE2P6,0,0,0,0,0,0,0,0,0,0,0,0
ATP12A,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928867,0,0,0,0,0,0,0,0,0,0,0,0
RNF17,0,0,0,0,0,0,0,0,0,0,0,0
CENPJ,3.28060419852085,0,0,0,0,0,0,3.68043162641402,5.09410264078995,0,1.38864071425221,0
LOC101928898,0,0,0,0,0,0,0,0,0,0,0,0
TPTE2P1,0,0,0,0,0.835544763064257,0,0,0,0,0,0,0
