X,logFC,logCPM,PValue
CDH1,-7.96288149561881,6.35778139425594,0.000167176049556482
ELP6,8.51098083585352,6.06148430741904,0.0883534859658167
EZH1,-8.08766224446607,3.80115258708148,0.021358631774877
FOXP2,-6.38208122040584,3.96740364064653,0.0467197744254383
PRMT9,-7.48104221054869,3.36999237762788,0.0421552985190722
RNF20,8.65670277426405,6.2006238118489,0.0710870278840937
