,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_CL.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_CL.1,Patient.5_SC.1,Patient.5_SC.2,Patient.6_CL.1,Patient.6_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1
EXOSC2,0,0,2.72738957015318,9.51389730901527,7.68491575537423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11191956130249,0,0.605906972748426,7.34528990734733,0,0,0,0,0
DICER1,0,0,6.97038429903575,9.31389253310986,8.6910542091478,7.52647109999157,0,0.642142248560006,0,6.82040135002274,0,5.35898327978935,2.6186210330242,8.08096503389596,6.34076875872631,2.04582942277881,0,0,0,2.51148001502746,5.91235873369175,0,0,0,6.90503483065261,0,0,0,10.3217967052666
COTL1,9.41938235681463,4.25949802068945,6.36679704201865,8.45281010453484,3.2116998741224,0,5.16994007540847,0.642142248560006,2.61866088422396,5.8676057927526,1.15362755386286,0,0,9.14714613064194,0,0,0,4.3439398932939,6.43738070309256,3.37907952609912,8.81145013700395,1.54872100336129,4.59849135341471,1.76561036054623,0,0,0,1.22422793839013,9.44428836042709
SIRT5,0,0,0,0,2.48319449977522,0,0,0,0,0,3.51224832707308,0,0,0,6.34076875872631,3.37675125567388,0,0,0,0,0,0,0,6.08331890730497,0,0,0,0,0
SIRT4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761288961885244,0,0,0,0
SIRT3,12.3393444428159,5.3065215307387,1.26642114770696,0.77533276569841,6.69830257046117,8.26030331823165,2.06414213445011,4.99256296391007,1.19247782045769,3.887062049119,5.74586147116828,9.72006403454977,0,2.71422935309552,6.34076875872631,2.50935605588115,7.68303075309593,4.3439398932939,0,4.30802510407008,0,0,11.420296107361,8.91956616681442,3.11187391903485,2.25664244173703,3.81807862108044,0,13.043938719231
SIRT1,7.75999399566849,2.46942978306514,7.96055557496494,0,7.63246955853036,5.95707420438286,0,4.99256296391007,0,6.41661890448257,0,5.4121285207231,1.83625290352412,0,0,0,9.99933169779167,0,4.88533337994384,0,6.11932478562893,0,0,3.2327564804615,0,0,0,0,0
COMMD3,7.71259929856369,3.86935279501855,8.02814653101623,9.57574214153732,4.96822233332007,7.52647109999157,0,1.69714186803903,0,9.42858422013608,7.14191408324105,8.92055651924156,1.83625290352412,9.61454702724232,7.33184133868637,0,0,8.73391266003363,6.84825049696208,3.37907952609912,0,5.19468466884211,1.20466541559263,9.2859714943516,0,0,4.25663152728784,2.9413917072078,0
NCS1,0,0,0,4.285491337975,0,0,0,0,0,0,0,2.02858807362061,0,0,0,0,0,0,0,0,0,0,0,1.92607834906031,0,0,0,0,0
ZFPM2,0,2.46942978306514,0,0,0,8.52255331559204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNH3,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26852342446066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLYCD,0,0,0,0.77533276569841,4.7881522499979,0,0,0,0,1.40894541858213,0,0,0,0,7.33184133868637,0,0,0,0,0,0,0,0.334531230128682,6.46281265513779,0.761288961885244,0,0.470328647579054,0,0
CRB1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57752782406616,0,0,7.68303075309593,0,7.16767217722684,0,0,0,0,0,0,0,0,1.22422793839013,0
FNTB,4.03666595467388,0,7.78319431298126,1.27689537498251,7.09701776114327,5.95707420438286,0,4.55002599606411,0,8.2528890699147,0,0,0,0,7.33184133868637,0,0,4.3439398932939,0,0,9.0097427533191,0,9.88085713226563,7.37340666948243,0.761288961885244,1.8152421216173,0,0,7.72302444164876
NOMO1,0,0,6.08253081137773,5.95875667117104,5.08990740323522,0,0,5.53643315315194,2.27987178534254,4.94475245712758,7.62173053206194,2.02858807362061,0,1.25737674937938,0,8.4826792012148,7.68303075309593,0,0,0,0,0,0,5.46607916001028,0,1.8152421216173,0.470328647579054,0,0
ITGB3BP,0,0,0,0,5.20212244534138,0,0,0,7.95306886520788,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334531230128682,6.40269161102124,0.761288961885244,10.7798283641667,0,0,0
TMED3,1.26368182533138,19.527113857118,9.28633048264287,7.24655987391308,9.23033084902034,7.52647109999157,4.32848567368208,8.70195728626667,4.03785587076863,9.73078208592509,0.689176506931713,11.7247009060709,3.12307704366113,1.91884921017826,6.34076875872631,1.3587073609411,9.26330548750524,8.85916114119723,7.16767217722684,5.43690891730807,5.33932376824206,3.40978236048397,5.39135243211549,10.7275170326081,1.62527656915657,7.12469287368306,12.5703861235027,10.1251728848186,12.312723632134
TDRD7,0,0,5.23061254641119,0,4.05402894545957,0,0,3.05109063630687,0,0,5.57105730122821,0,0,0,0,5.48566777281237,0,0,0,0,0,0,0,3.98195299277013,0,0,0,0,0
GRIP1,0,0,0,0,2.89295017843486,0,0,0,0,0,0,0,0,0,0,0,7.68303075309593,0,0,0,0,0,0,0,0,0,0,0,0
SLC7A8,11.7832885630626,5.13080172931754,0,0,6.68548866817569,0,0,0,0,6.51564988571984,7.43013149711395,2.83998115155058,1.83625290352412,0,0,0,8.67951635713667,4.3439398932939,4.88533337994384,0,1.11191956130249,0,0,3.86799624625714,0,0,0,0,0
RYBP,1.26368182533138,2.46942978306514,0.767926212721523,7.11943347431139,7.76627265003519,8.93660970414527,2.06414213445011,3.47139649414148,2.27987178534254,8.01818380088007,4.1815925103009,11.0644983817397,3.49611143387096,7.24017610953933,7.33184133868637,1.3587073609411,10.8467020084422,6.60788420910958,6.84825049696208,15.0376646815017,10.5125352314327,14.5733394953215,0,2.20171769404708,4.40293535108846,0,0,2.9413917072078,12.3693539515899
TPSD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP4E1,0,0,0,0,7.82002409146687,0,0,0,0,6.25923412602132,0,2.49059073525872,1.83625290352412,0,0,1.3587073609411,0,0,4.88533337994384,0,0,0,0,1.13756195323953,0,0,0,0,0
GPR161,0,0,0,0,1.50413050867315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51148001502746,0,0,0,0,0,0,0,0,0
RHOQ,8.85597567163614,3.33292227538681,0.767926212721523,5.78346828983731,6.33787776678053,10.8886198537,2.88043178333614,8.53972832344199,1.83628717466164,8.58686948855366,5.91645760369338,7.66351188717148,16.9717325400109,10.1045592259462,0,3.57916453780755,11.4838521108532,4.3439398932939,4.88533337994384,2.51148001502746,8.91226286008449,0.972904584827748,0,5.59106613796242,1.25701585004217,2.86749465941919,11.2009107581667,3.97263225478157,1.86594004333891
C3orf27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TARDBP,1.26368182533138,0,7.23554258118922,5.62608180311214,8.33678406360552,5.95707420438286,7.77450302378647,3.39656534457328,6.18953127267257,4.17840459745293,7.93137622494687,0,0,9.38176046366521,6.34076875872631,0,7.68303075309593,0,4.88533337994384,2.51148001502746,0,0,4.68884748951489,6.3399557994006,0.761288961885244,1.17606321257009,8.47875872486221,3.1727792420157,0
CELA3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARS2,0,0,2.38319884410805,8.16876572789732,4.20532199129394,0,0,0.642142248560006,6.8505617770496,7.38452298533885,5.23809036781016,0,1.83625290352412,8.76904396576364,6.34076875872631,0,0,6.86845130762122,4.88533337994384,0,0,0.972904584827748,0,5.2404186145255,0.761288961885244,0,0,2.32449716537784,0
ATP1B4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68303075309593,0,5.86071766675293,3.37907952609912,0,0.972904584827748,0,0,0.761288961885244,0,0,0,1.2156952551763
OTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33184133868637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
