symbol,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_CL.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_CL.1,Patient.5_SC.1,Patient.5_SC.2,Patient.6_CL.1,Patient.6_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1,total
TTC18,0,0,0,0,0,58,0,0,0,11,15,13,273580,616,0,18,37,0,0,0,0,0,0,0,0,0,0,56,10,274414
MGP,5580,49,34169,8012,6990,49,1,60111,141,102891,3590,46944,355,4427,17,5,22,23,4,3,4,4,0,0,0,0,0,34,11,273436
BIN2,1,29,7,7,154,45,44,24,23,4,4,136,15,10,127,48346,22,45,40,334,43657,79946,4,3,59011,1,1,23098,18195,273333
TMEM40,4,6,3,727,0,7,16,254,43,4,2,3,2,1,1,1109,6,19,24,67,19552,107796,0,0,107351,8,1,17811,15648,270465
AGR2,11730,68,41746,46120,12832,15,1,382,68,37492,2579,4431,115,1496,39,2,11,39,3,4,1,4,100,27084,80,30869,49496,22,4,266833
NFE2,0,4,5,80,479,24,342,550,133,295,19,140,3,4484,2,30232,13,13,7,66,44137,43960,0,6,52357,1,0,37509,43600,258461
ARFGAP2,0,0,55,944,424,24,0,0,6,788,5,38,249952,552,1,2,20,0,1,0,0,0,321,1685,1,517,1489,62,16,256903
HLA-A,3288,30,3845,7906,2319,18,2565,675,2409,2201,228,1925,19,4002,11,24577,17,100,22,131,13729,49342,28168,17813,37568,19407,15,17495,11495,251320
CLU,105,8,5354,4394,1737,8,4,29476,107,1036,9368,12940,6,140,3,0,1,73,19,69973,15854,47,28,5095,6206,24022,3600,51483,6927,248014
BNIP3L,4635,54,69,1858,1092,48,38509,2518,21821,2584,4990,18007,50,43533,15,61111,38,91,43,22,7029,384,6259,186,20181,136,3,167,12571,248004
NCOA4,12370,110,83,7510,1188,73,18378,3517,28054,3811,22541,13545,37,57407,39,27,39,69,79,39,12490,47897,5,869,5988,361,4,226,9123,245879
HLA-C,1396,13,3112,2163,1369,10,132,364,484,5791,3944,5034,28,513,69,59404,15,43,111,14,5846,1376,45040,31356,28094,28934,5612,5247,6893,242407
DZIP3,0,0,0,1,29,96,0,0,0,6,152,10,239977,515,1,11,47,0,0,0,0,0,7,140,34,0,325,49,4,241404
HERC1,1,6,19,10,524,63,4,44,209,317,3,924,23,225,95,134805,47,12,12,13,12881,252,3,158,52768,2,3,15451,10381,229255
SLC2A3,2,10,3,7,4,23,9,21,82,2,2,19,8,3,6,4089,11,19,21,477,62170,44353,2,100,83651,2,4,13903,16231,225234
RPS2,12413,60,5325,7395,1761,24,3059,32791,3731,12537,14572,9623,61,4243,20,9546,20,67,13,1,2,2,28254,20307,94,34517,23951,18,62,224469
MPP1,48,10,15,2032,1569,36,4317,1245,11393,156,4383,7473,9,14791,0,34,14,20,11,116,27927,50389,4,142,12076,0,2,51652,32523,222387
ALAS2,18308,118,674,6816,2542,18,45478,7370,39299,1699,4841,16416,32,57759,15,7,11,42,29,17,702,53,13,572,44,18629,8,215,10,221737
RPL4,6437,59,9345,6239,10283,40,5052,14211,2047,13457,13606,6099,44,5237,22,13,25,81,32,20,10330,5328,38329,19155,112,18099,30189,2454,3292,219637
