symbol,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_CL.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_CL.1,Patient.5_SC.1,Patient.5_SC.2,Patient.6_CL.1,Patient.6_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1,total
GTF3C3,22,0,0,0,80,1,1,1,0,53,0,1985,3,1,0,0,0,1,0,0,82,0,3531,183,2,95,215,0,0,6256
SIN3B,0,0,25,716,27,0,2,133,3,25,0,40,0,32,0,11,0,0,2,1,885,60,1,308,1593,3,2182,131,72,6252
PLAGL2,0,0,3,0,260,2,0,6,13,3,0,0,1,0,0,0,1,0,0,0,0,0,3,139,11,5806,1,0,0,6249
CYP51A1,0,0,29,1,62,0,0,52,1,422,107,549,3,366,1,11,0,0,0,0,0,24,29,594,4,3985,5,1,0,6246
RAB14,3114,16,105,295,624,2,2,199,199,261,206,176,3,112,1,0,3,3,5,1,0,1,634,73,0,0,1,1,208,6245
APEH,12,0,104,33,797,0,4,3,428,987,346,954,5,100,1,1,3,5,1,3,0,2,11,2422,3,12,2,1,0,6240
GUCY1A3,0,2,0,0,71,4,4,1,0,142,0,0,3,0,3,0,0,2,3,1,184,0,0,24,5792,0,3,0,0,6239
OST4,340,4,220,14,153,2,10,266,293,264,0,470,1,140,0,1241,2,5,1,1,825,1,198,539,1,195,599,103,347,6235
MAT2A,0,0,0,256,677,1,0,109,1,134,291,10,0,78,2,3860,0,1,0,0,0,0,326,484,1,1,2,0,1,6235
USP48,20,0,1,19,156,1,0,0,0,504,2,136,3,84,0,5146,1,0,0,0,0,0,0,156,1,2,0,1,1,6234
RAB15,0,0,2,466,557,2,0,0,476,575,3091,808,1,17,0,0,4,0,0,0,0,0,2,214,2,9,4,3,0,6233
KDM4D,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6224,0,0,1,0,0,0,6226
EGR1,0,0,1086,93,634,1,2,1337,1128,0,424,163,0,0,2,0,0,0,0,0,823,1,428,88,2,1,0,0,1,6214
PRRC2A,73,3,32,131,272,0,0,267,1,582,919,724,2,184,0,4,2,2,0,1,441,67,1288,107,0,1,1109,0,0,6212
GSTK1,343,1,1,0,6,3,1,931,0,161,1458,1621,2,132,3,0,0,0,0,0,1,0,3,1520,0,15,4,2,3,6211
ABHD4,0,0,0,0,0,1,1,6,1,143,38,0,1,0,0,0,0,0,0,1,1658,3,0,9,2,0,0,0,4346,6210
ZNF335,0,0,589,532,215,0,0,960,21,0,4,145,0,1818,0,0,0,1,0,0,1889,0,0,27,0,0,0,5,0,6206
NTAN1,619,2,1767,8,6,0,12,4,19,480,280,115,1,87,0,0,0,20,3,2,0,33,0,156,7,2583,0,1,0,6205
PHF1,0,0,0,2,1,2,0,6,0,0,0,18,0,0,5,5354,0,0,0,0,1,0,0,35,560,0,0,212,8,6204
WDR83,1215,11,613,645,212,1,22,229,154,94,73,302,0,84,1,16,1,1,3,0,0,0,3,1095,80,8,656,2,683,6204
RALGAPB,0,0,0,104,49,1,1,742,5,0,0,2693,0,1,1,0,9,1,0,0,0,0,1,238,2,0,26,2328,1,6203
SREK1IP1,10,1,0,0,8,0,5571,0,0,0,0,0,5,0,0,8,0,4,0,4,2,0,0,29,0,0,0,0,560,6202
HIP1,99,1,6,382,150,1,0,56,0,2459,0,1,11,931,1,2,4,0,0,4,1,0,1,461,2,2,1623,4,0,6202
ZSCAN18,0,0,1559,1293,455,0,4,1,1,55,62,0,1,1,0,7,1,0,0,1,0,1,2543,212,2,1,0,0,0,6200
YTHDC1,0,0,33,0,146,8,0,406,5,25,5,1,1,32,1,0,2,0,0,0,208,0,719,209,0,0,0,0,4399,6200
GAS2L1,0,1,0,147,0,0,10,213,26,1,2,3,0,0,1,268,0,6,3,24,529,36,18,208,3948,0,0,194,561,6199
GRPEL2,0,0,0,0,0,0,0,1,0,0,0,5,0,4,0,1299,0,0,0,1,0,0,3,0,4881,0,0,0,0,6194
ACTA2,0,0,0,0,0,0,20,0,2,0,2,6156,0,0,0,0,0,0,1,1,0,1,0,0,3,7,1,0,0,6194
CLMN,0,0,105,686,303,4,0,3,1,0,2,3,0,2,1,23,2,0,1,1,4468,0,77,508,1,1,1,0,1,6194
ATP5C1,1,0,919,641,705,0,220,123,0,762,672,557,5,202,9,231,0,0,0,0,38,0,6,229,0,1,866,0,0,6187
STX17,1,0,0,1,1,6,0,2,229,343,3,0,5,0,2,0,8,1,4,13,1212,1,566,104,0,0,0,207,3478,6187
PRKCSH,106,1,142,247,145,0,0,4,17,621,3,931,1,149,0,0,0,0,0,0,0,1,1669,2051,0,91,6,0,0,6185
TSIX,2,10,3,2,334,1,20,11,9,2053,3440,0,17,54,1,3,7,53,9,8,5,132,1,1,1,0,0,0,6,6183
ARID2,101,1,0,0,38,0,0,893,3,0,0,0,0,0,0,1,2,4,0,0,1690,1,0,65,1,0,0,2855,524,6179
ATP6V1A,0,2924,462,343,241,3,3,444,20,181,401,0,0,18,1,31,0,14,2,0,529,0,9,281,0,1,0,271,0,6179
FBXO11,0,0,199,0,158,2,0,1,6,51,287,2,0,82,0,691,3,2,2,98,731,0,0,5,0,0,0,3858,1,6179
DBI,335,8,611,611,679,1,0,0,361,800,0,126,1,257,1,0,0,14,3,1,1,0,5,1387,2,246,725,0,0,6175
TTK,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,69,1,2,6097,0,0,6172
TROAP,1476,9,1,413,149,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,5,679,2,2,3427,0,0,6170
PRKDC,0,3,0,0,1177,0,0,7,2,674,0,12,1,0,0,0,0,0,0,0,0,0,8,935,7,3340,3,0,0,6169
FOXRED2,5286,36,0,0,8,1,0,9,1,3,100,0,0,0,0,2,1,0,0,2,3,1,16,691,0,0,0,9,0,6169
FAM48A,0,0,0,0,301,0,2360,0,0,13,0,1,0,0,1,0,1,0,1,1,874,1,5,776,1814,0,2,0,17,6168
WSB1,2,5,0,16,409,1,5,354,43,135,0,440,4,0,54,13,1,5,7,6,980,141,2,1,723,0,0,802,2013,6162
RPS9,116,2,339,381,219,0,1,1401,5,262,508,78,0,2,1,0,0,11,2,0,0,1,444,356,3,1994,36,0,0,6162
MKKS,0,5,0,0,97,2,0,15,1,1392,0,118,7,1,0,0,1,3,2,2,2,0,76,164,0,0,664,1,3606,6159
DDX39A,0,1,102,136,459,0,113,78,3,347,1631,6,0,767,3,0,0,8,1,0,0,0,8,1935,11,6,537,3,0,6155
PDP1,0,0,126,151,398,0,0,578,2,0,925,2,0,0,0,0,2,0,0,0,0,0,2,77,1,1,3885,0,1,6151
AP1M1,106,4,0,1,204,0,0,0,0,113,0,0,0,17,0,0,0,1,0,1,0,1,4023,447,0,0,1230,0,0,6148
UBE2Z,0,0,125,120,236,1,5,18,49,4,126,243,2,172,0,0,0,0,0,0,78,0,1390,1443,4,2019,96,0,15,6146
C12orf51,0,4,324,425,248,2,0,6,396,189,1199,138,2,1335,45,3,5,5,0,3,993,0,0,90,10,704,15,2,1,6144
ZWINT,647,10,12,1498,310,2,0,0,8,0,7,0,0,180,1,0,1,1,0,0,0,0,2,378,1,1,3075,2,1,6137
PAFAH1B3,477,1,32,129,283,2,0,142,32,665,17,910,3,365,2,0,0,0,0,0,0,0,4,2392,2,468,206,4,0,6136
DECR1,2579,16,46,0,716,6,1,9,37,516,1126,3,7,0,1,1,1,21,3,2,0,1,0,875,0,0,167,0,1,6135
GPBP1,240,1,305,613,138,3,0,698,229,421,105,91,2,846,0,0,1,0,3,0,0,2,0,125,1337,1,947,5,1,6114
GGNBP2,1,0,1454,9,639,2,3,1418,7,37,1,290,3,147,3,0,2,1,1,0,122,1,2,653,0,5,3,1,1307,6112
FOXH1,0,0,155,0,5,1,0,1347,6,376,141,5,2,20,1,0,1,0,0,0,0,0,208,1482,9,2342,8,1,0,6110
ALDH18A1,0,0,1658,0,1034,2,0,2,2,542,481,0,1,1,2,0,0,0,0,0,0,0,0,601,7,1773,2,0,1,6109
ADH5,2553,17,862,153,18,1,0,0,26,184,239,979,1,861,2,0,0,1,0,0,150,5,0,50,0,0,0,1,4,6107
FOXM1,1866,12,5,904,11,1,0,0,424,0,0,0,1,2042,2,0,1,1,0,1,0,0,1,624,0,0,197,4,0,6097
SIK3,0,0,52,3,6,3,9,175,61,0,0,1983,0,1579,4,7,5,0,1,0,847,0,0,148,1104,0,0,5,105,6097
TMEM120B,0,1,0,1,17,0,0,25,0,2,1,7,0,146,0,9,0,4,1,6,1562,4,4,610,669,0,1,89,2934,6093
PDGFB,1,5,247,1,44,0,0,107,0,0,0,315,0,0,2,0,0,0,2,0,1204,260,0,33,0,0,0,3572,296,6089
CRABP2,0,0,1201,659,804,1,0,12,0,1516,475,1004,9,218,1,0,0,0,0,0,0,0,35,7,0,0,0,1,144,6087
TXNL4A,40,0,550,592,54,0,38,1282,11,41,0,30,0,0,3,0,0,0,0,0,0,0,906,2531,1,3,0,0,0,6082
ZEB2,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,4,5,0,3395,0,0,130,0,0,0,2457,85,6081
TYSND1,0,0,34,29,163,3,0,52,0,153,0,0,0,35,0,0,2,1,0,2,0,0,0,344,7,5248,0,0,0,6073
TRAPPC2L,4559,29,0,2,1,0,0,23,14,349,293,2,2,488,0,0,0,0,0,0,0,0,0,303,0,0,0,2,0,6067
MYO15B,3,3,2,0,3,0,1,479,2,8,231,2,0,175,179,81,0,3,0,20,726,3900,1,3,0,1,68,0,174,6065
CCDC6,0,0,2278,407,654,0,0,1808,89,233,269,129,2,9,3,0,3,5,0,0,0,0,0,87,2,2,83,0,2,6065
KAT6A,0,0,61,7,99,3,2,932,16,473,0,0,2,2,0,0,10,2,5,4,2211,217,25,100,14,11,0,11,1854,6061
MID1IP1,0,0,0,0,33,0,0,126,1,14,10,501,0,0,0,0,0,0,0,0,682,40,162,38,4445,0,1,0,7,6060
MAP2K4,0,1,33,984,277,1,2,4,0,922,1178,1,1,50,2,0,0,8,1,0,2056,2,441,93,0,1,0,0,0,6058
SH3BGRL,59,4,156,0,289,3,124,1496,187,0,428,23,0,880,0,0,0,7,8,3,1,5,1,139,8,2,633,3,1598,6057
LINC00094,2,1,550,0,169,2,7,15,0,1263,82,8,3,0,1,0,2,3,2,1,2842,34,64,191,22,3,4,0,780,6051
PPP1R12C,0,0,1,48,91,0,4,1,0,38,288,0,0,0,0,0,0,0,0,1,313,1824,2978,393,0,0,0,0,61,6041
SLC38A1,2,1,1039,160,736,4,0,518,3,1224,34,1149,3,73,0,0,2,0,1,1,0,1,0,679,8,7,392,1,0,6038
NDUFS8,0,519,5,13,37,0,0,502,51,487,199,859,4,265,0,1,1,0,0,0,0,0,2,1499,4,1585,0,1,0,6034
HIF1AN,0,0,189,1742,28,1,0,22,19,1246,0,1,6,3,1,1,0,3,0,723,47,1,1943,58,0,0,0,0,0,6034
PLK2,1,2,16,1444,4503,0,1,0,0,60,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6032
CNIH4,116,0,764,1090,126,3,6,1,0,304,0,22,1,155,1,0,1,0,0,0,0,0,3192,243,0,2,2,0,0,6029
TIMM13,1,0,134,8,131,0,0,382,8,260,70,1,2,246,0,0,0,0,1,0,0,0,3,707,9,4048,12,3,0,6026
ZNF512,1,2,0,0,223,0,0,159,4,598,3,0,4,1,1,0,0,23,2,1,0,1,4295,703,0,2,0,0,0,6023
PDHB,23,0,113,170,80,0,0,262,1,1481,1500,198,5,921,0,0,2,0,0,0,0,0,1097,13,0,1,151,2,0,6020
SRSF8,1,0,1,32,453,8,1,303,622,0,1,0,2,33,6,3,4,2,0,2,265,1,450,64,106,8,10,1,3639,6018
TOMM40,0,0,187,0,303,0,0,27,0,107,655,234,1,310,0,0,7,9,1,0,0,1,4,543,0,3,3621,1,0,6014
ANKRD37,5003,19,19,0,0,0,1,18,0,11,938,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6013
UBE2G2,0,0,0,0,430,0,0,666,353,166,29,694,0,24,1,265,1,14,2,0,0,4,1,628,2,1,2728,2,0,6011
GNPNAT1,0,0,0,171,140,0,0,2,0,167,10,0,0,15,2,2,0,0,0,0,1,0,16,2023,1,19,3441,0,0,6010
MRPS2,212,0,40,0,378,3,0,967,12,1047,137,448,3,939,0,0,2,0,0,0,0,0,7,1807,0,1,0,5,0,6008
PMP22,28,6,81,603,1044,0,4,3736,12,0,0,0,0,0,20,0,0,5,5,7,3,5,1,439,0,1,0,0,0,6000
BTD,4247,14,49,0,86,0,301,0,0,0,0,0,0,195,1,0,0,0,1,0,1,0,4,1092,2,3,1,1,0,5998
VPS13A,0,1,0,0,113,0,2,38,0,1,3,0,0,2,4,0,4,2,7,1,4436,1,1,60,1001,0,1,0,313,5991
SMPD1,31,2,0,0,115,0,1,0,0,1051,2,2,7,863,0,0,1,1,0,2,380,0,0,560,0,0,0,2962,4,5984
WDFY1,0,1,0,0,125,3,0,0,1,897,0,3,1,0,32,318,0,1,1,43,3619,0,0,3,7,0,0,0,927,5982
HGS,33,0,34,0,39,1,0,826,73,359,0,9,0,0,2,0,0,0,0,1,1,9,3328,372,1,6,61,603,201,5959
RBM38,38,1,0,110,26,1,279,2,228,26,0,345,0,1236,0,0,0,2,0,0,666,15,0,7,7,217,0,1134,1615,5955
SUSD4,2433,15,27,572,1,1,0,0,0,622,954,1323,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5952
LRRC58,469,3,19,26,303,4,114,1,0,634,862,0,3,84,1,9,1,10,0,6,0,3,0,150,2,1,3234,2,1,5942
PRRC2B,0,0,45,813,548,1,0,932,11,471,28,1330,1,335,1,0,0,2,0,0,17,0,8,733,0,3,50,0,610,5939
SP100,1536,17,361,1,201,2,5,135,548,50,2,2,1,2,1,12,1,1,3,4,1,0,2551,134,4,2,0,1,359,5937
RPS21,81,2,306,209,427,5,45,1489,61,734,263,514,2,266,1,3,3,18,7,0,1,0,252,782,1,3,455,3,3,5936
KIAA0195,555,6,50,509,124,0,0,358,53,766,1389,583,1,1031,0,0,2,0,0,0,205,15,0,99,181,1,0,5,0,5933
DHRS2,0,0,0,0,0,1,0,389,0,0,0,0,7,928,0,0,0,0,0,0,0,0,2,360,0,2,4238,4,0,5931
VBP1,0,0,0,0,165,9,2,1,3,1995,101,1810,7,257,0,1,3,4,1,3,3,2,2,250,0,0,1308,4,0,5931
C7orf26,0,0,3,608,0,1,0,51,1,70,0,78,0,0,0,4780,2,0,0,0,0,0,47,183,0,2,103,0,0,5929
SEZ6L2,0,0,74,24,50,1,0,927,1,76,2824,1054,1,30,0,0,0,0,0,0,0,0,101,756,0,9,0,0,0,5928
SYBU,0,0,498,773,357,1,0,0,0,70,1,266,0,756,2,0,0,0,0,0,0,0,3006,193,0,0,0,3,0,5926
BAIAP2L1,0,1,1418,0,1,0,0,1063,0,1268,538,10,3,0,3,1,0,5,0,0,0,1,10,1600,0,0,0,0,0,5922
SRP9,362,1,164,270,475,2,0,396,20,50,103,240,1,127,0,0,1,0,0,0,333,0,309,180,5,2387,494,0,0,5920
PIK3R3,0,0,0,0,457,2,0,355,0,214,0,1895,2,0,0,1,1,1,0,0,0,1,2419,564,0,0,1,0,1,5914
PPP3CB,0,3,2,274,47,1,0,2,11,657,85,87,0,12,0,0,1,2,1,0,0,1,4014,118,0,0,1,0,594,5913
ORMDL2,0,0,199,247,101,5,0,1067,1,1120,82,1908,4,1,3,0,3,1,0,0,0,0,1,1131,1,0,29,0,0,5904
TSEN54,3947,22,0,1,0,0,0,24,35,58,167,182,3,911,0,0,0,33,2,1,1,0,103,407,0,1,2,2,0,5902
TBC1D13,0,0,0,0,365,0,0,120,3,0,2,0,0,0,0,0,1,0,0,0,0,0,2,702,1,0,0,4695,6,5897
KTN1,2,2,621,71,576,6,0,133,121,1916,219,46,7,1349,2,2,1,3,0,3,6,0,3,762,0,1,1,5,37,5895
TMEM245,0,0,0,0,61,4,0,1066,1320,53,1788,17,3,438,4,0,2,0,0,0,0,0,5,1123,5,3,0,1,0,5893
PSMC3,63,1,0,14,234,1,0,1,0,92,2481,1,0,591,2,0,0,5,1,0,0,0,148,1851,0,7,394,4,0,5891
LLPH,0,0,10,46,735,0,0,749,6,231,1,0,4,0,3,1,1,4,0,0,3,0,2,247,12,3833,0,2,0,5890
E2F1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,115,0,0,0,0,134,0,1,300,5331,0,0,0,0,5887
RHOB,1,0,131,24,2209,1,1,84,84,0,63,14,2,29,1,0,1,3,2,0,473,661,97,191,106,15,0,0,1692,5885
COASY,40,2,16,247,394,0,0,0,19,143,1692,1733,2,208,0,0,1,1,0,0,0,0,1335,46,0,2,2,1,1,5885
FRY,0,0,0,0,2,1,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,5870,1,0,0,1,0,0,5883
RNF19A,5,0,0,7,706,1,1,1056,330,2,0,297,1,772,0,0,0,0,2,13,98,0,1954,22,1,4,0,2,601,5875
MGST3,1643,11,1104,885,285,1,0,10,407,59,1428,4,0,0,4,0,1,23,5,0,0,0,0,1,1,0,1,0,1,5874
PRMT2,0,0,1203,340,236,1,1,2,0,595,3,1,2,219,1,0,0,0,0,0,150,0,713,493,58,1815,0,3,34,5870
EPS15L1,0,3,0,18,5,0,4,30,2,58,1,1105,0,12,0,4,0,1,3,2,34,1,0,92,3760,8,0,3,723,5869
ZNF281,0,1,0,0,3,0,1,0,0,491,222,44,2,44,0,0,2,4,0,0,2637,0,1,429,1,0,0,1980,4,5866
GLG1,0,0,2,461,407,2,0,464,707,357,0,0,1,614,1,1,1,0,0,5,0,2,17,2287,0,5,1,521,6,5862
NRF1,0,0,2,285,9,1,0,5,0,1,0,0,0,0,0,0,0,0,0,92,0,0,0,239,0,0,0,5222,4,5860
ITGB4,0,0,7,66,80,0,0,459,0,10,0,0,0,5,0,0,1,1,0,0,0,0,4954,183,0,74,13,0,0,5853
TRPC6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,5839,0,0,0,8,0,0,0,0,5853
INPP5F,0,0,171,305,179,3,0,0,0,29,0,171,0,0,1,0,0,0,0,0,0,0,0,32,0,0,4959,0,0,5850
NVL,2056,9,469,604,184,2,1,1,9,562,1377,1,0,436,2,17,0,0,1,5,0,3,1,105,0,0,0,4,1,5850
RPS27L,45,0,1,0,43,1,1,5,0,24,1,1,0,587,5,184,1,1,1,1,0,0,0,512,13,4404,0,1,18,5850
CHMP1A,0,0,394,90,60,0,1,1114,3,169,871,829,2,126,0,0,0,0,0,0,985,22,5,1037,0,142,0,0,0,5850
ANKS1A,0,0,0,0,171,2,0,4,0,12,2,0,0,0,0,1,1,1,0,0,309,0,18,759,0,36,0,192,4337,5845
CCDC90A,4093,21,6,678,0,0,1,113,6,71,91,131,1,13,0,9,0,4,2,0,583,4,2,1,0,0,0,0,9,5839
LRRC16A,0,0,0,171,6,5,0,2,9,153,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4211,1268,5833
TXNDC9,42,0,6,826,162,1,3036,0,0,74,1234,0,0,35,3,0,4,6,1,1,0,0,1,398,0,1,0,1,0,5832
GSTM3,0,0,0,53,161,3,1,1,0,181,5059,316,1,0,1,5,0,0,0,11,0,2,28,4,0,0,0,0,0,5827
RMND5B,59,0,0,61,523,0,3,1842,1180,492,538,7,2,41,1,0,1,0,1,34,2,2,2,1025,2,1,5,0,0,5824
PPP1R14C,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5700,0,0,0,116,5822
RAB3D,38,0,1,30,692,0,1,10,1,76,2,1,1,0,0,0,0,0,0,1,0,1,0,319,2,356,4274,0,16,5822
DNAJB11,0,2,0,158,218,0,0,228,1,327,2,4,1,86,0,0,0,17,1,2,0,2,52,630,0,1,4079,0,9,5820
PPA2,0,0,0,4,163,1,0,1,1,135,118,0,0,195,3,1,0,0,0,0,0,1,0,324,11,3511,1348,1,1,5819
NISCH,0,0,1,2,149,5,0,0,2,666,36,1028,6,557,1,1,2,3,0,0,6,0,211,1092,1596,1,1,1,451,5818
AK3,0,0,634,5,152,2,0,0,1,0,2,2,0,0,0,8,1,0,0,0,1141,0,1,94,0,0,2,0,3773,5818
NDUFS1,0,3,16,206,598,1,1,70,3,4,0,0,0,112,3,0,5,0,0,0,834,1,923,89,2208,0,739,0,1,5817
ATG7,0,0,1,91,304,0,3,533,6,565,0,20,3,0,0,0,0,0,1,1,2073,0,1468,746,0,0,0,0,0,5815
CLTB,0,1,274,171,1,1,0,367,231,150,6,49,0,0,0,0,0,1,0,66,1,0,2,684,0,0,3798,0,0,5803
SENP6,1,1,70,0,201,3,1,2,13,1390,0,41,4,0,0,0,0,1,0,1,2787,0,0,15,2,2,1267,0,0,5802
NSA2,1782,11,112,359,936,4,1,32,156,647,0,399,2,0,7,0,0,1,3,1,0,3,3,918,1,3,420,0,0,5801
NSF,0,0,0,0,161,1,0,919,2,7,0,0,0,2,0,0,3,0,0,0,1,0,2,266,4,2,4431,0,0,5801
STX10,36,0,0,0,30,0,0,41,0,45,0,963,1,17,1,0,0,0,0,0,13,4345,0,307,0,0,0,0,0,5799
TYK2,0,0,2,62,355,2,0,67,0,445,142,22,4,368,0,0,0,15,0,1,1,1,4,714,3,0,3399,1,186,5794
MKI67,0,0,6,1078,167,1,0,0,0,0,0,0,2,1249,5,0,0,0,0,0,0,0,5,1669,0,0,1601,5,1,5789
PDK2,46,0,0,0,85,0,0,73,87,35,39,1576,0,0,0,44,0,0,0,0,0,0,0,6,0,0,0,0,3798,5789
NINJ1,752,4,0,0,5,0,1,0,1,249,0,0,0,37,0,0,0,32,0,0,0,0,3410,1280,3,8,2,0,0,5784
PGR,5313,31,0,0,4,1,0,0,0,296,0,132,1,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,5784
FYTTD1,47,0,547,244,99,5,1,59,2,1178,74,0,9,84,0,0,0,1,1,0,705,0,1,193,1,507,5,2020,1,5784
GOLPH3L,4,1,410,0,3,0,0,1,39,0,0,0,0,0,1,0,0,3,6,0,2,1,0,3,1,5,5299,1,1,5781
NDUFB2,77,5,4,496,107,1,3,630,3,639,486,31,6,1,2,0,1,3,0,0,1,2,167,1262,0,1,1850,1,0,5779
DCAF5,0,2,678,39,172,1,1,4,0,1263,92,2167,7,3,1,1,0,0,0,2,0,1,913,402,0,1,0,0,26,5776
RHOF,0,1,0,1,3,0,0,25,0,2,1,7,0,0,0,1,0,1,1,3,1573,4,3,453,669,0,1,86,2939,5774
ARRDC4,0,1,0,0,0,0,0,21,0,2,312,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,35,5397,5774
ARHGAP35,5,0,275,211,4,1,0,0,0,2,0,2614,0,0,0,1,1,0,0,1,0,0,91,175,0,0,0,0,2389,5770
SLC25A38,384,1,15,13,737,3,8,1,46,847,2843,0,0,0,1,0,0,0,0,1,0,4,1,856,1,5,2,1,0,5770
TFPT,0,0,4,10,0,0,0,14,0,60,0,108,1,0,0,0,0,0,0,0,0,0,1,422,3458,1641,40,0,0,5759
ERCC1,222,1,621,524,350,2,0,122,0,341,1,5,2,86,1,1612,1,0,1,0,23,0,4,884,2,8,1,944,0,5758
EHD2,2398,1636,380,30,107,0,0,477,1,0,190,0,0,0,0,130,0,8,0,0,33,0,2,366,0,0,0,0,0,5758
BRD3,2,1,25,0,177,1,7,14,0,579,81,8,2,0,0,0,0,2,2,2,3573,2,78,184,163,2,4,0,848,5757
SDF2,0,0,211,6,224,0,0,2,0,13,20,74,0,0,0,0,0,0,0,5062,4,3,30,106,0,1,0,0,0,5756
SDAD1,0,0,764,1274,818,0,0,1137,19,1169,0,51,5,14,1,0,1,0,0,0,0,0,2,498,0,2,0,0,0,5755
ACOT13,18,0,32,819,133,0,0,0,15,719,56,0,1,1,1,0,0,0,0,1,93,0,4,805,0,1,0,0,3056,5755
POLDIP3,0,1,537,96,329,3,1,1343,7,774,1820,490,3,0,0,0,0,25,3,2,0,1,1,317,0,0,0,0,0,5753
PLK1,0,0,2,751,166,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,374,0,0,4451,0,0,5748
CCS,2,1,210,444,208,1,1,3,716,1018,188,49,9,287,0,0,0,1,0,1,647,46,2,546,1269,0,0,1,93,5743
RBM4B,0,1,410,0,40,10,0,2,1,1,0,56,3,529,0,4639,3,33,0,1,0,3,2,1,1,1,2,1,2,5742
RNMT,0,1,9,854,225,0,0,0,2,1148,1,3113,3,0,1,21,2,4,0,10,1,1,2,292,0,8,35,1,0,5734
SMEK2,0,0,0,4,166,1,1,200,2,136,959,0,0,510,3,0,0,2,1,0,956,0,1,18,854,1913,2,3,0,5732
DAG1,0,0,5,774,627,0,0,18,0,748,0,305,1,351,6,1,0,16,0,0,1686,0,0,374,0,3,1,0,813,5729
TMBIM4,0,0,13,6,710,0,0,624,5,0,3,0,2,0,1,0,1,2,0,0,0,0,2,267,14,4078,0,0,0,5728
SH3TC2,0,0,0,0,3,0,5,3,5,0,3,1,2,1,2,0,10,6,7,9,3982,135,4,0,108,0,1,5,1435,5727
MAD2L1,0,0,0,0,150,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,169,1,2,5396,0,0,5723
TCEAL4,0,2,704,483,1005,1,0,593,1,1957,336,89,13,46,8,0,3,12,1,0,1,1,0,460,0,4,0,0,0,5720
FAM89B,1,0,6,1,29,0,0,344,31,75,98,1206,0,258,0,1,0,0,0,0,0,0,49,277,7,3336,0,0,0,5719
ZNF177,4306,17,1051,332,0,0,1,0,1,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,5718
EAPP,1,0,2,0,279,1,0,0,0,1335,165,1023,4,0,1,0,0,0,0,0,0,1,2354,544,5,2,0,0,0,5717
EAF1,0,0,5,844,89,5,0,0,34,292,365,11,0,662,0,3115,5,4,3,0,20,0,1,175,0,0,84,2,1,5717
PMPCA,1,0,2,0,228,0,0,6,0,1188,0,0,4,75,9,0,0,13,0,0,14,181,118,903,164,384,2136,138,151,5715
MEF2D,0,0,37,12,32,1,0,9,5,0,1,2,1,0,0,1,1,0,1,2577,105,516,0,127,143,0,0,242,1892,5705
HPS1,8,1,18,0,171,1,6,162,987,127,86,855,1,2973,5,0,1,3,0,2,0,0,0,236,0,47,0,14,0,5704
SDHAF2,7,1,1,74,590,0,79,467,172,121,0,1565,0,10,1,0,0,1,0,0,0,44,143,151,0,0,2273,0,0,5700
ARHGEF7,0,2,337,484,32,1,0,1113,3,49,0,1,2,0,1,0,2,3,1,0,323,1,1,371,0,1,2,91,2879,5700
SYT7,0,0,1,36,159,2,0,929,7,335,988,614,3,0,0,0,0,0,0,0,0,0,28,2594,0,1,0,1,0,5698
DPH3,0,0,0,0,114,0,0,496,440,706,4,9,3,0,0,0,1,1,1,0,0,0,16,7,0,0,0,1,3896,5695
UBXN11,0,0,172,0,54,0,0,0,1,0,1,852,0,69,0,0,0,279,7,0,6,0,4,328,1,4,3737,0,180,5695
NIPA1,1111,6,0,0,0,2,1,0,0,26,1296,796,0,0,0,0,1,0,0,0,0,1,0,139,21,2293,0,1,0,5694
FNTB,11,0,312,2,148,1,0,40,0,551,0,0,0,0,2,0,0,1,0,0,443,0,3609,412,1,2,0,0,159,5694
