,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1
ZCCHC3,0,0,3.86336677965856,26.92818720751,75.3723098784087,0,45.3933801505303,24.8263738272243,0,0,0,0,10.6582908440503,0.201344467230152,0,11.9259345890182,0.833673047736174,0.15078965802173,7.59322977003182,0,0.27180930967815,0.132262407161981,0,0
ZCCHC7,0,0,4.55599419373976,0.30508515672276,0.743473938122707,0,0.0657040875481999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00314741623034658,0,0,0
ZDHHC11,0,0,0,0,0,0,0.124351926257597,0.0806484652270542,0.00932058605916152,0,0.0125429308005696,0,1.97340569715236,0,0,0,0,0.00749047217800252,1.32017719105727,0,0,0,0.02248181964377,0
ZDHHC12,25.5497091857619,0,6.35458065060041,19.9629620031651,9.9030776196808,0,0.140960181683465,13.9986495886705,59.4305406765848,0.294201190419039,0,0.257032958955918,0.744003585715758,0,0,0,0,0.0636816624528369,11.6818471201065,0,0.114790821449891,12.0651578959416,0,0
ZDHHC14,0,0,0,0,0.00258551528041508,0,0,0,0.425765741856919,0,0.00116931208881361,0,0,0,0,0,0.00154427558333482,0,0,0,0,0,0,0
ZDHHC16,0,0,49.544628922716,0,22.0788526061878,0,2.09057793740137,0,69.7756714926729,57.7494609023659,0,0.336357460976555,21.7007976581451,0,0,0,0,0.0185188548757937,23.0804523955178,0,0.100144742534543,158.049030038321,0.0370548563057138,0
ZDHHC17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07104778267615
ZDHHC18,0,0,0,0,0,0,0,0.198640801069903,0.768016773644481,0,0,0,1.7714052509407,0,0,0,0,0.00670886190350918,2.96811629781964,0.0211618335744417,21.3807967155304,29.1050152167083,0.0201359032842539,0
ZDHHC2,0,0,0,0,1.98967952405773,0.0534456643103597,0,1.99942486932078,0,0,2.43516676819332,0,0.156069010439208,0,0,0.00272861057929054,0,0,0,0,0,0,0,0
ZDHHC24,0.728979750848666,0,0,0,0,0,0,0,0.725926479194825,0,0.515584133407898,0,0,0,0,0,0,0,2.84156556872797,0,0.0146055826807678,0.0284283055006336,0,0
ZDHHC5,0.256429136208465,0,15.9104374273878,0.988264670414368,1.99828107930464,0,0.0686566938452291,0.0166977419032236,0.0308762707316504,0,0,0.0125191617664038,1.23933173337411,0,0,1.75622264147745,0,0,4.39565905507428,9.34021834803463,0.0111821057413577,0,0.0124125733699415,0.322140274534928
ZEB2,0,0.00227740338648374,0,0,0,0,0,0,0,0,0,0.00534265313268254,0,0,0,4.03887608233683,0,0,0.309473069115185,0,0,0,3.2537840163988,0.121723503751684
ZER1,0.0946487331621857,0,0.0131222399051287,6.58868229028074,1.24306198402108,0,0.236941936247233,1.72004211793897,1.56203559206088,0.0112392474100921,0.570328487631231,0,2.72859492766395,0,0,0,0,0,1.59259568983795,0.608789765472658,0,9.82443038144186,0.00973572277901837,0.96856323628731
ZFAND1,0,0,0,0,8.73317724803932,0.289148171362004,1.03255152629973,4.9104579117178,11.2165542901602,0.8043540132935,0,0.0397774563964376,0.00767594690575002,0,0,9.02262431843134,0,21.425063841097,3.0248806610257,0.00690803474703496,0,0.0115256701860246,0,13.4055913957892
ZFAND2A,0,0,155.939902044297,0,12.8170134834543,0,1.95522220700883,14.7583303164564,0,0.110291583470858,0.279833825630112,0,0.195240996210101,0,0.0768743603399788,19.8039688416893,0.0175984849165302,0.0954931743134852,23.2706534932579,0.288664492712383,528.277349016475,361.173558845869,0.429918222331486,58.7321315315601
ZFAND2B,0,0.0247574003634173,0.737347163233015,0.073948332614135,0.372951341372975,0,0.127405941929526,0.0129108043229796,0.0358106046868576,42.4461757658448,1.22887480555407,0.0871190870666809,0,238.77127330839,0,97.9515084828915,0.0530371988881692,0.014389563938455,12.7582617135588,0.196686328297413,0,0,11.8768860921603,79.2388892779205
ZFAND5,104.428374118201,0.85198629515727,18.0900415769132,63.8516834391924,28.5026426351798,3.40108601518555,70.0518970095562,11.8885155904059,82.0456085180244,8.94295418594492,53.7730743218806,0.242267789703205,44.3023884243584,0.200368481171374,0.241601954360344,138.81660850202,0.0331852778805124,0.585229041364977,16.7590662084501,70.6684412858955,0.027049175623086,0.026324257133744,25.2966013674371,242.021311524585
ZFAND6,0,0,0.518038230451446,0,7.24849105542159,0.00579011647429566,0.11066335455906,0.00236087958783923,0.0720319012435143,0,0.20708844188754,0.00531022104230527,0,0.00702694106375067,0.00847300276097349,10.3297306148236,0,0.126301761893139,0.42589999518875,0.00276663176567265,0.0237154269243447,0,0,12.958161507546
ZFAT,0,0.00455051838815141,0,0,0,0,0,0,0,0,0,0.00177920766153214,0,0,0,0,0,0,0,0,0,0,0,0
ZFC3H1,0.00867659523543176,0,0,0,1.51937877068353,0.00392600498130231,0.0157969690583576,0,0,0,0,0,0,0,0.0114902873521958,0.0833821820283555,0,0,1.1551308234096,0,0,0,0,0.567481896950903
