pval,qval
0.000497201842259216,0.00864155103754821
0.000534562317116749,0.00923423807555944
0.00054772266725123,0.00940423222013778
0.000559063548130984,0.00954112669792215
0.000611185350845699,0.0103681922092567
0.000675974058073068,0.0113990149197679
0.000691037652317132,0.0115840808817422
0.000712298175213928,0.0118702395904768
0.000730396344097352,0.0121006598995778
0.000839447135139783,0.0138264751968082
0.000982201983353705,0.0160842671609309
0.000995884539944798,0.0162146028831242
0.00104601546183297,0.0169334960192732
0.00118483926989915,0.0190718730205925
0.00120836516465426,0.0193406695563024
0.00124155592164295,0.0197602692472724
0.00125119739289691,0.0198024704697036
0.00127723712459273,0.0201022931887289
0.00132322849068929,0.020711084608413
0.00137189080006425,0.0213547617394617
0.00149238812634243,0.0231034730160006
0.00153896192546948,0.0236949952981252
0.00166221854459303,0.0254544061450382
0.00179250684940413,0.0273019994858166
0.00182099886916526,0.0275876459697603
0.00188037161647265,0.0283355999439735
0.00194879214891997,0.0292112600946575
0.00213361251166496,0.0316478323056318
0.00213368724686751,0.0316478323056318
0.00228749777736954,0.0337525062671245
0.00237052219491759,0.0347963180217696
0.00238829813972291,0.0348765393290465
0.00241717738700646,0.0351172489096887
0.00246206433884505,0.0355868789385104
0.0025761429191152,0.037046765938342
0.00263177134301849,0.0374669673608911
0.00263181309735874,0.0374669673608911
0.00265476795638183,0.0374777791754251
0.00265903057333584,0.0374777791754251
0.00270694703919582,0.0379642621883256
0.00273529361391838,0.038172841419856
0.00277054195404951,0.0384752223324621
0.00280785743457797,0.0388032200593141
0.00302384061230531,0.0414488877933974
0.0030285632803506,0.0414488877933974
0.00313910562400232,0.0427552222730701
0.00360255159880251,0.048832673107213
0.00362842197231252,0.0489491402264828
0.00367017783836252,0.0492777905975404
0.00374136900263866,0.0499966904928081
0.00385001749726698,0.0510959762122304
0.00385970310957194,0.0510959762122304
0.00388632075868368,0.0511625171177294
0.00390084846361791,0.0511625171177294
0.00398232210314621,0.0518567831707032
0.00399039136294151,0.0518567831707032
0.00420615436679185,0.0544111201877686
0.00430904247954396,0.0554887152024911
0.00443122205781005,0.0565595779306634
0.00443213070970959,0.0565595779306634
0.00457292042838411,0.0580945451731488
0.0046080642678741,0.0581593626739901
0.0046080642678741,0.0581593626739901
0.00461908104541044,0.0581593626739901
0.00474386756182983,0.0594662690383359
0.00478017866889914,0.0596574721100937
0.00483719980167997,0.060104329114734
0.0048617670866752,0.0601457910766412
0.00490787949274218,0.0602871889936372
0.00491575737999654,0.0602871889936372
0.00496225061388894,0.060477999992147
0.00497401129480066,0.060477999992147
0.00533299995138644,0.0645657643687085
0.00547040056048881,0.0659474246292119
0.00550851901698838,0.0661255693861359
0.00556348170109873,0.0665035597435135
0.00606614990869427,0.0722075743333229
0.00615287627971527,0.0729334665290099
0.00638668182196544,0.0753894566734504
0.00644374009887243,0.0757473680502306
0.00652249865245788,0.07635635819179
0.00661266134192007,0.0770932904595044
0.00671740283731042,0.0779934517954935
0.00678174669324665,0.0784191362529296
0.00693064967057555,0.0798151647021973
0.00728596387280678,0.0835673508164437
0.00749290905292951,0.0855944005925375
0.00749290905292951,0.0855944005925375
0.00760384252171645,0.0865127946346293
0.00778316259551672,0.0881987985323954
0.00778316259551672,0.0881987985323954
0.00796120194784379,0.0898569128216791
0.00806572800314394,0.0906754263210587
0.00825594500803755,0.0919688413899961
0.00825890260720706,0.0919688413899961
0.00827816962740876,0.0919688413899961
0.00844200819566888,0.0934226922591014
0.00847935122403702,0.0934708249715832
0.00856552670932512,0.0938010794076112
0.00857553108597646,0.0938010794076112
0.00900592148226022,0.0981299059970892
