symbol,BRx.111.1..10.08.15,BRx.111.1..10.19.15,BRx.111.2..10.08.15,BRx.111.3..10.08.15,BRx.129_2_111814,BRx.129.2..9.29,BRx.131.1..09.15.15,BRx.132.1..06.09.15,BRx.136_1_123014,BRx.136_2_123014,BRx.139.1,BRx.146.1..08.06.15,BRx.146.1..4.16.15,BRx.16_1_102214,BRx.16_1_120314,BRx.16_2_102214,BRx.16_2_120314,BRx.16_3_120314,BRx.16.3..09.09.15,BRx.16.4..09.09.15,BRx.170.1,BRx.170.2,BRx.172_1_111114,BRx.172_1_120114,BRx.172_2_111114,BRx.172.1..02.01.15,BRx.172.1..06.25.15,BRx.172.1..08.18.15,BRx.172.1..08.25.15,BRx.172.1..09.09.15,BRx.172.1..4.16.15,BRx.172.1..9.30,BRx.172.1.08.04.15,BRx.172.2..07.07.15,BRx.172.2..08.25.15,BRx.172.3..07.07.15,BRx.172.5..11.11.14,BRx.180.1..06.12.15,BRx.180.1..07.02.15,BRx.183_1_031015,BRx.183_2_031015,BRx.183_4_031015,BRx.183_5_031015,BRx.183_6_031015,BRx.183.3..3.10.15,BRx.183.7..3.10.15,BRx.213.2..08.26.15,BRx.213.3..08.26.15,BRx.245.2..09.04.15,BRx.42_1_110314,BRx.42_2_110314,BRx.42.1..10.20,BRx.42.1..9.14,BRx.42.1..9.22,BRx.42.1..9.29,BRx.42.2..9.14,BRx.42.2..9.29,BRx.42.3..9.29,BRx.82_1_012015,BRx.82_1_030915,BRx.82_2_030915,BRx.82_3_030915,BRx.82_5_030915,BRx.82_6_030915,BRx.82_7_030915,BRx.82.1..1.12.15,BRx.82.1..11.13.14,BRx.82.1..9.15,BRx.82.1..9.29,BRx.82.2..11.13.14,BRx.82.2..9.15,BRx.82.2..9.29,BRx.82.3..9.15,BRx.82.8..3.9.15,total
RPL9,0,59,0,0,65,279,1,2695,150,1066,0,792,1,44,475,391,53,0,0,0,0,0,0,21,0,0,209,84,0,581,1,0,299,1,0,1,69,418,0,318,5722,1940,1161,2953,149,2910,1,0,0,68,0,117,74,257,714,405,1069,1541,46,430,782,1052,742,1307,796,1964,484,118,555,361,4,104,99,687,36685
SNX3,1480,126,374,27,28,389,0,682,42,1092,211,1728,0,1228,293,2312,711,0,0,0,20,0,211,1002,8,921,0,0,0,0,91,87,2,2230,0,1299,590,1,154,431,745,265,190,1325,2,573,0,0,140,62,252,95,0,94,477,218,765,644,1518,101,1146,525,573,946,1330,3346,425,683,396,148,752,573,271,60,36410
C7orf41,177,0,0,0,76,0,2,2,5,202,10,0,0,3267,181,2026,757,56,455,30,253,1201,476,3781,1362,2194,0,348,376,3788,502,381,49,224,3669,255,1390,42,1,46,427,288,18,176,9,320,695,49,47,5,323,0,50,29,110,8,182,288,916,0,0,0,109,406,15,107,33,255,119,0,3287,237,155,161,36408
HINT1,0,0,0,0,43,2,1,1031,117,1297,0,162,0,6,58,143,0,0,0,0,0,0,0,22,0,0,32,3,0,212,0,0,1510,1,1,1,14,318,1,239,3951,2829,761,4732,103,3894,0,0,0,7,0,0,150,208,549,509,300,946,1,221,950,823,1311,2308,556,2668,1173,0,1200,257,17,0,21,549,36208
RNF10,68,3,654,0,3,92,3,602,0,336,0,5769,1487,974,188,711,79,0,1,0,52,240,168,932,384,233,65,15,36,0,470,0,91,0,241,1518,421,46,0,169,703,396,154,2176,4,923,7,0,516,75,469,190,169,330,504,44,266,914,2310,37,2522,630,3056,922,466,119,278,478,158,10,709,281,181,0,36048
SQSTM1,0,632,23,212,28,0,82,991,0,724,34,1509,0,1912,91,268,23,5,51,0,323,858,72,1289,661,1187,44,28,210,1925,196,120,242,470,119,1685,681,44,0,148,1029,902,7,499,45,807,47,47,28,12,419,61,87,202,2703,267,531,849,564,236,674,1055,1382,1004,533,1195,241,277,417,197,2299,6,131,374,36014
EZR,0,2,0,21,0,111,0,641,45,2412,0,2108,0,0,12,42,0,0,48,0,0,0,0,21,11,0,0,100,0,0,0,1,1,0,1,0,2,38,0,1,463,926,196,1395,457,891,0,0,0,24,0,140,0,225,1306,422,174,457,0,572,1619,2056,3312,2234,2068,1829,5057,37,2020,1095,0,19,12,1361,35985
CAPZA2,275,0,0,0,528,0,1,265,31,717,66,428,0,2282,31,1345,349,58,0,0,370,498,447,2407,1005,2043,0,11,238,2674,192,211,23,2452,379,1860,659,609,2,37,1087,591,103,1050,125,702,249,1,0,0,535,0,89,13,293,254,322,318,450,314,340,411,505,540,232,1569,425,329,195,173,1790,0,152,183,35833
EEF1D,0,1014,0,5,0,292,1,1241,137,1301,0,1080,0,3,184,335,0,1,3,0,1,1,0,6,34,0,323,9,0,2,0,0,46,0,79,0,9,482,0,779,6286,2652,1118,5642,242,2994,1,1,0,0,68,140,3,65,1238,72,1223,1013,36,59,352,672,538,530,740,1382,371,23,558,27,17,0,40,191,35662
PGK1,0,0,0,0,190,113,0,1044,99,6018,115,4,0,329,5,201,179,0,0,0,19,0,92,556,8,457,0,6,0,0,82,91,7,2636,0,801,281,433,0,204,1717,819,175,3448,76,1686,0,0,0,0,52,38,0,116,835,55,481,591,142,1146,1666,545,1331,633,2337,1529,645,1,502,573,107,0,25,376,35617
HPGD,0,0,0,0,4,0,0,0,0,0,0,96,1,296,154,0,2,1,0,0,0,0,1,50,8,7,0,0,0,64,0,9,0,0,3,0,38,0,0,750,10422,6268,2275,9977,186,4705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,8,0,35598
HSPD1,0,0,0,0,1,91,0,1874,36,1903,0,264,0,0,217,2,1,0,0,0,0,0,0,2,1,0,0,16,1,0,0,0,67,0,17,2,14,0,1,324,4327,2324,924,5552,133,2069,0,2,1,11,0,117,19,171,1134,242,659,1231,10,231,1072,979,1493,2153,1375,1955,977,1,861,351,0,0,1,385,35594
SLC38A1,0,1,0,0,1,0,2,555,0,1030,0,92,0,0,67,253,0,1,0,0,0,0,0,0,0,0,333,0,0,0,0,0,1,0,0,0,1,632,0,771,3477,2213,7,8053,1044,5767,0,1,0,16,0,0,0,196,112,542,565,653,1,524,129,806,1188,979,584,1570,2435,14,372,234,0,0,10,234,35466
PTPLAD1,1,0,0,0,0,0,0,326,1,513,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,916,2816,1132,460,8170,417,3923,0,4,0,0,0,0,0,113,580,2,1134,1216,0,33,1419,720,3567,2003,407,2587,622,0,1030,158,0,0,0,772,35248
MAGED2,0,97,1,0,0,0,1,106,22,246,0,0,0,1411,3,328,35,2,1,0,92,125,55,1309,243,238,1,66,85,1053,1,44,321,0,50,1160,514,1,0,276,2733,163,100,1669,250,979,1,0,2,0,126,114,65,286,1114,364,677,1415,469,363,2639,2356,2290,1029,1053,2589,308,25,527,402,1645,0,170,1429,35239
RPL7A,538,90,2,5,51,7,11,3252,51,952,0,487,0,30,97,182,0,2,0,1,6,0,2,59,66,75,358,2,0,2,0,1,84,1,7,1,22,126,4,162,4581,2515,1220,4277,27,3205,16,1,1,4,0,81,76,346,849,133,1110,1683,123,320,590,741,333,1067,1418,1946,582,36,691,26,14,0,26,437,35211
PRDX1,416,1,0,0,18,263,25,2342,276,4728,0,459,42,0,40,76,0,0,0,4,0,0,0,12,5,27,0,38,0,0,0,0,1,0,0,0,8,1,0,256,2464,1882,1052,3874,35,2947,0,7,2,0,0,232,0,292,1656,252,118,1922,212,413,1795,1477,1063,765,1055,1010,146,75,542,268,20,59,16,484,35173
DAPP1,0,0,0,0,183,0,2,0,1,17,0,0,1,3418,185,1619,247,328,117,33,172,815,469,5164,1899,3245,3,144,400,489,719,74,3,2100,153,3772,2558,33,1,19,501,36,0,95,164,156,8,7,0,0,203,0,14,0,2,38,27,6,784,129,142,0,39,69,16,0,7,701,17,44,3120,0,254,164,35126
RPS15,831,863,0,70,76,573,2,1504,34,531,32,645,0,49,153,423,69,0,0,36,4,28,2,71,13,0,182,90,0,12,0,2,109,0,0,0,20,133,3,289,5506,2095,976,4304,32,4014,0,0,1,0,0,103,6,196,1473,26,1359,923,191,305,389,528,621,653,617,1775,437,114,578,291,23,1,86,577,35049
HNRNPK,33,220,1,49,0,0,5,466,2,1426,0,1413,0,880,191,247,27,0,2,1,135,429,39,849,206,619,1906,40,68,511,48,9,699,230,204,0,315,205,4,46,2402,910,143,2208,312,1182,52,0,12,78,23,92,94,105,509,130,612,926,296,346,1152,717,1455,1840,1342,1493,2234,94,666,134,913,0,47,698,34742
C21orf7,105,0,0,0,310,0,0,0,82,0,812,0,0,4682,1056,4366,2742,49,53,0,153,447,427,476,787,1970,0,46,259,0,62,38,22,0,0,4374,290,8,0,19,0,0,0,99,8,189,34,0,9,0,19,0,2,0,1,70,41,10,4262,0,183,0,0,0,4,0,0,2274,0,0,3217,230,360,1,34648
MKI67,21607,0,0,366,0,0,3,84,0,1232,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,0,0,1,0,0,102,0,1242,0,2680,0,1196,0,0,0,2,0,0,0,0,0,0,0,2,271,0,1,1,0,897,0,0,2881,64,1184,0,0,0,1,2,34637
IQGAP2,0,0,1,0,136,1,0,0,6,1,0,390,1,2685,319,61,1,47,61,0,38,892,65,2495,1377,585,800,356,229,2739,33,102,92,362,866,611,1099,183,2,266,1688,96,151,4330,338,1745,481,326,10,80,595,0,195,16,158,28,200,80,68,1,261,524,882,547,449,985,111,192,113,276,2601,1,30,161,34621
ACTN1,0,0,0,0,330,158,0,339,73,1801,353,1317,0,3364,0,221,1180,1,511,0,140,507,134,5215,378,600,0,6,190,0,134,370,0,2748,86,1040,1773,10,0,402,647,958,17,973,136,513,0,0,0,0,117,0,11,0,78,124,0,174,363,1,22,31,425,394,205,1,1018,221,316,0,4098,1,165,112,34502
ELF1,0,46,0,0,122,1,370,84,0,5,0,196,0,4131,137,291,119,45,1586,196,153,1416,689,3266,1862,842,241,82,684,5593,1123,0,102,0,2774,273,1169,4,0,0,0,23,0,23,8,166,621,104,280,17,145,4,94,5,32,83,36,32,638,64,176,0,21,16,607,0,0,327,23,115,2989,0,237,3,34491
MAX,0,0,0,0,166,0,55,101,1,67,293,229,0,3713,76,2019,821,205,14,111,460,1160,308,4397,991,4719,7,372,212,2123,245,293,0,514,462,1372,1802,1,64,129,227,42,4,87,99,206,176,24,1,0,301,0,0,20,16,0,65,20,851,58,0,68,101,66,374,0,0,164,3,39,3432,208,304,0,34458
RPL37A,208,3106,0,65,56,535,0,1880,68,673,89,469,0,54,78,201,0,0,0,0,19,0,0,28,9,73,223,41,0,159,3,0,162,0,0,0,16,613,1,240,3130,2391,1231,2841,99,2797,0,0,0,52,0,80,17,138,997,287,776,1003,22,270,657,889,819,1294,823,2136,630,125,761,320,24,1,35,666,34380
TMEM40,3,1,0,0,10,0,52,2,0,158,0,0,0,3872,222,2603,234,184,46,86,348,1300,515,2918,1372,2856,0,649,241,2809,480,308,24,801,1460,2846,1122,3,0,15,21,99,0,1,0,22,570,997,88,1,194,17,0,0,2,0,0,7,795,0,0,0,0,15,53,0,36,321,1,0,3154,83,217,0,34234
RPL36,1,4984,0,0,86,331,0,1832,15,233,0,537,0,11,111,194,60,0,1,0,0,0,7,17,0,0,558,75,0,84,0,0,0,0,14,0,10,236,4,389,4641,3055,1273,4105,29,2885,0,2,24,10,0,103,3,151,644,98,610,731,6,187,343,731,597,548,467,1559,579,30,436,56,3,0,39,480,34215
GP9,0,0,0,0,69,0,0,0,0,0,0,0,0,4462,141,3523,1302,136,1042,71,304,718,683,5030,916,1809,1,11,191,1722,428,421,0,1251,34,1177,1791,1,0,210,1,1,1,94,0,63,215,133,9,0,145,1,0,0,1,0,0,21,1006,0,1,0,2,0,40,0,0,942,0,0,3555,45,486,0,34206
GSTP1,1,1282,0,1,0,61,0,1444,56,1554,0,89,0,88,62,178,82,0,0,0,0,0,0,161,0,120,2,0,0,2,1,1,0,1,0,0,17,156,0,0,1,2,2,1,0,1,0,3,1,3,0,717,0,382,1304,536,589,1228,47,11,3749,5283,3535,1982,2325,1508,1874,37,587,872,33,0,32,2165,34169
NACA,0,191,1,0,4,153,0,698,79,1200,0,531,636,32,1,346,1,2,0,0,0,0,40,118,74,436,925,2,0,162,2,0,1230,0,5,0,28,53,0,503,4982,1796,887,4354,105,2730,0,0,108,0,1,118,138,108,845,389,755,671,274,326,679,809,1402,1079,1110,894,556,140,436,276,70,59,67,394,34011
DGKD,0,0,0,0,32,0,608,63,19,75,0,40,35,3474,1151,11,102,365,1964,337,0,605,116,2008,1248,245,533,808,411,2183,0,44,0,245,5029,22,520,0,0,8,518,152,0,613,19,168,3359,1254,422,0,49,0,259,0,130,37,269,125,28,11,197,115,288,228,49,125,62,131,163,0,2547,4,71,221,33915
RDH11,0,1,1,0,0,0,1,253,6,680,3,532,0,4703,205,532,401,83,653,23,379,938,627,3795,2175,3246,454,146,483,0,246,113,35,1686,191,74,1401,680,4,0,117,155,0,552,1,345,373,12,12,16,95,0,1,5,17,26,74,128,409,266,221,20,680,2,16,942,2,192,53,1,3818,128,42,389,33860
SRGN,0,0,1,0,104,0,0,0,0,0,0,157,43,3968,456,4255,920,16,67,0,109,280,474,3076,602,4358,2351,77,96,6,9,264,1,2568,0,2014,1707,478,1,17,0,1,0,0,0,123,0,0,2,73,330,5,0,0,0,0,21,19,793,0,0,0,0,68,0,0,0,666,0,0,2797,0,256,0,33629
RPS8,287,805,0,7,30,702,0,2498,97,1332,0,755,0,1,302,213,0,0,0,0,13,0,0,27,38,0,36,11,0,0,0,1,426,1,0,0,1,401,0,544,5045,3090,1291,4296,201,2295,0,1,0,6,0,105,1,131,878,107,444,899,60,293,535,655,419,390,724,1584,289,33,513,171,9,50,41,496,33580
KDELR2,0,0,0,0,2,190,3,1554,45,2400,0,405,0,0,62,0,0,1,1,7,0,0,0,1,0,0,0,0,5,845,0,0,87,174,1,0,14,23,13,200,2382,1264,1054,4630,148,3321,0,0,1,0,0,29,22,88,964,514,1651,468,108,724,982,1345,1768,1767,702,1693,626,0,849,203,3,0,0,207,33546
GP6,3,0,0,1,249,0,61,0,0,1,2,3,1,4608,8,769,2,212,117,8,167,1155,693,5108,2245,2626,6,490,476,127,118,115,16,122,392,4834,1710,109,2,12,177,9,0,1,10,13,209,14,6,5,648,0,4,2,3,1,2,3,219,0,81,0,13,17,2,0,2,284,3,3,5128,1,91,1,33520
ARPC5,0,0,0,0,70,658,3,428,60,1503,59,253,1,2023,291,1550,699,45,0,0,150,331,254,2375,240,2406,1143,20,72,878,236,243,45,3285,0,1446,941,13,0,111,245,401,115,1110,67,512,4,1,2,2,228,63,0,1,341,254,197,344,990,268,335,82,352,189,561,1699,52,446,404,1,2083,1,161,166,33509
ESAM,0,1,0,0,24,0,55,0,1,11,0,1,0,5113,147,1788,602,198,139,127,548,1744,605,2838,1163,1839,0,144,337,3067,493,263,0,3330,439,1319,1216,2,0,219,98,2,0,18,0,240,238,364,28,0,160,0,0,0,0,0,0,15,508,0,0,4,1,1,1,0,1,178,0,1,3698,1,128,0,33458
SCGB2A2,0,664,0,0,0,0,0,0,146,22939,0,1,0,0,0,0,0,0,11,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,9562,1,0,0,0,0,33455
EEF2,0,356,11,0,1,74,39,453,1,679,9,673,0,33,10,32,0,6,0,0,1,0,0,13,3,0,0,9,0,416,0,1,263,0,1,0,47,131,0,329,10106,2429,901,6204,160,1958,15,3,60,7,2,64,2,182,606,25,912,759,17,192,465,616,1011,429,658,1216,81,33,196,123,48,1,13,354,33439
STRADB,34,2,161,246,1,0,0,601,0,53,0,4276,431,973,1577,2827,0,1,0,0,0,8,430,134,518,1,0,0,14,741,21,0,0,0,103,0,84,405,126,462,6,1,391,334,168,182,8,0,534,62,141,180,9,275,811,4,27,737,7756,396,1309,177,1874,209,34,0,53,1938,157,293,173,489,289,0,33247
TMED2,0,209,0,0,76,0,0,929,277,1962,0,651,0,0,1,0,0,0,0,0,0,99,2,158,1,310,0,1,0,540,0,0,927,0,1,0,2,0,0,190,2551,1027,335,4032,69,3131,0,0,0,6,0,150,13,287,1554,331,948,905,0,212,1096,601,1224,1029,706,4817,486,56,959,56,61,0,31,103,33112
TALDO1,739,275,0,61,193,0,1010,439,6,835,70,478,308,1882,70,1429,379,81,0,0,205,845,242,2308,622,1143,0,90,88,270,155,142,58,1101,270,1144,847,2,179,235,1116,826,311,2109,9,1531,38,92,114,13,258,0,140,82,274,312,174,243,1032,72,607,63,892,269,422,47,287,561,237,115,2142,151,224,74,33038
RPS15A,280,480,118,0,29,478,0,3240,54,434,0,351,0,134,147,300,1,0,21,0,5,0,48,105,0,0,3,105,1,149,0,0,275,0,42,227,30,547,0,324,4355,2227,1378,3889,25,2717,0,0,0,90,0,94,27,217,722,137,757,630,50,250,624,562,546,840,1215,1000,417,90,549,446,102,56,58,997,32995
SLC4A1,13253,7,403,800,3,0,14,842,0,2,2,3449,3463,68,278,273,211,0,12,3,0,0,85,0,19,0,6,2,0,3,33,0,323,1,12,1,13,340,54,151,2,0,216,294,3,98,17,20,338,37,141,11,9,183,213,5,38,356,3251,22,484,23,805,378,104,69,93,845,3,2,14,518,199,55,32972
TSPAN13,2155,0,0,0,1,0,0,396,22,900,0,100,0,0,0,9,0,0,0,0,0,5,0,122,19,0,0,0,22,0,0,21,0,293,0,3,199,1,0,17,2092,948,22,2440,362,2618,78,1,0,0,0,131,1,121,998,392,866,558,1,532,1022,1542,3253,2657,1496,3837,980,0,817,148,119,0,4,609,32930
CLTC,40,1,0,293,2,266,8,1365,2,1780,0,70,0,663,36,85,0,0,6,1,78,96,1,629,173,280,80,5,8,0,33,19,335,331,8,0,472,50,4,535,2162,612,239,2103,144,2555,65,0,1,1,0,110,21,18,946,208,616,1503,177,348,571,1225,3342,1530,1865,1137,458,0,1104,323,840,0,24,632,32635
MATR3,0,0,0,0,9,0,0,374,104,741,0,861,0,890,211,97,4,0,0,27,42,112,16,493,664,417,1424,3,24,1577,0,1,177,95,524,2939,234,670,100,96,1477,302,268,2614,36,1332,34,0,0,2,0,0,0,11,1097,396,312,1082,0,274,625,441,1517,2044,512,1636,963,17,486,706,631,0,18,484,32243
PDIA3,0,0,0,0,340,254,7,414,1,1603,0,558,0,435,75,0,0,0,0,0,1,92,3,321,84,231,3,31,60,312,108,33,0,479,0,0,204,344,0,18,2286,813,367,4321,15,3256,22,0,0,56,0,32,0,0,1831,178,972,1172,82,384,1037,746,2740,1753,341,2021,410,20,519,121,448,0,35,222,32211
HSP90B1,0,70,0,0,0,43,0,1237,26,1375,0,663,0,0,2,142,0,0,0,0,7,0,0,0,0,0,305,0,0,0,0,0,0,0,2,0,103,165,0,305,1681,1947,480,5949,125,3801,0,1,0,0,0,81,0,48,1728,623,923,1534,20,472,683,1371,1741,1504,209,1014,451,8,636,237,27,0,52,395,32186
ETFA,265,0,111,0,324,14,1,508,0,218,53,0,0,2205,0,1235,482,137,0,99,399,381,220,1243,700,1103,0,49,214,1007,69,38,1,2299,929,649,579,0,1,262,1867,728,254,2149,117,1258,6,265,0,58,79,0,65,33,135,131,165,80,293,303,234,768,407,428,485,2717,757,128,245,56,1750,0,89,235,32080
ARPC1B,648,0,0,1,521,47,0,304,70,181,379,0,0,1610,222,2850,1441,67,198,4,41,354,387,3578,151,3408,23,1,37,196,13,486,1,3169,0,1702,1802,1,1,583,452,396,127,362,32,235,0,0,0,139,316,53,70,0,90,1,75,40,1002,142,0,0,147,169,478,1,0,392,64,0,2243,32,382,56,31973
SLC25A37,3167,9,629,269,85,2,16,1543,2,37,9,3849,2611,285,760,1745,37,29,637,18,1,14,238,2,276,1,12,0,1,552,102,0,270,4,1182,7,85,16,773,174,376,15,58,168,11,18,6,16,315,107,475,265,165,109,442,16,5,313,3339,70,1077,171,1844,282,243,5,109,1308,1,3,40,808,233,71,31933
MGP,0,1647,0,0,3,37,0,20,1417,192,0,513,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,211,5728,760,55,873,72,5214,1,0,0,0,0,0,0,0,27,387,913,19,1,233,9,2226,8382,1086,106,0,1063,1,8,159,0,0,0,461,31826
RPS7,116,951,0,0,227,195,0,3219,145,1705,98,650,0,50,176,269,0,1,1,10,0,0,35,47,41,77,441,15,0,111,0,0,257,1,54,1,18,132,48,546,3556,2436,840,3542,59,2654,0,0,0,30,0,41,0,164,656,319,483,1355,42,265,470,921,436,716,437,1373,401,34,429,90,48,3,57,326,31820
BCAP31,565,0,0,0,31,0,0,719,85,2145,0,124,0,1141,217,621,0,1,1,0,51,0,2,810,81,902,502,0,58,0,80,63,0,0,0,711,295,197,0,140,1002,1094,253,1506,5,1229,132,0,0,0,0,80,0,177,506,84,737,1079,59,267,1148,1503,2275,1360,1104,4099,591,172,535,1,566,0,65,572,31743
CD36,258,0,0,320,0,0,8,0,1,1,0,0,0,2107,35,380,1274,17,6,2,6,36,336,7744,224,518,0,100,35,1,0,156,5,1861,6,1706,2814,136,1,125,1,2,29,237,4,13,3,5,3,1,226,0,1,0,2,1,7720,287,184,0,1,0,10,1,0,1,2,210,2,2,2142,1,266,0,31576
TSC22D3,0,0,478,0,257,0,0,31,2,102,0,196,0,2541,503,830,193,7,1,0,89,1157,351,2077,413,2284,1709,0,297,1240,223,178,0,473,42,580,1709,0,0,219,155,46,35,343,3,690,0,0,12,333,328,0,0,51,651,143,269,307,257,403,971,684,1346,1127,615,2,220,280,436,261,3007,0,185,213,31555
CSDA,563,0,421,62,197,64,44,791,95,403,0,889,1832,869,1068,1759,225,136,218,0,25,127,303,192,759,202,0,14,13,268,134,55,11,0,459,0,450,62,34,758,1086,537,279,1571,111,439,388,0,358,39,517,184,216,138,190,126,0,507,4274,0,495,176,1526,462,216,422,285,793,71,5,320,1544,218,150,31145
MFSD1,2,2,0,0,0,0,0,31,0,138,8,0,0,2949,173,1250,1270,147,0,33,29,417,231,3932,807,3041,402,149,173,202,235,245,0,2479,6,2843,1283,8,0,258,0,51,0,532,0,206,61,0,0,0,151,0,0,57,95,12,165,179,713,129,0,141,334,14,139,1624,218,284,106,4,2849,0,203,116,31126
HNRNPC,3,0,11,32,58,219,0,1752,4,1186,0,783,0,165,181,2,0,0,3,0,26,163,0,280,18,591,0,8,2,1484,0,0,1622,0,576,0,507,3,0,133,3411,1007,282,2256,171,2059,55,0,0,35,0,58,35,199,854,333,543,792,48,328,639,1277,663,1091,680,1763,1180,11,378,65,221,0,66,658,30970
TPST2,0,1,0,0,366,0,9,0,0,71,4,1,0,3649,49,1146,44,73,4,55,356,1076,662,3059,1691,1056,0,56,406,4407,697,167,9,2708,379,1358,1177,142,1,0,180,107,0,164,0,115,65,1,69,1,367,0,121,0,140,0,0,2,714,1,9,0,13,0,1,0,0,215,15,0,3309,186,211,0,30885
RNF11,460,0,0,0,69,65,0,705,85,212,237,799,807,2092,399,2466,1482,4,0,0,65,221,132,3200,258,5475,0,41,67,0,42,191,0,222,5,739,1035,393,58,444,351,566,85,695,203,456,0,0,119,17,90,13,40,87,103,7,76,243,1356,107,83,12,451,101,24,0,86,618,77,18,1874,101,270,49,30848
HIST1H4C,4805,449,0,69,0,0,447,1115,6,2185,0,508,0,73,967,49,0,9,1243,118,28,84,35,68,146,0,363,30,3,89,45,0,1629,0,0,0,34,0,620,0,41,1667,7,3131,1,586,28,374,116,8,11,4,2,0,35,20,63,60,111,25,66,31,175,1122,86,95,5486,34,2095,1,29,0,2,103,30832
AP2M1,457,2,0,72,0,331,0,1454,77,2322,103,281,0,1613,165,845,225,0,0,0,54,176,159,1134,733,1222,315,0,71,2118,220,111,148,1192,326,1426,582,0,205,189,1365,306,1,454,30,843,0,0,81,0,235,77,63,122,287,40,447,389,839,194,1154,630,752,1507,231,511,229,295,217,1,840,81,98,104,30751
DNAJB6,1,243,0,1,61,0,514,566,10,710,194,8,845,1687,243,1301,293,237,108,43,155,717,480,1824,1001,1142,415,285,292,898,201,40,156,0,472,3268,2065,4,31,21,808,533,1,621,151,629,135,324,113,23,408,33,139,20,185,24,323,345,509,37,373,190,409,364,543,773,73,135,448,73,1255,0,101,73,30703
HMGCS2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,338,10508,155,2262,6211,72,2259,0,0,0,0,0,0,0,292,0,0,1125,0,0,228,2620,823,357,786,10,670,496,1,92,0,0,0,0,1376,30689
DSTN,0,402,0,0,102,150,1,888,47,1880,0,135,0,187,0,399,170,0,0,0,0,2,2,405,2,853,49,2,0,0,0,162,8,623,0,40,116,0,0,2,1135,1110,14,2223,1,1844,0,1,20,0,0,16,27,188,1400,724,1251,1828,264,628,1223,840,1613,1133,1246,3016,256,26,768,594,256,56,26,305,30659
RPL32,337,948,122,0,45,598,2,4812,74,1256,26,555,3,0,97,205,0,0,1,2,0,41,22,18,1,1,0,188,0,292,0,0,100,0,0,1,10,176,20,157,2729,1601,814,2235,4,1850,0,2,30,31,3,78,1,206,953,95,767,797,117,345,625,1016,730,747,643,1954,470,162,438,286,0,12,70,659,30580
NGFRAP1,0,65,43,0,259,205,11,138,111,643,61,0,0,1726,163,3118,943,61,0,0,24,0,107,2252,88,2104,0,0,72,0,32,188,0,2138,10,1594,902,4,0,228,772,560,121,1236,27,1195,0,0,0,0,384,69,0,151,579,41,307,783,523,105,286,275,530,653,543,952,547,639,434,0,1118,74,212,13,30419
RPL29,308,3404,0,0,4,521,0,1458,53,1105,0,263,0,74,47,251,0,0,0,0,0,0,24,13,0,11,365,15,0,129,0,28,89,0,37,0,1,112,1,284,3758,1252,1185,3279,16,1822,0,1,0,16,0,131,10,160,474,60,1181,687,48,370,706,882,1052,490,703,1605,429,138,559,148,21,47,13,573,30413
SH3BGRL,0,0,853,57,261,233,0,147,106,200,357,413,268,1077,151,1085,640,0,0,0,19,137,34,1822,29,2554,1,0,28,89,5,143,0,1328,1,2652,719,1,221,249,408,166,3,1028,141,453,0,0,0,88,198,4,0,165,2008,339,424,1832,1842,172,446,224,590,0,609,1603,0,498,116,133,721,23,171,116,30401
TC2N,0,0,0,0,0,0,1,0,0,171,11,54,0,1745,27,447,2,5,0,0,33,69,59,1099,18,536,0,52,76,0,38,56,0,303,0,0,443,566,0,163,8411,1634,135,1844,1185,1517,18,3,0,91,0,3,0,115,732,394,796,281,1,560,624,90,321,1394,1236,12,405,21,161,758,1098,0,13,507,30334
RPS27A,0,738,0,19,46,321,80,3035,74,1664,19,775,0,177,330,451,6,1,0,0,19,8,14,109,12,180,418,28,7,398,0,21,73,0,18,71,84,422,0,227,3709,2091,907,2296,88,1801,79,26,2,78,0,141,36,179,545,331,1172,881,35,330,340,414,637,632,962,1218,204,95,338,74,61,0,33,664,30244
ASTN2,92,9,6,30,108,7,1347,135,4,359,79,167,33,787,702,31,6,92,573,319,10,85,31,844,1148,77,436,382,145,1130,2,4,3123,24,1148,83,288,3156,96,0,980,310,19,368,1261,1077,847,779,276,105,6,3,902,13,394,252,265,531,48,119,443,194,658,933,544,71,326,28,258,356,650,14,19,77,30224
ARL6IP5,0,1,8,0,97,0,0,48,32,1135,114,75,0,1810,5,938,40,100,1,0,48,287,330,2209,176,3232,1272,0,100,160,189,120,232,786,0,5150,775,11,2,26,341,238,25,870,86,693,1,0,0,2,47,0,0,26,137,258,184,459,442,233,326,520,1014,425,179,1122,431,207,169,297,1358,0,59,470,30128
