symbol,BRx.111.1..10.08.15,BRx.111.1..10.19.15,BRx.111.2..10.08.15,BRx.111.3..10.08.15,BRx.129_2_111814,BRx.129.2..9.29,BRx.131.1..09.15.15,BRx.132.1..06.09.15,BRx.136_1_123014,BRx.136_2_123014,BRx.139.1,BRx.146.1..08.06.15,BRx.146.1..4.16.15,BRx.16_1_102214,BRx.16_1_120314,BRx.16_2_102214,BRx.16_2_120314,BRx.16_3_120314,BRx.16.3..09.09.15,BRx.16.4..09.09.15,BRx.170.1,BRx.170.2,BRx.172_1_111114,BRx.172_1_120114,BRx.172_2_111114,BRx.172.1..02.01.15,BRx.172.1..06.25.15,BRx.172.1..08.18.15,BRx.172.1..08.25.15,BRx.172.1..09.09.15,BRx.172.1..4.16.15,BRx.172.1..9.30,BRx.172.1.08.04.15,BRx.172.2..07.07.15,BRx.172.2..08.25.15,BRx.172.3..07.07.15,BRx.172.5..11.11.14,BRx.180.1..06.12.15,BRx.180.1..07.02.15,BRx.183_1_031015,BRx.183_2_031015,BRx.183_4_031015,BRx.183_5_031015,BRx.183_6_031015,BRx.183.3..3.10.15,BRx.183.7..3.10.15,BRx.213.2..08.26.15,BRx.213.3..08.26.15,BRx.245.2..09.04.15,BRx.42_1_110314,BRx.42_2_110314,BRx.42.1..10.20,BRx.42.1..9.14,BRx.42.1..9.22,BRx.42.1..9.29,BRx.42.2..9.14,BRx.42.2..9.29,BRx.42.3..9.29,BRx.82_1_012015,BRx.82_1_030915,BRx.82_2_030915,BRx.82_3_030915,BRx.82_5_030915,BRx.82_6_030915,BRx.82_7_030915,BRx.82.1..1.12.15,BRx.82.1..11.13.14,BRx.82.1..9.15,BRx.82.1..9.29,BRx.82.2..11.13.14,BRx.82.2..9.15,BRx.82.2..9.29,BRx.82.3..9.15,BRx.82.8..3.9.15,total
H3F3B,1354,107,1,2,244,0,14,4804,101,3798,0,1765,79,9415,373,3158,355,1525,253,88,457,2617,3797,6496,20312,5425,3498,407,1438,37840,1664,184,87448,1863,1843,5529,5401,1699,73,39,3573,1660,165,3783,108,2226,462,199,10,194,563,134,1575,442,2038,800,1425,483,1585,732,1080,636,2917,2668,2741,4016,2911,650,1047,315,4640,62,291,562,262159
GAPDH,1,940,91,1,290,2714,1,8200,2876,31674,395,3764,1,4007,410,3387,1983,158,0,0,344,658,982,4922,653,8271,1107,6,94,0,331,944,3,2887,0,2888,2075,1125,2,1109,10546,9862,2764,26788,48,14454,0,0,1,93,713,418,0,1215,2716,1510,2495,7533,557,4419,1741,2677,4454,6501,8201,5689,5961,1237,4537,145,4259,125,529,885,222367
ACTG1,2,122,0,0,605,1151,1,6259,701,9154,271,6850,0,4543,284,4328,1407,1,0,1,131,453,1066,8622,301,11337,1774,45,30,1,20,1198,1,12136,0,4858,4827,20,2,518,4872,19166,453,15644,645,6839,0,0,0,107,194,230,76,1484,2348,436,1870,2929,797,2715,2059,3821,9484,4476,8480,9756,9058,769,2207,1839,2914,206,212,3234,202340
ALDOA,3,1715,0,0,103,580,13,3314,1404,14929,204,580,57,2722,278,3155,511,113,0,6,75,560,270,2828,446,946,1,0,42,1144,92,426,2,1119,39,3404,1556,1,1,1619,9972,5288,2893,20861,56,13904,3,0,0,149,210,401,1,1137,3917,173,2646,2905,1089,8932,4011,8336,12181,3778,20469,10198,2884,229,2925,789,1920,100,239,2403,189257
HBA1,9997,11,6683,630,919,2,15,7369,1,4,0,22381,8026,2759,8110,13908,1206,428,531,0,58,283,2005,2,3808,23,1,32,1,26,978,2,380,1,3,104,634,601,2297,1654,117,216,963,2320,37,775,0,0,1585,975,2572,890,787,646,1082,26,56,1354,34461,497,8325,1103,8341,1961,1193,1836,1215,7309,274,9,171,3412,1621,138,182140
KRT19,0,5220,0,0,3,61,0,2648,2057,30978,0,6847,0,0,1,0,2,1,0,8,0,0,0,1,1,1,10,0,1,0,2,0,1,0,0,0,1,0,0,1283,40252,7753,4599,13418,1340,16199,1,31,0,0,0,313,0,936,1772,1155,1066,2168,1,2317,527,4575,5678,1549,4781,8594,1001,1,1237,533,0,0,0,764,171688
FTL,1867,323,1291,137,1557,1023,11,9080,221,1151,710,6016,465,4045,3313,11525,2625,386,1336,12,801,895,1938,5532,2629,11003,1,87,235,6086,455,568,1021,3496,1,3641,3905,52,926,1670,1613,802,856,1763,170,1434,41,0,385,379,1129,386,179,698,2950,1081,2117,2628,14096,1301,5213,1912,3808,1631,3389,7991,551,6977,777,752,4818,1285,1309,1023,167480
RPS2,2,6737,0,6,250,4533,1,13306,131,3111,0,4016,0,78,719,897,0,3,3,11,0,1,27,73,158,0,1232,137,0,208,1,1,56,1,4,11,42,682,3,1357,24033,12189,7140,21820,205,10896,1,0,0,4,46,116,53,372,1349,65,1212,1176,292,1826,3566,7904,5546,4665,5647,7174,2029,90,3445,630,13,66,139,3784,165291
ALAS2,12617,1,5179,1034,1,1,1,9677,4,4,0,26273,7919,1276,2315,4177,0,1,1,0,49,355,957,0,1302,3,0,0,0,0,404,0,621,0,2,2,257,167,1975,1973,40,15,1209,1798,1,341,0,0,2074,322,2892,551,1022,798,1591,2,64,4093,20013,420,12963,2090,13027,1354,1262,431,1547,5635,201,2,59,7090,1276,2,162733
SDPR,0,4,80,0,1072,0,339,0,60,1,333,0,0,15489,1298,8162,4516,268,288,162,661,3348,2235,23004,2462,22958,0,47,1099,672,1583,802,1,10618,847,26250,7101,5,0,966,174,0,0,209,0,307,347,32,4,3,1057,0,1,10,43,74,45,85,4264,0,0,0,0,0,536,0,0,3059,0,2,14193,227,1273,0,162676
