,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1
DGKD,0,7.05427722937254,2.66567628184743,9.27496827854098,6.7648765115855,6.83332640415776,7.39148305836087,6.24269710288095,4.57181942952815,4.43463466464029,5.63270373520536,7.86709336279574,2.16732494942335,18.0787013754219,17.5752201636424,16.7085177507251,17.4575959314591,7.10799218970708,8.62169903196743,17.28443188204,1.23605484403774,2.37506761871844,17.0880215124482,17.8080641733028
HIST1H2AC,7.93863711937499,6.88570845172635,0,0,7.04108096335495,6.37863127395593,6.12582061096431,6.07515160998626,0.677653057474106,4.24517569967631,3.5231121613456,7.760653415932,0.998329075997963,15.1640561270403,13.8642857118968,16.8657544539312,16.6658260383736,0.360126571079381,5.57001324827331,16.7345620640286,1.70452904254281,8.85453315729045,17.5397022045146,18.1329415725056
P2RX1,0,4.92185271661597,3.54726394293116,1.34837882341911,1.58273770828451,0,0,11.6390083427774,0,0,2.57821081425982,0,0.998329075997963,14.432533450496,6.93643684437488,15.8593185281555,14.7543065277741,0,2.01521052905459,12.5897645332639,0,0,14.9543200243234,16.170784753436
TACC3,0,4.92185271661597,0,5.82439368362087,8.81045014206923,4.42973145089303,1.78095600060848,6.97202178831474,0.677653057474106,1.22073322541004,4.22328143221942,0,5.40612591703434,16.7009456999382,0,15.8856545889457,16.5878195033654,0.648076070868591,7.90716330965149,15.4335264369983,0,5.36460650336962,17.1700212258895,15.1956468977796
RILP,0,4.92185271661597,0,0,0,0,9.05076811384671,6.87330672191071,2.80639737728569,0,3.45206457279618,0,0,0,15.4550482086972,8.88742861915267,17.3592672641438,0,0,0,0,0,16.9195495006279,13.93154936555
ARAP1,0,0,0,0,0,4.42973145089303,1.14943439400826,0,3.40498059524662,0,0,0,3.5818976602051,0,19.5975893111591,12.0495464664487,13.2075681801104,0,4.05715617061767,13.4067424751598,0,0,14.3142107832032,11.5667685492375
TUBA4A,10.3185387549509,6.21493820535335,0,5.76409966830646,3.16695784845715,11.5904741979498,6.7977050203256,5.40986167000988,0,7.9493627941202,1.68247064766758,0,8.79107962060685,6.93388182301477,9.51155018168257,17.6989809242841,18.133126776839,0.648076070868591,7.27075005629329,17.0367418527964,1.48922444106289,0.877760165335303,17.4167067014384,16.7483715521555
LPAR5,0,3.96867819654524,0.818528852622447,4.34541268110006,0.998331727399385,5.71092522774921,4.44032601679422,6.39279375970058,1.13689425061501,0.735804357408018,3.12667567327395,6.07510471425364,1.31992275372838,16.0370987869099,9.88033759959569,15.8310083355632,15.9736979812688,0,0.520676641899108,14.9736130508759,0,0,15.4547289322118,16.2044674283965
MEIS1,0,4.92185271661597,0.818528852622447,1.73091708777391,0,5.39586655790974,2.82605939329517,10.2247245794041,5.25441279280882,1.22073322541004,0,5.66718251371805,0,4.40674300237995,9.57036480569144,15.1068122705462,17.8507087318303,0.648076070868591,1.20406798267283,17.3986939334286,0,0,11.5194512793012,17.6614516714277
MPP1,8.766137147701,7.20519442507868,3.63854889940018,10.6183841388279,10.6132124961019,15.4370334939072,9.56866397796867,16.5294687293405,6.56266289530066,11.5103302622763,12.0117184900865,7.23309234163059,12.849283705317,8.42872683878565,11.7830001977505,17.6764789093741,18.2574370326431,1.09366428582413,5.97078852684858,15.7262962251483,0,0.877760165335303,18.7661086431655,18.0837955828125
NLRC5,0,5.89785743310662,2.66567628184743,1.34837882341911,1.58273770828451,6.83332640415776,3.4257483575507,11.2973407483021,1.13689425061501,0.735804357408018,4.52967830148967,6.07510471425364,8.08678091910945,16.4742382878673,21.0602595861092,13.1444683382035,14.7373263834445,11.9366633898993,7.82382516931032,15.5359059687972,0,0.504630698863175,7.50982378834507,14.9665679672342
TSPAN33,6.36538773466061,5.89785743310662,0,0,0,6.69708746523945,6.3470589900305,7.38418348123912,8.27221580143266,1.87235708264064,2.43817126204569,5.09634619115361,0,4.40674300237995,6.93643684437488,17.1847593671701,18.6593292812922,0.888005180667002,8.93650968700678,0,0,0,18.9810918656463,16.6052726994537
RAP1B,6.89050821220906,18.0730571945731,7.53755092654936,8.10974704965384,8.44375432653385,5.39586655790974,9.85244833194512,11.4761646793666,9.0262380784287,2.11324323956861,2.93155349930923,7.23309234163059,6.96246728021534,13.2605456857773,17.684712770735,17.486776390194,11.8706162198697,1.57761952485716,8.32787055481521,16.8846382597653,0.928798629156702,0.877760165335303,17.8902170400992,17.923305427756
ABCC4,3.32906903637853,0,0,0,7.95667687851097,3.49516589389416,1.49947786604883,10.3945156121295,0,0.735804357408018,2.28306251202448,5.09634619115361,0.583848766442788,3.47320460983135,0,14.126348233672,14.8836963670423,0.888005180667002,0.520676641899108,18.3715629595721,0.537887479196465,1.41956075653212,14.1382456035178,16.6879057295177
ADD3,0,6.21493820535335,2.01949794800029,2.03298832515174,0.998331727399385,0,1.49947786604883,8.18783249466451,0.677653057474106,0,5.63270373520536,7.38413616442032,4.95096050998461,18.4815740483413,14.1867819631952,15.5557112760527,8.44810294683795,0.888005180667002,1.20406798267283,17.7853512675303,0.537887479196465,0,7.43983019389859,15.7308156403991
DNM3,0,7.05427722937254,1.71844714392447,0.826297654785786,0,6.54662847166998,2.39614355693672,5.66722917873644,0,2.11324323956861,2.43817126204569,6.07510471425364,0,13.4945431223857,7.9305354187192,15.4691347088916,12.7414206732503,0,0,16.1812390744455,0,0,16.7540015010506,15.9549514362434
TECPR2,0,0,0,0,0,3.49516589389416,0.686284966381428,3.21766096289394,0,0.735804357408018,2.28306251202448,0,0,0,6.52532026021664,11.5000542589838,16.2867834827037,0,6.17550431315228,15.1903807330841,0,0,16.4322174941722,14.5402104423485
ESAM,3.32906903637853,0,2.01949794800029,8.32676870402993,7.06277565653884,4.42973145089303,5.32137296049727,11.5658220431228,1.13689425061501,0.735804357408018,0,5.66718251371805,0,7.86682691436612,7.25600726502207,16.3097292036634,13.0472330230319,0.360126571079381,0.90246408449394,16.6508738990605,10.8237229093401,0,18.0513095274148,17.2386478672031
HHEX,0,5.49086278725599,0,0,6.82958085610258,4.42973145089303,1.14943439400826,0,0,0,4.49475308861283,6.39274672444112,0.583848766442788,16.6713582891151,6.52532026021664,15.3141366006228,16.8353755261988,0,0,14.4001009777002,0,0,4.19081171184153,14.7537738546588
CCND3,15.0032574738452,8.52124450656886,8.31241457171451,9.84951456122233,3.69735832192847,6.83332640415776,1.14943439400826,0,5.74843784393835,1.87235708264064,2.10924601473523,5.09634619115361,0.583848766442788,0,11.583291484702,14.6401708616899,15.0754448611257,0.648076070868591,8.92494545880505,17.1213934056517,0,0,15.9811113816836,15.8681931354941
CALCOCO1,0,4.92185271661597,0.818528852622447,6.68724343725494,0.998331727399385,3.49516589389416,1.49947786604883,7.1512414273753,0,0.735804357408018,1.40997669898968,5.66718251371805,5.66914719543296,12.6273180659582,7.25600726502207,15.1015891534833,17.4248279514089,0,0,16.0642810813855,0,0,13.8687212012837,15.9003851289661
CNST,3.32906903637853,7.4665984502499,0,0.826297654785786,7.99667457940942,6.69708746523945,8.93344510047421,6.52873559566962,1.48470872817987,1.22073322541004,1.91158211135682,7.23309234163059,0.583848766442788,4.40674300237995,13.2285408194509,17.4666035979357,12.3004553578175,2.04226733355025,4.97379292798776,17.8170799316446,0,0,18.2341795011118,15.6051635535981
LIMS1,15.1346364537273,8.9208302021028,9.17373471553279,10.3320737409602,7.61873030900501,6.37863127395593,5.77093052338093,12.6103302054204,0,0.735804357408018,8.48109575956754,0,5.5966380790196,5.37232763195234,18.8419849034791,16.6188878792891,7.55121427809428,9.3086609192473,5.97078852684858,17.0767866657801,1.23605484403774,0.504630698863175,16.9573226553663,15.7362443149567
TPST2,0,0,2.26844440588194,2.2826313462247,7.29130356098278,5.39586655790974,2.39614355693672,4.13795821240506,0,0.735804357408018,10.0957721607117,0,0,4.96885338267809,5.94816776536613,16.7425705148296,14.6200184465992,1.2736307651878,7.08464539455865,17.8080210733637,0.928798629156702,0.504630698863175,13.5464009497531,17.239603815807
UBR2,0,7.68782518488642,6.54529517840966,0,7.15655623305587,6.95780261814536,1.14943439400826,12.724462847988,4.10328443946884,1.22073322541004,0,4.13791331447149,3.99686542829255,0,20.0367654882129,16.2182986222303,17.070402727344,8.11460908246933,5.85639468268406,16.2798493146125,0.537887479196465,0,3.2677224296125,4.17668326841082
UBR4,4.25544331663855,7.20519442507868,3.54726394293116,10.075134266794,7.28208516741807,6.54662847166998,4.31347596296648,11.1988655187172,9.58234316952078,10.5359326987956,3.45206457279618,7.38413616442032,9.30272319248036,11.5174724736016,21.2937645887747,15.8911851477457,18.2074500685609,1.43361702111365,10.4273464597068,15.42339317393,0,1.41956075653212,16.9186451543965,15.3083650224165
MLL,3.32906903637853,3.96867819654524,2.97681455625026,2.03298832515174,7.56653472294278,3.49516589389416,6.66543826930731,7.45416151129131,1.13689425061501,2.93607383387257,6.51728571180613,20.3574524639806,6.70404738127647,18.958467727437,8.25128032612191,15.8053477045484,2.85173750034454,0.360126571079381,7.28288038334742,17.5766745339737,0,2.86421626761908,9.45148089870676,15.6456330268858
C10orf10,15.5177379584069,8.9208302021028,7.41380294231807,0,0,3.49516589389416,1.49947786604883,0,0,0,7.96984231042536,4.13791331447149,0,12.1252966976681,5.94816776536613,15.1077320373406,4.29690349151233,0.360126571079381,3.93948258196302,17.3248752628751,0.537887479196465,0.504630698863175,15.4846397123989,14.4256001083248
GFI1B,3.32906903637853,4.92185271661597,1.33754747741868,1.34837882341911,0.998331727399385,4.99220591003359,0.686284966381428,12.4884727163537,0,1.22073322541004,2.70585165334241,5.09634619115361,5.30052171115649,12.9918843240631,4.971347266693,17.1046331546376,12.4713363512407,0,5.47452673154668,15.7169476728157,0,0,16.0349592937788,16.8331445580496
CCNG1,11.9530081909034,7.68782518488642,0,0,8.18649752865627,6.83332640415776,9.59617437340866,11.4072715170905,1.99916218308649,9.35977400777393,0.634540208895062,6.39274672444112,3.4563921340825,4.96885338267809,7.9305354187192,16.4919597817715,18.1398208282638,1.09366428582413,6.82188889224132,16.2359669447716,0.537887479196465,0,16.5985531900066,15.9146204861355
