,theta_1,theta_2,mu_1,mu_2,size_1,size_2,prob_1,prob_2,total_mean_1,total_mean_2,foldChange,norm_total_mean_1,norm_total_mean_2,norm_foldChange,chi2LR1,pvalue_LR2,pvalue_LR3,FDR_LR2,FDR_LR3,pvalue,pvalue.adj.FDR,Remark,Type,State
MAP3K2,1.54336777160919e-09,0.384226966969856,2495.63637525153,7.37035553616422,0.0981173494903533,15158.3422904851,3.93140174891347e-05,0.999514011922275,715.545454545455,5.69230769230769,125.703931203931,2495.63636363636,4.53846153846154,549.885978428351,35.8417584275254,0.000268338186114936,5.80246961590092e-12,0.00086872074641526,1.57898694119751e-10,8.08801778884316e-08,0.000819558842543477,NA,DEg,up
GLIPR2,0.909090910815197,0.611512595658135,138273.000000001,8.91030250107187,11329.367592025,3.8405377670027,0.0757298682793634,0.301198798373986,1300.72727272727,2.46153846153846,528.420454545455,12570.2727272727,3.46153846153846,3631.41212121212,31.2005446121217,2.29207110902241e-06,0,9.45029318510548e-06,0,7.71282776090843e-07,0.00390770418506425,NA,DEg,up
BTN3A2,3.21282052927814e-09,0.220054620946326,9255.98512207851,20.3169963839071,0.0555185778437271,1.65970412819621,5.99809140853019e-06,0.0755210786661153,1160.45454545455,15.3846153846154,75.4295454545455,9256,15.8461538461538,584.116504854369,30.216511933317,4.62098469489192e-08,1.38999367571557e-10,2.32154733475431e-07,3.01964143345107e-09,1.24265039125326e-06,0.00419725880485644,NA,DEg,up
ZNF398,1.09568304557661e-09,2.80839209978078e-08,23.4545454683705,11510.6858895963,0.472381887239776,0.0275556432714768,0.0197426890724025,2.39391271466956e-06,52.9090909090909,2363.07692307692,0.0223899147727273,23.4545454545455,11510.7692307692,0.00203761755485893,28.2046336111415,2.82627408143554e-08,2.00980631026582e-08,1.45469989485653e-07,2.34477402864345e-07,3.28998368859246e-06,0.00833435117912684,NA,DEg,down
AMIGO2,0,2.2565263565393e-09,55.6363636363636,7856.61541577756,0.907057392400228,0.138800420653367,0.016041784807092,1.76663819223469e-05,153.909090909091,2512.84615384615,0.0612489111892179,55.6363636363636,7856.61538461538,0.00708146713472945,27.4975805148177,3.24185123190546e-14,0,3.64708263589364e-13,0,4.6299272149497e-06,0.00938301049381707,NA,DEg,down
PDCD4,0.0697239083116005,2.36026418079052e-09,29.1213651631361,5901.38519206855,1.15918676600486,0.150690719637267,0.0382815600163914,2.55341529103901e-05,42.2727272727273,1674,0.0252525252525253,27.0909090909091,5901.38461538462,0.00459060218178026,26.1677914070335,8.49895709365001e-11,1.10522702101434e-12,5.67197348410964e-10,3.38006321960697e-11,8.79620349603094e-06,0.0148553216708803,NA,DEg,down
KIAA1715,0.454470924179796,1.50426687607155e-09,22.4969256115875,53977.3848950833,5.43690883574289,0.0634643365007186,0.194635249449704,1.17575651368565e-06,27.4545454545455,5193.69230769231,0.0052861324522215,12.2727272727273,53977.3846153846,0.000227367949747408,25.093700831216,3.31054896884897e-06,5.98347593694371e-10,1.3352406212387e-05,1.12190173817694e-08,1.4759396391173e-05,0.0185104942636573,NA,DEg,down
ZBTB20,0.909090909767687,0.614288964144442,468.999999801465,6.7806844700747,12836.5169355662,20.6579396127499,0.964751463465895,0.752878116278464,82.6363636363636,2.46153846153846,33.5710227272727,42.6363636363636,2.61538461538462,16.3021390374332,24.7828579102404,0.00113432694392868,1.72452332640738e-05,0.00323067800486015,7.93028974917262e-05,1.7141754316552e-05,0.0185104942636573,NA,DEg,up
TMEM86B,0.545454373837201,1.412274449057e-08,21.5999979000332,3178.86792534151,44.2320323508665,0.0302539472646509,0.671892271623538,9.51711742822151e-06,15.5454545454545,330.846153846154,0.0469869586354125,9.81818181818182,3178.84615384615,0.00308859924104933,24.6506814539709,2.13495887635418e-13,1.10069549452696e-06,2.15548732708835e-12,7.07589960767331e-06,1.82675360343998e-05,0.0185104942636573,NA,DEg,down
ENTPD4,8.93513042360107e-09,2.50140565625069e-09,2470.82221096588,16.5384593134652,0.0523300133727575,0.488766992167505,2.11787415770686e-05,0.0287050270780637,701.545454545455,15.2307692307692,46.0610651974288,2470.81818181818,16.5384615384615,149.398308668076,24.2736571009713,1.76356919456833e-06,8.555502528651e-09,7.42679540493346e-06,1.16715579625357e-07,2.19001866710311e-05,0.0201740537761417,NA,DEg,up
MED23,0.724560828999827,0.923076925535095,4.62072004968002,1554.99999872574,12422.9079851974,15712.3614275474,0.999628186732916,0.909945708534268,3.45454545454545,12.3076923076923,0.280681818181818,1.27272727272727,119.615384615385,0.0106401636948261,23.3474982209021,0.000435308388697986,2.56678748256078e-08,0.00135899050981036,2.9294857137922e-07,3.41779999267766e-05,0.0214671786827878,NA,DEg,down
DKFZP586I1420,0.250411683826829,6.88259413672788e-09,13.8257698467172,4921.07289133826,1.51986026781133,0.0486382618118078,0.0990418937813703,9.88357257979777e-06,17.7272727272727,1228.53846153846,0.0144295626732544,10.3636363636364,4921.07692307692,0.00210596918634559,23.1915373251547,1.3183287350671e-07,4.24581203528618e-08,6.3594724585932e-07,4.20575720476461e-07,3.68357140749787e-05,0.0214671786827878,NA,DEg,down
FOXD1,0.818182011414074,0.921281803601401,95.999998992643,2697.03049299794,12307.3756782291,10000.0889285718,0.992260171626588,0.787587215379242,52.5454545454545,97.7692307692308,0.53744367355697,17.4545454545455,207.461538461538,0.0841338861361108,23.0669480737479,2.87811079542344e-05,8.07873035690854e-06,0.000106659400065692,4.12447335887551e-05,3.91060186700765e-05,0.0214671786827878,NA,DEg,down
TFIP11,1.76344479682619e-09,2.24116643889932e-08,24.7272730105623,2736.22188530579,0.558832085279392,0.0555338651652403,0.0221003623595353,2.02954074671516e-05,41.6363636363636,582.846153846154,0.0714362844493503,24.7272727272727,2736.23076923077,0.00903698365113563,23.0376346598455,3.3077762751077e-11,1.76586041344962e-08,2.3587681581705e-10,2.12307645128484e-07,3.96601281635878e-05,0.0214671786827878,NA,DEg,down
KDM6A,0.909090909907434,0.769230768724091,2220.00000000054,41.6666659722978,14358.9570415104,19.0718614544432,0.866095316222726,0.313999404701513,49,21,2.33333333333333,201.818181818182,9.61538461538461,20.9890909090909,22.8952958185438,0.000249018926938738,2.18144384378505e-06,0.000812018240017623,1.28680676178331e-05,4.24640087069994e-05,0.0214671786827878,NA,DEg,up
CD59,0.0715057902831149,3.38881555939048e-09,466.248186685611,234752.34033172,0.577809252190452,0.0748658178769483,0.00123774009420726,3.18913940944764e-07,850.636363636364,22774.9230769231,0.0373496920610142,432.909090909091,234752.461538462,0.00184410884585406,22.8787652174719,0,0,0,0,4.28021817853175e-05,0.0214671786827878,NA,DEg,down
NPLOC4,1.42315185814149e-09,0.133931051136458,5210.45456080718,54.712540066801,0.170763885055997,0.919543042752423,3.27722441002957e-05,0.0165290061301788,1659,122.076923076923,13.5897920604915,5210.45454545455,47.3846153846154,109.960891381346,22.7852371137845,7.12331305052771e-11,6.42441655429593e-12,4.81511504488461e-10,1.71499255474849e-10,4.47666913839795e-05,0.0214671786827878,NA,DEg,up
