"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000105669","COPE","1","positive","More details"
"ENSG00000105671","DDX49","1","positive","More details"
"ENSG00000105856","HBP1","1","positive","More details"
"ENSG00000105926","MPP6","1","positive","More details"
"ENSG00000105974","CAV1","1","positive","More details"
"ENSG00000106028","SSBP1","1","positive","More details"
"ENSG00000106211","HSPB1","1","positive","More details"
"ENSG00000106588","PSMA2","1","positive","More details"
"ENSG00000106628","POLD2","1","positive","More details"
"ENSG00000106733","NMRK1","1","positive","More details"
"ENSG00000107159","CA9","1","positive","More details"
"ENSG00000107175","CREB3","1","positive","More details"
"ENSG00000108469","RECQL5","1","positive","More details"
"ENSG00000108518","PFN1","1","positive","More details"
"ENSG00000108561","C1QBP","1","positive","More details"
"ENSG00000108639","SYNGR2","1","positive","More details"
"ENSG00000108671","PSMD11","1","positive","More details"
"ENSG00000108828","VAT1","1","positive","More details"
"ENSG00000109046","WSB1","1","positive","More details"
"ENSG00000109099","PMP22","1","positive","More details"
"ENSG00000109107","ALDOC","1","positive","More details"
"ENSG00000109929","SC5D","1","positive","More details"
"ENSG00000110958","PTGES3","1","positive","More details"
"ENSG00000111144","LTA4H","1","positive","More details"
"ENSG00000111237","VPS29","1","positive","More details"
"ENSG00000111348","ARHGDIB","1","positive","More details"
"ENSG00000111897","SERINC1","1","positive","More details"
"ENSG00000112167","SAYSD1","1","positive","More details"
"ENSG00000112699","GMDS","1","positive","More details"
"ENSG00000112715","VEGFA","1","positive","More details"
"ENSG00000113083","LOX","1","positive","More details"
"ENSG00000113369","ARRDC3","1","positive","More details"
"ENSG00000113387","SUB1","1","positive","More details"
"ENSG00000113558","SKP1","1","positive","More details"
"ENSG00000113648","H2AFY","1","positive","More details"
"ENSG00000113732","ATP6V0E1","1","positive","More details"
"ENSG00000114023","FAM162A","1","positive","More details"
"ENSG00000114125","RNF7","1","positive","More details"
"ENSG00000114268","PFKFB4","1","positive","More details"
"ENSG00000115107","STEAP3","1","positive","More details"
"ENSG00000115112","TFCP2L1","1","positive","More details"
"ENSG00000115216","NRBP1","1","positive","More details"
"ENSG00000115286","NDUFS7","1","positive","More details"
"ENSG00000115548","KDM3A","1","positive","More details"
"ENSG00000116120","FARSB","1","positive","More details"
"ENSG00000116212","LRRC42","1","positive","More details"
"ENSG00000116285","ERRFI1","1","positive","More details"
"ENSG00000116288","PARK7","1","positive","More details"
"ENSG00000116729","WLS","1","positive","More details"
"ENSG00000116898","MRPS15","1","positive","More details"
"ENSG00000117394","SLC2A1","1","positive","More details"
"ENSG00000117450","PRDX1","1","positive","More details"
"ENSG00000117525","F3","1","positive","More details"
"ENSG00000117984","CTSD","1","positive","More details"
"ENSG00000118246","FASTKD2","1","positive","More details"
"ENSG00000118680","MYL12B","1","positive","More details"
"ENSG00000118804","STBD1","1","positive","More details"
"ENSG00000119630","PGF","1","positive","More details"
"ENSG00000119950","MXI1","1","positive","More details"
"ENSG00000120129","DUSP1","1","positive","More details"
"ENSG00000120675","DNAJC15","1","positive","More details"
"ENSG00000120805","ARL1","1","positive","More details"
"ENSG00000120885","CLU","1","positive","More details"
"ENSG00000121270","ABCC11","1","positive","More details"
"ENSG00000121966","CXCR4","1","positive","More details"
"ENSG00000122359","ANXA11","1","positive","More details"
"ENSG00000122565","CBX3","1","positive","More details"
"ENSG00000122644","ARL4A","1","positive","More details"
"ENSG00000122705","CLTA","1","positive","More details"
"ENSG00000122861","PLAU","1","positive","More details"
"ENSG00000123131","PRDX4","1","positive","More details"
"ENSG00000123159","GIPC1","1","positive","More details"
"ENSG00000123297","TSFM","1","positive","More details"
"ENSG00000123353","ORMDL2","1","positive","More details"
"ENSG00000123472","ATPAF1","1","positive","More details"
"ENSG00000123562","MORF4L2","1","positive","More details"
"ENSG00000123575","FAM199X","1","positive","More details"
"ENSG00000123739","PLA2G12A","1","positive","More details"
"ENSG00000124370","MCEE","1","positive","More details"
"ENSG00000124942","AHNAK","1","positive","More details"
"ENSG00000125629","INSIG2","1","positive","More details"
"ENSG00000125691","RPL23","1","positive","More details"
"ENSG00000125991","ERGIC3","1","positive","More details"
"ENSG00000126432","PRDX5","1","positive","More details"
"ENSG00000127022","CANX","1","positive","More details"
"ENSG00000127125","PPCS","1","positive","More details"
"ENSG00000127540","UQCR11","1","positive","More details"
