"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000112562","SMOC2","1","positive","More details"
"ENSG00000113368","LMNB1","1","positive","More details"
"ENSG00000113810","SMC4","1","positive","More details"
"ENSG00000114346","ECT2","1","positive","More details"
"ENSG00000116120","FARSB","1","positive","More details"
"ENSG00000116670","MAD2L2","1","positive","More details"
"ENSG00000117399","CDC20","1","positive","More details"
"ENSG00000117632","STMN1","1","positive","More details"
"ENSG00000117650","NEK2","1","positive","More details"
"ENSG00000117724","CENPF","1","positive","More details"
"ENSG00000118193","KIF14","1","positive","More details"
"ENSG00000119403","PHF19","1","positive","More details"
"ENSG00000119673","ACOT2","1","positive","More details"
"ENSG00000120539","MASTL","1","positive","More details"
"ENSG00000120656","TAF12","1","positive","More details"
"ENSG00000120699","EXOSC8","1","positive","More details"
"ENSG00000121152","NCAPH","1","positive","More details"
"ENSG00000121211","MND1","1","positive","More details"
"ENSG00000121621","KIF18A","1","positive","More details"
"ENSG00000122705","CLTA","1","positive","More details"
"ENSG00000123136","DDX39A","1","positive","More details"
"ENSG00000123219","CENPK","1","positive","More details"
"ENSG00000123374","CDK2","1","positive","More details"
"ENSG00000123416","TUBA1B","1","positive","More details"
"ENSG00000123485","HJURP","1","positive","More details"
"ENSG00000124207","CSE1L","1","positive","More details"
"ENSG00000124610","HIST1H1A","1","positive","More details"
"ENSG00000124795","DEK","1","positive","More details"
"ENSG00000125835","SNRPB","1","positive","More details"
"ENSG00000126453","BCL2L12","1","positive","More details"
"ENSG00000126709","IFI6","1","positive","More details"
"ENSG00000127337","YEATS4","1","positive","More details"
"ENSG00000127564","PKMYT1","1","positive","More details"
"ENSG00000128944","KNSTRN","1","positive","More details"
"ENSG00000129173","E2F8","1","positive","More details"
"ENSG00000129195","PIMREG","1","positive","More details"
"ENSG00000129534","MIS18BP1","1","positive","More details"
"ENSG00000130311","DDA1","1","positive","More details"
"ENSG00000130770","ATP5IF1","1","positive","More details"
"ENSG00000130787","HIP1R","1","positive","More details"
"ENSG00000131148","EMC8","1","positive","More details"
"ENSG00000131747","TOP2A","1","positive","More details"
"ENSG00000132341","RAN","1","positive","More details"
"ENSG00000132432","SEC61G","1","positive","More details"
"ENSG00000132436","FIGNL1","1","positive","More details"
"ENSG00000133612","AGAP3","1","positive","More details"
"ENSG00000134201","GSTM5","1","positive","More details"
"ENSG00000134222","PSRC1","1","positive","More details"
"ENSG00000134291","TMEM106C","1","positive","More details"
"ENSG00000134321","RSAD2","1","positive","More details"
"ENSG00000135241","PNPLA8","1","positive","More details"
"ENSG00000135451","TROAP","1","positive","More details"
"ENSG00000136108","CKAP2","1","positive","More details"
"ENSG00000136238","RAC1","1","positive","More details"
"ENSG00000136928","GABBR2","1","positive","More details"
"ENSG00000136938","ANP32B","1","positive","More details"
"ENSG00000137288","UQCC2","1","positive","More details"
"ENSG00000137807","KIF23","1","positive","More details"
"ENSG00000137812","KNL1","1","positive","More details"
"ENSG00000138160","KIF11","1","positive","More details"
"ENSG00000138182","KIF20B","1","positive","More details"
"ENSG00000138326","RPS24","1","positive","More details"
"ENSG00000138495","COX17","1","positive","More details"
"ENSG00000138778","CENPE","1","positive","More details"
"ENSG00000139734","DIAPH3","1","positive","More details"
"ENSG00000140525","FANCI","1","positive","More details"
"ENSG00000141552","ANAPC11","1","positive","More details"
"ENSG00000141971","MVB12A","1","positive","More details"
"ENSG00000142230","SAE1","1","positive","More details"
"ENSG00000142546","NOSIP","1","positive","More details"
"ENSG00000143158","MPC2","1","positive","More details"
"ENSG00000143228","NUF2","1","positive","More details"
"ENSG00000144320","LNPK","1","positive","More details"
"ENSG00000145293","ENOPH1","1","positive","More details"
"ENSG00000147155","EBP","1","positive","More details"
"ENSG00000147804","SLC39A4","1","positive","More details"
"ENSG00000149136","SSRP1","1","positive","More details"
"ENSG00000151466","SCLT1","1","positive","More details"
"ENSG00000151725","CENPU","1","positive","More details"
"ENSG00000152078","TMEM56","1","positive","More details"
"ENSG00000152253","SPC25","1","positive","More details"
"ENSG00000153885","KCTD15","1","positive","More details"
"ENSG00000154473","BUB3","1","positive","More details"
"ENSG00000154518","ATP5MC3","1","positive","More details"
"ENSG00000154978","VOPP1","1","positive","More details"
"ENSG00000155629","PIK3AP1","1","positive","More details"
"ENSG00000156136","DCK","1","positive","More details"
"ENSG00000156467","UQCRB","1","positive","More details"
"ENSG00000158201","ABHD3","1","positive","More details"
"ENSG00000158402","CDC25C","1","positive","More details"
"ENSG00000158828","PINK1","1","positive","More details"
"ENSG00000159199","ATP5MC1","1","positive","More details"
"ENSG00000160208","RRP1B","1","positive","More details"
"ENSG00000160791","CCR5","1","positive","More details"
"ENSG00000161800","RACGAP1","1","positive","More details"
"ENSG00000161888","SPC24","1","positive","More details"
"ENSG00000162511","LAPTM5","1","positive","More details"
"ENSG00000162607","USP1","1","positive","More details"
"ENSG00000163017","ACTG2","1","positive","More details"
"ENSG00000163507","CIP2A","1","positive","More details"
"ENSG00000163535","SGO2","1","positive","More details"
"ENSG00000163808","KIF15","1","positive","More details"
"ENSG00000164032","H2AFZ","1","positive","More details"
"ENSG00000164087","POC1A","1","positive","More details"
"ENSG00000164109","MAD2L1","1","positive","More details"
"ENSG00000164758","MED30","1","positive","More details"
"ENSG00000165168","CYBB","1","positive","More details"
"ENSG00000165264","NDUFB6","1","positive","More details"
"ENSG00000165457","FOLR2","1","positive","More details"
"ENSG00000165480","SKA3","1","positive","More details"
"ENSG00000165496","RPL10L","1","positive","More details"
"ENSG00000165501","LRR1","1","positive","More details"
"ENSG00000165732","DDX21","1","positive","More details"
"ENSG00000165916","PSMC3","1","positive","More details"
"ENSG00000166508","MCM7","1","positive","More details"
"ENSG00000166801","FAM111A","1","positive","More details"
"ENSG00000166803","PCLAF","1","positive","More details"
"ENSG00000167325","RRM1","1","positive","More details"
"ENSG00000167553","TUBA1C","1","positive","More details"
"ENSG00000168028","RPSA","1","positive","More details"
