"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000159199","ATP5MC1","1","positive","More details"
"ENSG00000159403","C1R","1","positive","More details"
"ENSG00000160213","CSTB","1","positive","More details"
"ENSG00000161677","JOSD2","1","positive","More details"
"ENSG00000163281","GNPDA2","1","positive","More details"
"ENSG00000163312","HELQ","1","positive","More details"
"ENSG00000163399","ATP1A1","1","positive","More details"
"ENSG00000163472","TMEM79","1","positive","More details"
"ENSG00000163923","RPL39L","1","positive","More details"
"ENSG00000164096","C4orf3","1","positive","More details"
"ENSG00000164587","RPS14","1","positive","More details"
"ENSG00000165125","TRPV6","1","positive","More details"
"ENSG00000165264","NDUFB6","1","positive","More details"
"ENSG00000165474","GJB2","1","positive","More details"
"ENSG00000166033","HTRA1","1","positive","More details"
"ENSG00000166148","AVPR1A","1","positive","More details"
"ENSG00000166441","RPL27A","1","positive","More details"
"ENSG00000166510","CCDC68","1","positive","More details"
"ENSG00000166598","HSP90B1","1","positive","More details"
"ENSG00000166741","NNMT","1","positive","More details"
"ENSG00000166794","PPIB","1","positive","More details"
"ENSG00000166920","C15orf48","1","positive","More details"
"ENSG00000167526","RPL13","1","positive","More details"
"ENSG00000167552","TUBA1A","1","positive","More details"
"ENSG00000168028","RPSA","1","positive","More details"
"ENSG00000169083","AR","1","positive","More details"
"ENSG00000170348","TMED10","1","positive","More details"
"ENSG00000170442","KRT86","1","positive","More details"
"ENSG00000170759","KIF5B","1","positive","More details"
"ENSG00000170779","CDCA4","1","positive","More details"
"ENSG00000170889","RPS9","1","positive","More details"
"ENSG00000170899","GSTA4","1","positive","More details"
"ENSG00000171227","TMEM37","1","positive","More details"
"ENSG00000171863","RPS7","1","positive","More details"
"ENSG00000172270","BSG","1","positive","More details"
"ENSG00000172500","FIBP","1","positive","More details"
"ENSG00000172809","RPL38","1","positive","More details"
"ENSG00000173272","MZT2A","1","positive","More details"
"ENSG00000173432","SAA1","1","positive","More details"
"ENSG00000175899","A2M","1","positive","More details"
"ENSG00000177556","ATOX1","1","positive","More details"
"ENSG00000177697","CD151","1","positive","More details"
"ENSG00000178209","PLEC","1","positive","More details"
"ENSG00000178999","AURKB","1","positive","More details"
"ENSG00000179862","CITED4","1","positive","More details"
"ENSG00000180185","FAHD1","1","positive","More details"
"ENSG00000181409","AATK","1","positive","More details"
"ENSG00000181617","FDCSP","1","positive","More details"
"ENSG00000182240","BACE2","1","positive","More details"
"ENSG00000182492","BGN","1","positive","More details"
"ENSG00000182718","ANXA2","1","positive","More details"
"ENSG00000182759","MAFA","1","positive","More details"
"ENSG00000182774","RPS17","1","positive","More details"
"ENSG00000184500","PROS1","1","positive","More details"
"ENSG00000184515","BEX5","1","positive","More details"
"ENSG00000184831","APOO","1","positive","More details"
"ENSG00000184990","SIVA1","1","positive","More details"
"ENSG00000185130","HIST1H2BL","1","positive","More details"
"ENSG00000185479","KRT6B","1","positive","More details"
"ENSG00000185567","AHNAK2","1","positive","More details"
"ENSG00000186847","KRT14","1","positive","More details"
"ENSG00000187193","MT1X","1","positive","More details"
"ENSG00000187689","AMTN","1","positive","More details"
"ENSG00000187840","EIF4EBP1","1","positive","More details"
"ENSG00000188229","TUBB4B","1","positive","More details"
"ENSG00000188846","RPL14","1","positive","More details"
"ENSG00000189221","MAOA","1","positive","More details"
"ENSG00000189366","ALG1L","1","positive","More details"
"ENSG00000196230","TUBB","1","positive","More details"
"ENSG00000196262","PPIA","1","positive","More details"
"ENSG00000196754","S100A2","1","positive","More details"
"ENSG00000196924","FLNA","1","positive","More details"
"ENSG00000197070","ARRDC1","1","positive","More details"
"ENSG00000197586","ENTPD6","1","positive","More details"
"ENSG00000197721","CR1L","1","positive","More details"
"ENSG00000197756","RPL37A","1","positive","More details"
"ENSG00000197956","S100A6","1","positive","More details"
"ENSG00000198242","RPL23A","1","positive","More details"
"ENSG00000198467","TPM2","1","positive","More details"
"ENSG00000198682","PAPSS2","1","positive","More details"
"ENSG00000203760","CENPW","1","positive","More details"
"ENSG00000204262","COL5A2","1","positive","More details"
"ENSG00000205426","KRT81","1","positive","More details"
"ENSG00000205542","TMSB4X","1","positive","More details"
"ENSG00000206075","SERPINB5","1","positive","More details"
"ENSG00000213123","TCTEX1D2","1","positive","More details"
"ENSG00000213397","HAUS7","1","positive","More details"
"ENSG00000213999","MEF2B","1","positive","More details"
"ENSG00000221983","UBA52","1","positive","More details"
