"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000117139","KDM5B","1","positive","More details"
"ENSG00000117560","FASLG","1","positive","More details"
"ENSG00000117632","STMN1","1","positive","More details"
"ENSG00000118960","HS1BP3","1","positive","More details"
"ENSG00000118972","FGF23","1","positive","More details"
"ENSG00000119535","CSF3R","1","positive","More details"
"ENSG00000119655","NPC2","1","positive","More details"
"ENSG00000119669","IRF2BPL","1","positive","More details"
"ENSG00000120156","TEK","1","positive","More details"
"ENSG00000120708","TGFBI","1","positive","More details"
"ENSG00000120875","DUSP4","1","positive","More details"
"ENSG00000120915","EPHX2","1","positive","More details"
"ENSG00000121716","PILRB","1","positive","More details"
"ENSG00000121966","CXCR4","1","positive","More details"
"ENSG00000122034","GTF3A","1","positive","More details"
"ENSG00000122482","ZNF644","1","positive","More details"
"ENSG00000122483","CCDC18","1","positive","More details"
"ENSG00000122545","SEPT7","1","positive","More details"
"ENSG00000122691","TWIST1","1","positive","More details"
"ENSG00000123080","CDKN2C","1","positive","More details"
"ENSG00000123243","ITIH5","1","positive","More details"
"ENSG00000123358","NR4A1","1","positive","More details"
"ENSG00000123360","PDE1B","1","positive","More details"
"ENSG00000124216","SNAI1","1","positive","More details"
"ENSG00000124225","PMEPA1","1","positive","More details"
"ENSG00000124302","CHST8","1","positive","More details"
"ENSG00000124356","STAMBP","1","positive","More details"
"ENSG00000124664","SPDEF","1","positive","More details"
"ENSG00000124701","APOBEC2","1","positive","More details"
"ENSG00000124766","SOX4","1","positive","More details"
"ENSG00000125249","RAP2A","1","positive","More details"
"ENSG00000125378","BMP4","1","positive","More details"
"ENSG00000125398","SOX9","1","positive","More details"
"ENSG00000125534","PPDPF","1","positive","More details"
"ENSG00000125871","MGME1","1","positive","More details"
"ENSG00000126524","SBDS","1","positive","More details"
"ENSG00000128596","CCDC136","1","positive","More details"
"ENSG00000128617","OPN1SW","1","positive","More details"
"ENSG00000128699","ORMDL1","1","positive","More details"
"ENSG00000129535","NRL","1","positive","More details"
"ENSG00000129757","CDKN1C","1","positive","More details"
"ENSG00000129925","TMEM8A","1","positive","More details"
"ENSG00000130066","SAT1","1","positive","More details"
"ENSG00000130402","ACTN4","1","positive","More details"
"ENSG00000130734","ATG4D","1","positive","More details"
"ENSG00000130751","NPAS1","1","positive","More details"
"ENSG00000130821","SLC6A8","1","positive","More details"
"ENSG00000131051","RBM39","1","positive","More details"
"ENSG00000131759","RARA","1","positive","More details"
"ENSG00000132297","HHLA1","1","positive","More details"
"ENSG00000132326","PER2","1","positive","More details"
"ENSG00000132386","SERPINF1","1","positive","More details"
"ENSG00000132470","ITGB4","1","positive","More details"
"ENSG00000132475","H3F3B","1","positive","More details"
"ENSG00000133619","KRBA1","1","positive","More details"
"ENSG00000134215","VAV3","1","positive","More details"
"ENSG00000134376","CRB1","1","positive","More details"
"ENSG00000135046","ANXA1","1","positive","More details"
"ENSG00000135074","ADAM19","1","positive","More details"
"ENSG00000135521","LTV1","1","positive","More details"
"ENSG00000135821","GLUL","1","positive","More details"
"ENSG00000136068","FLNB","1","positive","More details"
"ENSG00000136108","CKAP2","1","positive","More details"
"ENSG00000136193","SCRN1","1","positive","More details"
"ENSG00000136378","ADAMTS7","1","positive","More details"
"ENSG00000136450","SRSF1","1","positive","More details"
"ENSG00000136783","NIPSNAP3A","1","positive","More details"
"ENSG00000136802","LRRC8A","1","positive","More details"
"ENSG00000136810","TXN","1","positive","More details"
"ENSG00000136960","ENPP2","1","positive","More details"
"ENSG00000137133","HINT2","1","positive","More details"
"ENSG00000137154","RPS6","1","positive","More details"
"ENSG00000137714","FDX1","1","positive","More details"
"ENSG00000137942","FNBP1L","1","positive","More details"
"ENSG00000138668","HNRNPD","1","positive","More details"
"ENSG00000138814","PPP3CA","1","positive","More details"
"ENSG00000138829","FBN2","1","positive","More details"
"ENSG00000140450","ARRDC4","1","positive","More details"
"ENSG00000140545","MFGE8","1","positive","More details"
"ENSG00000140983","RHOT2","1","positive","More details"
"ENSG00000140990","NDUFB10","1","positive","More details"
"ENSG00000141522","ARHGDIA","1","positive","More details"
"ENSG00000141682","PMAIP1","1","positive","More details"
"ENSG00000141753","IGFBP4","1","positive","More details"
"ENSG00000142156","COL6A1","1","positive","More details"
"ENSG00000142937","RPS8","1","positive","More details"
"ENSG00000142973","CYP4B1","1","positive","More details"
"ENSG00000143127","ITGA10","1","positive","More details"
"ENSG00000143368","SF3B4","1","positive","More details"
"ENSG00000143436","MRPL9","1","positive","More details"
"ENSG00000143933","CALM2","1","positive","More details"
"ENSG00000144645","OSBPL10","1","positive","More details"
"ENSG00000144668","ITGA9","1","positive","More details"
"ENSG00000145147","SLIT2","1","positive","More details"
"ENSG00000145425","RPS3A","1","positive","More details"
"ENSG00000146083","RNF44","1","positive","More details"
"ENSG00000146221","TCTE1","1","positive","More details"
"ENSG00000146386","ABRACL","1","positive","More details"
"ENSG00000147113","CXorf36","1","positive","More details"
"ENSG00000147465","STAR","1","positive","More details"
"ENSG00000147570","DNAJC5B","1","positive","More details"
"ENSG00000147604","RPL7","1","positive","More details"
"ENSG00000148180","GSN","1","positive","More details"
"ENSG00000148339","SLC25A25","1","positive","More details"
"ENSG00000148344","PTGES","1","positive","More details"
"ENSG00000148826","NKX6-2","1","positive","More details"
"ENSG00000148843","PDCD11","1","positive","More details"
"ENSG00000150093","ITGB1","1","positive","More details"
"ENSG00000151287","TEX30","1","positive","More details"
"ENSG00000151914","DST","1","positive","More details"
"ENSG00000152082","MZT2B","1","positive","More details"
"ENSG00000152404","CWF19L2","1","positive","More details"
"ENSG00000153179","RASSF3","1","positive","More details"
"ENSG00000153936","HS2ST1","1","positive","More details"
"ENSG00000154027","AK5","1","positive","More details"
"ENSG00000155876","RRAGA","1","positive","More details"
"ENSG00000156113","KCNMA1","1","positive","More details"
"ENSG00000156171","DRAM2","1","positive","More details"
"ENSG00000158470","B4GALT5","1","positive","More details"
"ENSG00000158864","NDUFS2","1","positive","More details"
"ENSG00000159140","SON","1","positive","More details"
"ENSG00000159763","PIP","1","positive","More details"
"ENSG00000160181","TFF2","1","positive","More details"
"ENSG00000160299","PCNT","1","positive","More details"
"ENSG00000161642","ZNF385A","1","positive","More details"
"ENSG00000161955","TNFSF13","1","positive","More details"
"ENSG00000161981","SNRNP25","1","positive","More details"
"ENSG00000161999","JMJD8","1","positive","More details"
"ENSG00000162576","MXRA8","1","positive","More details"
"ENSG00000162631","NTNG1","1","positive","More details"
"ENSG00000162772","ATF3","1","positive","More details"
"ENSG00000162783","IER5","1","positive","More details"
"ENSG00000162849","KIF26B","1","positive","More details"
"ENSG00000163041","H3F3A","1","positive","More details"
"ENSG00000163344","PMVK","1","positive","More details"
"ENSG00000163399","ATP1A1","1","positive","More details"
"ENSG00000163564","PYHIN1","1","positive","More details"
"ENSG00000163636","PSMD6","1","positive","More details"
