"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000105974","CAV1","1","positive","More details"
"ENSG00000106733","NMRK1","1","positive","More details"
"ENSG00000107438","PDLIM1","1","positive","More details"
"ENSG00000108469","RECQL5","1","positive","More details"
"ENSG00000108622","ICAM2","1","positive","More details"
"ENSG00000108960","MMD","1","positive","More details"
"ENSG00000109066","TMEM104","1","positive","More details"
"ENSG00000109272","PF4V1","1","positive","More details"
"ENSG00000109321","AREG","1","positive","More details"
"ENSG00000110324","IL10RA","1","positive","More details"
"ENSG00000111011","RSRC2","1","positive","More details"
"ENSG00000111252","SH2B3","1","positive","More details"
"ENSG00000111348","ARHGDIB","1","positive","More details"
"ENSG00000111424","VDR","1","positive","More details"
"ENSG00000111912","NCOA7","1","positive","More details"
"ENSG00000111913","RIPOR2","1","positive","More details"
"ENSG00000112576","CCND3","1","positive","More details"
"ENSG00000113140","SPARC","1","positive","More details"
"ENSG00000113924","HGD","1","positive","More details"
"ENSG00000115009","CCL20","1","positive","More details"
"ENSG00000115282","TTC31","1","positive","More details"
"ENSG00000115758","ODC1","1","positive","More details"
"ENSG00000115956","PLEK","1","positive","More details"
"ENSG00000116473","RAP1A","1","positive","More details"
"ENSG00000116717","GADD45A","1","positive","More details"
"ENSG00000116741","RGS2","1","positive","More details"
"ENSG00000117155","SSX2IP","1","positive","More details"
"ENSG00000117425","PTCH2","1","positive","More details"
"ENSG00000117592","PRDX6","1","positive","More details"
"ENSG00000118407","FILIP1","1","positive","More details"
"ENSG00000118515","SGK1","1","positive","More details"
"ENSG00000118855","MFSD1","1","positive","More details"
"ENSG00000119242","CCDC92","1","positive","More details"
"ENSG00000119684","MLH3","1","positive","More details"
"ENSG00000119862","LGALSL","1","positive","More details"
"ENSG00000120279","MYCT1","1","positive","More details"
"ENSG00000120438","TCP1","1","positive","More details"
"ENSG00000120594","PLXDC2","1","positive","More details"
"ENSG00000120690","ELF1","1","positive","More details"
"ENSG00000120694","HSPH1","1","positive","More details"
"ENSG00000120738","EGR1","1","positive","More details"
"ENSG00000120885","CLU","1","positive","More details"
"ENSG00000122643","NT5C3A","1","positive","More details"
"ENSG00000122705","CLTA","1","positive","More details"
"ENSG00000122786","CALD1","1","positive","More details"
"ENSG00000122861","PLAU","1","positive","More details"
"ENSG00000122862","SRGN","1","positive","More details"
"ENSG00000123091","RNF11","1","positive","More details"
"ENSG00000123610","TNFAIP6","1","positive","More details"
"ENSG00000123739","PLA2G12A","1","positive","More details"
"ENSG00000124098","FAM210B","1","positive","More details"
"ENSG00000124172","ATP5F1E","1","positive","More details"
"ENSG00000124491","F13A1","1","positive","More details"
"ENSG00000124688","MAD2L1BP","1","positive","More details"
"ENSG00000124766","SOX4","1","positive","More details"
"ENSG00000124795","DEK","1","positive","More details"
"ENSG00000125037","EMC3","1","positive","More details"
"ENSG00000125347","IRF1","1","positive","More details"
"ENSG00000125657","TNFSF9","1","positive","More details"
"ENSG00000125740","FOSB","1","positive","More details"
"ENSG00000125744","RTN2","1","positive","More details"
"ENSG00000125810","CD93","1","positive","More details"
"ENSG00000125898","FAM110A","1","positive","More details"
"ENSG00000125952","MAX","1","positive","More details"
"ENSG00000125998","FAM83C","1","positive","More details"
"ENSG00000126243","LRFN3","1","positive","More details"
"ENSG00000126882","FAM78A","1","positive","More details"
"ENSG00000127314","RAP1B","1","positive","More details"
"ENSG00000127666","TICAM1","1","positive","More details"
"ENSG00000127824","TUBA4A","1","positive","More details"
"ENSG00000128016","ZFP36","1","positive","More details"
"ENSG00000128245","YWHAH","1","positive","More details"
"ENSG00000128266","GNAZ","1","positive","More details"
"ENSG00000128294","TPST2","1","positive","More details"
"ENSG00000128309","MPST","1","positive","More details"
"ENSG00000128340","RAC2","1","positive","More details"
"ENSG00000128342","LIF","1","positive","More details"
"ENSG00000128609","NDUFA5","1","positive","More details"
"ENSG00000128739","SNRPN","1","positive","More details"
"ENSG00000129226","CD68","1","positive","More details"
"ENSG00000129355","CDKN2D","1","positive","More details"
"ENSG00000130032","PRRG3","1","positive","More details"
"ENSG00000130066","SAT1","1","positive","More details"
"ENSG00000130429","ARPC1B","1","positive","More details"
"ENSG00000130522","JUND","1","positive","More details"
"ENSG00000130830","MPP1","1","positive","More details"
"ENSG00000131981","LGALS3","1","positive","More details"
"ENSG00000132002","DNAJB1","1","positive","More details"
"ENSG00000132383","RPA1","1","positive","More details"
"ENSG00000132475","H3F3B","1","positive","More details"
"ENSG00000132819","RBM38","1","positive","More details"
"ENSG00000132970","WASF3","1","positive","More details"
"ENSG00000133193","FAM104A","1","positive","More details"
"ENSG00000133639","BTG1","1","positive","More details"
"ENSG00000133789","SWAP70","1","positive","More details"
"ENSG00000135070","ISCA1","1","positive","More details"
"ENSG00000135218","CD36","1","positive","More details"
"ENSG00000135334","AKIRIN2","1","positive","More details"
"ENSG00000135821","GLUL","1","positive","More details"
"ENSG00000135838","NPL","1","positive","More details"
"ENSG00000135926","TMBIM1","1","positive","More details"
"ENSG00000136098","NEK3","1","positive","More details"
"ENSG00000136156","ITM2B","1","positive","More details"
"ENSG00000136527","TRA2B","1","positive","More details"
"ENSG00000136643","RPS6KC1","1","positive","More details"
"ENSG00000136826","KLF4","1","positive","More details"
"ENSG00000136877","FPGS","1","positive","More details"
"ENSG00000136929","HEMGN","1","positive","More details"
"ENSG00000137198","GMPR","1","positive","More details"
"ENSG00000137331","IER3","1","positive","More details"
"ENSG00000138449","SLC40A1","1","positive","More details"
"ENSG00000138757","G3BP2","1","positive","More details"
"ENSG00000139211","AMIGO2","1","positive","More details"
"ENSG00000139725","RHOF","1","positive","More details"
"ENSG00000140299","BNIP2","1","positive","More details"
"ENSG00000140450","ARRDC4","1","positive","More details"
"ENSG00000141873","SLC39A3","1","positive","More details"
"ENSG00000142227","EMP3","1","positive","More details"
"ENSG00000142669","SH3BGRL3","1","positive","More details"
"ENSG00000143363","PRUNE1","1","positive","More details"
"ENSG00000143384","MCL1","1","positive","More details"
"ENSG00000143622","RIT1","1","positive","More details"
"ENSG00000143878","RHOB","1","positive","More details"
"ENSG00000144668","ITGA9","1","positive","More details"
"ENSG00000144746","ARL6IP5","1","positive","More details"
"ENSG00000144893","MED12L","1","positive","More details"
"ENSG00000145331","TRMT10A","1","positive","More details"
"ENSG00000145335","SNCA","1","positive","More details"
"ENSG00000146278","PNRC1","1","positive","More details"
"ENSG00000146834","MEPCE","1","positive","More details"
"ENSG00000147394","ZNF185","1","positive","More details"
"ENSG00000148175","STOM","1","positive","More details"
"ENSG00000148484","RSU1","1","positive","More details"
"ENSG00000148834","GSTO1","1","positive","More details"
"ENSG00000148908","RGS10","1","positive","More details"
"ENSG00000149218","ENDOD1","1","positive","More details"
"ENSG00000149231","CCDC82","1","positive","More details"
"ENSG00000149357","LAMTOR1","1","positive","More details"
"ENSG00000149564","ESAM","1","positive","More details"
"ENSG00000149781","FERMT3","1","positive","More details"
"ENSG00000150681","RGS18","1","positive","More details"
"ENSG00000150991","UBC","1","positive","More details"
"ENSG00000151748","SAV1","1","positive","More details"
"ENSG00000151929","BAG3","1","positive","More details"
"ENSG00000152484","USP12","1","positive","More details"
"ENSG00000152518","ZFP36L2","1","positive","More details"
"ENSG00000152601","MBNL1","1","positive","More details"
"ENSG00000152684","PELO","1","positive","More details"
"ENSG00000153234","NR4A2","1","positive","More details"
"ENSG00000154146","NRGN","1","positive","More details"
"ENSG00000154639","CXADR","1","positive","More details"
"ENSG00000156738","MS4A1","1","positive","More details"
"ENSG00000157873","TNFRSF14","1","positive","More details"
"ENSG00000158195","WASF2","1","positive","More details"
"ENSG00000158292","GPR153","1","positive","More details"
"ENSG00000158457","TSPAN33","1","positive","More details"
"ENSG00000158615","PPP1R15B","1","positive","More details"
"ENSG00000158710","TAGLN2","1","positive","More details"
"ENSG00000158856","DMTN","1","positive","More details"
"ENSG00000158869","FCER1G","1","positive","More details"
"ENSG00000159346","ADIPOR1","1","positive","More details"
"ENSG00000160014","CALM3","1","positive","More details"
"ENSG00000160888","IER2","1","positive","More details"
"ENSG00000161011","SQSTM1","1","positive","More details"
"ENSG00000161911","TREML1","1","positive","More details"
"ENSG00000162367","TAL1","1","positive","More details"
"ENSG00000162368","CMPK1","1","positive","More details"
"ENSG00000162399","BSND","1","positive","More details"
"ENSG00000162614","NEXN","1","positive","More details"
"ENSG00000162704","ARPC5","1","positive","More details"
"ENSG00000162722","TRIM58","1","positive","More details"
"ENSG00000162772","ATF3","1","positive","More details"
"ENSG00000162783","IER5","1","positive","More details"
"ENSG00000163041","H3F3A","1","positive","More details"
"ENSG00000163590","PPM1L","1","positive","More details"
"ENSG00000163660","CCNL1","1","positive","More details"
"ENSG00000163736","PPBP","1","positive","More details"
"ENSG00000163737","PF4","1","positive","More details"
"ENSG00000163739","CXCL1","1","positive","More details"
"ENSG00000163879","DNALI1","1","positive","More details"
"ENSG00000163898","LIPH","1","positive","More details"
"ENSG00000164181","ELOVL7","1","positive","More details"
"ENSG00000164924","YWHAZ","1","positive","More details"
"ENSG00000165092","ALDH1A1","1","positive","More details"
"ENSG00000165125","TRPV6","1","positive","More details"
"ENSG00000165233","CARD19","1","positive","More details"
"ENSG00000165434","PGM2L1","1","positive","More details"
"ENSG00000165475","CRYL1","1","positive","More details"
"ENSG00000165583","SSX5","1","positive","More details"
"ENSG00000165682","CLEC1B","1","positive","More details"
"ENSG00000165689","SDCCAG3","1","positive","More details"
"ENSG00000165949","IFI27","1","positive","More details"
"ENSG00000166333","ILK","1","positive","More details"
"ENSG00000166501","PRKCB","1","positive","More details"
"ENSG00000166946","CCNDBP1","1","positive","More details"
"ENSG00000166974","MAPRE2","1","positive","More details"
"ENSG00000167460","TPM4","1","positive","More details"
"ENSG00000167461","RAB8A","1","positive","More details"
"ENSG00000167553","TUBA1C","1","positive","More details"
"ENSG00000167644","C19orf33","1","positive","More details"
"ENSG00000167768","KRT1","1","positive","More details"
"ENSG00000167799","NUDT8","1","positive","More details"
"ENSG00000167977","KCTD5","1","positive","More details"
"ENSG00000167996","FTH1","1","positive","More details"
"ENSG00000168461","RAB31","1","positive","More details"
"ENSG00000168497","CAVIN2","1","positive","More details"
"ENSG00000168802","CHTF8","1","positive","More details"
"ENSG00000168813","ZNF507","1","positive","More details"
"ENSG00000169704","GP9","1","positive","More details"
"ENSG00000169756","LIMS1","1","positive","More details"
"ENSG00000169908","TM4SF1","1","positive","More details"
"ENSG00000171159","C9orf16","1","positive","More details"
"ENSG00000171223","JUNB","1","positive","More details"
"ENSG00000171552","BCL2L1","1","positive","More details"
"ENSG00000172349","IL16","1","positive","More details"
"ENSG00000172551","MUCL1","1","positive","More details"
"ENSG00000172572","PDE3A","1","positive","More details"
"ENSG00000172794","RAB37","1","positive","More details"
"ENSG00000173212","MAB21L3","1","positive","More details"
"ENSG00000173334","TRIB1","1","positive","More details"
"ENSG00000173467","AGR3","1","positive","More details"
"ENSG00000173621","LRFN4","1","positive","More details"
"ENSG00000173660","UQCRH","1","positive","More details"
"ENSG00000175592","FOSL1","1","positive","More details"
"ENSG00000175701","SMIM37","1","positive","More details"
"ENSG00000175854","SWI5","1","positive","More details"
"ENSG00000176170","SPHK1","1","positive","More details"
"ENSG00000177119","ANO6","1","positive","More details"
"ENSG00000177324","BEND2","1","positive","More details"
"ENSG00000177606","JUN","1","positive","More details"
"ENSG00000180573","HIST1H2AC","1","positive","More details"
"ENSG00000180596","HIST1H2BC","1","positive","More details"
"ENSG00000180628","PCGF5","1","positive","More details"
"ENSG00000181104","F2R","1","positive","More details"
"ENSG00000182093","WRB","1","positive","More details"
"ENSG00000182287","AP1S2","1","positive","More details"
"ENSG00000183508","FAM46C","1","positive","More details"
"ENSG00000183621","ZNF438","1","positive","More details"
"ENSG00000183726","TMEM50A","1","positive","More details"
"ENSG00000184007","PTP4A2","1","positive","More details"
"ENSG00000184226","PCDH9","1","positive","More details"
"ENSG00000184500","PROS1","1","positive","More details"
"ENSG00000184602","SNN","1","positive","More details"
"ENSG00000184678","HIST2H2BE","1","positive","More details"
"ENSG00000185022","MAFF","1","positive","More details"
"ENSG00000185245","GP1BA","1","positive","More details"
"ENSG00000185650","ZFP36L1","1","positive","More details"
"ENSG00000185973","TMLHE","1","positive","More details"
"ENSG00000186480","INSIG1","1","positive","More details"
"ENSG00000186787","SPIN2B","1","positive","More details"
"ENSG00000187051","RPS19BP1","1","positive","More details"
"ENSG00000187514","PTMA","1","positive","More details"
"ENSG00000187753","C9orf153","1","positive","More details"
"ENSG00000187987","ZSCAN23","1","positive","More details"
"ENSG00000188536","HBA2","1","positive","More details"
"ENSG00000188921","HACD4","1","positive","More details"
"ENSG00000196565","HBG2","1","positive","More details"
"ENSG00000196924","FLNA","1","positive","More details"
"ENSG00000197261","C6orf141","1","positive","More details"
"ENSG00000197653","DNAH10","1","positive","More details"
"ENSG00000198018","ENTPD7","1","positive","More details"
"ENSG00000198478","SH3BGRL2","1","positive","More details"
"ENSG00000198502","HLA-DRB5","1","positive","More details"
"ENSG00000198805","PNP","1","positive","More details"
"ENSG00000198836","OPA1","1","positive","More details"
"ENSG00000198858","R3HDM4","1","positive","More details"
"ENSG00000198898","CAPZA2","1","positive","More details"
"ENSG00000198924","DCLRE1A","1","positive","More details"
"ENSG00000198948","MFAP3L","1","positive","More details"
"ENSG00000203618","GP1BB","1","positive","More details"
"ENSG00000204256","BRD2","1","positive","More details"
"ENSG00000204310","AGPAT1","1","positive","More details"
"ENSG00000204323","SMIM5","1","positive","More details"
"ENSG00000204388","HSPA1B","1","positive","More details"
"ENSG00000204389","HSPA1A","1","positive","More details"
"ENSG00000204420","MPIG6B","1","positive","More details"
"ENSG00000204428","LY6G5C","1","positive","More details"
"ENSG00000204642","HLA-F","1","positive","More details"
"ENSG00000206172","HBA1","1","positive","More details"
"ENSG00000206503","HLA-A","1","positive","More details"
"ENSG00000212864","RNF208","1","positive","More details"
"ENSG00000228474","OST4","1","positive","More details"
"ENSG00000231925","TAPBP","1","positive","More details"
"ENSG00000232629","HLA-DQB2","1","positive","More details"
"ENSG00000234745","HLA-B","1","positive","More details"
"ENSG00000235453","SMIM27","1","positive","More details"
"ENSG00000237693","IRGM","1","positive","More details"
"ENSG00000240505","TNFRSF13B","1","positive","More details"
"ENSG00000243317","STMP1","1","positive","More details"
"ENSG00000244734","HBB","1","positive","More details"
"ENSG00000256235","SMIM3","1","positive","More details"
"ENSG00000263465","SRSF8","1","positive","More details"
"ENSG00000266412","NCOA4","1","positive","More details"
"ENSG00000268104","SLC6A14","1","positive","More details"
"ENSG00000271503","CCL5","1","positive","More details"
"ENSG00000275993","SIK1B","1","positive","More details"
"ENSG00000276045","ORAI1","1","positive","More details"
"ENSG00000278828","HIST1H3H","1","positive","More details"
"ENSG00000001630","CYP51A1","1","negative","More details"
"ENSG00000002587","HS3ST1","1","negative","More details"
"ENSG00000003400","CASP10","1","negative","More details"
"ENSG00000003756","RBM5","1","negative","More details"
"ENSG00000004478","FKBP4","1","negative","More details"
"ENSG00000004534","RBM6","1","negative","More details"
"ENSG00000005022","SLC25A5","1","negative","More details"
"ENSG00000005075","POLR2J","1","negative","More details"
"ENSG00000005801","ZNF195","1","negative","More details"
"ENSG00000005884","ITGA3","1","negative","More details"
"ENSG00000006042","TMEM98","1","negative","More details"
"ENSG00000006062","MAP3K14","1","negative","More details"
"ENSG00000006534","ALDH3B1","1","negative","More details"
"ENSG00000006555","TTC22","1","negative","More details"
"ENSG00000006740","ARHGAP44","1","negative","More details"
"ENSG00000006756","ARSD","1","negative","More details"
"ENSG00000006837","CDKL3","1","negative","More details"
"ENSG00000007174","DNAH9","1","negative","More details"
