"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000078098","FAP","1","positive","More details"
"ENSG00000079459","FDFT1","1","positive","More details"
"ENSG00000079785","DDX1","1","positive","More details"
"ENSG00000080824","HSP90AA1","1","positive","More details"
"ENSG00000081307","UBA5","1","positive","More details"
"ENSG00000081870","HSPB11","1","positive","More details"
"ENSG00000082515","MRPL22","1","positive","More details"
"ENSG00000084072","PPIE","1","positive","More details"
"ENSG00000084234","APLP2","1","positive","More details"
"ENSG00000085063","CD59","1","positive","More details"
"ENSG00000085871","MGST2","1","positive","More details"
"ENSG00000086598","TMED2","1","positive","More details"
"ENSG00000087086","FTL","1","positive","More details"
"ENSG00000087302","RTRAF","1","positive","More details"
"ENSG00000087502","ERGIC2","1","positive","More details"
"ENSG00000088325","TPX2","1","positive","More details"
"ENSG00000088766","CRLS1","1","positive","More details"
"ENSG00000088986","DYNLL1","1","positive","More details"
"ENSG00000089009","RPL6","1","positive","More details"
"ENSG00000089157","RPLP0","1","positive","More details"
"ENSG00000089163","SIRT4","1","positive","More details"
"ENSG00000089356","FXYD3","1","positive","More details"
"ENSG00000089737","DDX24","1","positive","More details"
"ENSG00000090013","BLVRB","1","positive","More details"
"ENSG00000090266","NDUFB2","1","positive","More details"
"ENSG00000090273","NUDC","1","positive","More details"
"ENSG00000090520","DNAJB11","1","positive","More details"
"ENSG00000092036","HAUS4","1","positive","More details"
"ENSG00000093010","COMT","1","positive","More details"
"ENSG00000095059","DHPS","1","positive","More details"
"ENSG00000095139","ARCN1","1","positive","More details"
"ENSG00000095383","TBC1D2","1","positive","More details"
"ENSG00000096006","CRISP3","1","positive","More details"
"ENSG00000097033","SH3GLB1","1","positive","More details"
"ENSG00000099797","TECR","1","positive","More details"
"ENSG00000100028","SNRPD3","1","positive","More details"
"ENSG00000100030","MAPK1","1","positive","More details"
"ENSG00000100075","SLC25A1","1","positive","More details"
"ENSG00000100138","SNU13","1","positive","More details"
"ENSG00000100216","TOMM22","1","positive","More details"
"ENSG00000100243","CYB5R3","1","positive","More details"
"ENSG00000100297","MCM5","1","positive","More details"
"ENSG00000100316","RPL3","1","positive","More details"
"ENSG00000100321","SYNGR1","1","positive","More details"
"ENSG00000100348","TXN2","1","positive","More details"
"ENSG00000100410","PHF5A","1","positive","More details"
"ENSG00000100442","FKBP3","1","positive","More details"
"ENSG00000100526","CDKN3","1","positive","More details"
"ENSG00000100528","CNIH1","1","positive","More details"
"ENSG00000100567","PSMA3","1","positive","More details"
"ENSG00000100591","AHSA1","1","positive","More details"
"ENSG00000100629","CEP128","1","positive","More details"
"ENSG00000100711","ZFYVE21","1","positive","More details"
"ENSG00000100764","PSMC1","1","positive","More details"
"ENSG00000100902","PSMA6","1","positive","More details"
"ENSG00000101146","RAE1","1","positive","More details"
"ENSG00000101557","USP14","1","positive","More details"
"ENSG00000102007","PLP2","1","positive","More details"
"ENSG00000102030","NAA10","1","positive","More details"
"ENSG00000102054","RBBP7","1","positive","More details"
"ENSG00000102144","PGK1","1","positive","More details"
"ENSG00000103121","CMC2","1","positive","More details"
"ENSG00000103260","METRN","1","positive","More details"
"ENSG00000103275","UBE2I","1","positive","More details"
"ENSG00000104325","DECR1","1","positive","More details"
"ENSG00000104332","SFRP1","1","positive","More details"
"ENSG00000104341","LAPTM4B","1","positive","More details"
"ENSG00000104435","STMN2","1","positive","More details"
"ENSG00000104823","ECH1","1","positive","More details"
"ENSG00000105135","ILVBL","1","positive","More details"
"ENSG00000105171","POP4","1","positive","More details"
"ENSG00000105193","RPS16","1","positive","More details"
"ENSG00000105202","FBL","1","positive","More details"
"ENSG00000105220","GPI","1","positive","More details"
"ENSG00000105393","BABAM1","1","positive","More details"
"ENSG00000105397","TYK2","1","positive","More details"
"ENSG00000105438","KDELR1","1","positive","More details"
"ENSG00000105583","WDR83OS","1","positive","More details"
"ENSG00000105640","RPL18A","1","positive","More details"
"ENSG00000105669","COPE","1","positive","More details"
"ENSG00000105671","DDX49","1","positive","More details"
"ENSG00000105835","NAMPT","1","positive","More details"
"ENSG00000105926","MPP6","1","positive","More details"
"ENSG00000105968","H2AFV","1","positive","More details"
"ENSG00000105997","HOXA3","1","positive","More details"
"ENSG00000106031","HOXA13","1","positive","More details"
"ENSG00000106153","CHCHD2","1","positive","More details"
"ENSG00000106245","BUD31","1","positive","More details"
"ENSG00000106305","AIMP2","1","positive","More details"
"ENSG00000106355","LSM5","1","positive","More details"
"ENSG00000106400","ZNHIT1","1","positive","More details"
"ENSG00000106484","MEST","1","positive","More details"
"ENSG00000106588","PSMA2","1","positive","More details"
"ENSG00000106605","BLVRA","1","positive","More details"
"ENSG00000106615","RHEB","1","positive","More details"
"ENSG00000106628","POLD2","1","positive","More details"
"ENSG00000106636","YKT6","1","positive","More details"
"ENSG00000106733","NMRK1","1","positive","More details"
"ENSG00000107937","GTPBP4","1","positive","More details"
"ENSG00000108298","RPL19","1","positive","More details"
"ENSG00000108468","CBX1","1","positive","More details"
"ENSG00000108561","C1QBP","1","positive","More details"
"ENSG00000108671","PSMD11","1","positive","More details"
"ENSG00000108788","MLX","1","positive","More details"
"ENSG00000108821","COL1A1","1","positive","More details"
"ENSG00000108826","MRPL27","1","positive","More details"
"ENSG00000108828","VAT1","1","positive","More details"
"ENSG00000109171","SLAIN2","1","positive","More details"
"ENSG00000109180","OCIAD1","1","positive","More details"
"ENSG00000109475","RPL34","1","positive","More details"
"ENSG00000109536","FRG1","1","positive","More details"
"ENSG00000109674","NEIL3","1","positive","More details"
"ENSG00000109814","UGDH","1","positive","More details"
"ENSG00000109819","PPARGC1A","1","positive","More details"
"ENSG00000109881","CCDC34","1","positive","More details"
"ENSG00000109919","MTCH2","1","positive","More details"
"ENSG00000109929","SC5D","1","positive","More details"
"ENSG00000110492","MDK","1","positive","More details"
"ENSG00000110536","PTPMT1","1","positive","More details"
"ENSG00000110651","CD81","1","positive","More details"
"ENSG00000110700","RPS13","1","positive","More details"
"ENSG00000110717","NDUFS8","1","positive","More details"
"ENSG00000110955","ATP5F1B","1","positive","More details"
"ENSG00000111142","METAP2","1","positive","More details"
"ENSG00000111237","VPS29","1","positive","More details"
"ENSG00000111341","MGP","1","positive","More details"
"ENSG00000111361","EIF2B1","1","positive","More details"
"ENSG00000111605","CPSF6","1","positive","More details"
"ENSG00000111639","MRPL51","1","positive","More details"
"ENSG00000111669","TPI1","1","positive","More details"
"ENSG00000111676","ATN1","1","positive","More details"
"ENSG00000111678","C12orf57","1","positive","More details"
"ENSG00000111832","RWDD1","1","positive","More details"
"ENSG00000112306","RPS12","1","positive","More details"
"ENSG00000112651","MRPL2","1","positive","More details"
"ENSG00000112699","GMDS","1","positive","More details"
"ENSG00000112984","KIF20A","1","positive","More details"
"ENSG00000113140","SPARC","1","positive","More details"
"ENSG00000113387","SUB1","1","positive","More details"
