"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000103152","MPG","1","positive","More details"
"ENSG00000103534","TMC5","1","positive","More details"
"ENSG00000104047","DTWD1","1","positive","More details"
"ENSG00000104325","DECR1","1","positive","More details"
"ENSG00000104341","LAPTM4B","1","positive","More details"
"ENSG00000104368","PLAT","1","positive","More details"
"ENSG00000104419","NDRG1","1","positive","More details"
"ENSG00000104763","ASAH1","1","positive","More details"
"ENSG00000104765","BNIP3L","1","positive","More details"
"ENSG00000104783","KCNN4","1","positive","More details"
"ENSG00000104870","FCGRT","1","positive","More details"
"ENSG00000105171","POP4","1","positive","More details"
"ENSG00000105220","GPI","1","positive","More details"
"ENSG00000105223","PLD3","1","positive","More details"
"ENSG00000105388","CEACAM5","1","positive","More details"
"ENSG00000105642","KCNN1","1","positive","More details"
"ENSG00000105671","DDX49","1","positive","More details"
"ENSG00000105855","ITGB8","1","positive","More details"
"ENSG00000105926","MPP6","1","positive","More details"
"ENSG00000105974","CAV1","1","positive","More details"
"ENSG00000106028","SSBP1","1","positive","More details"
"ENSG00000106066","CPVL","1","positive","More details"
"ENSG00000106211","HSPB1","1","positive","More details"
"ENSG00000106541","AGR2","1","positive","More details"
"ENSG00000106565","TMEM176B","1","positive","More details"
"ENSG00000106588","PSMA2","1","positive","More details"
"ENSG00000106636","YKT6","1","positive","More details"
"ENSG00000106733","NMRK1","1","positive","More details"
"ENSG00000107159","CA9","1","positive","More details"
"ENSG00000107281","NPDC1","1","positive","More details"
"ENSG00000107372","ZFAND5","1","positive","More details"
"ENSG00000107819","SFXN3","1","positive","More details"
"ENSG00000108298","RPL19","1","positive","More details"
"ENSG00000108469","RECQL5","1","positive","More details"
"ENSG00000108518","PFN1","1","positive","More details"
"ENSG00000108639","SYNGR2","1","positive","More details"
"ENSG00000108679","LGALS3BP","1","positive","More details"
"ENSG00000108828","VAT1","1","positive","More details"
"ENSG00000109099","PMP22","1","positive","More details"
"ENSG00000109321","AREG","1","positive","More details"
"ENSG00000109472","CPE","1","positive","More details"
"ENSG00000109919","MTCH2","1","positive","More details"
"ENSG00000109929","SC5D","1","positive","More details"
"ENSG00000110446","SLC15A3","1","positive","More details"
"ENSG00000110811","P3H3","1","positive","More details"
"ENSG00000110958","PTGES3","1","positive","More details"
"ENSG00000111237","VPS29","1","positive","More details"
"ENSG00000111348","ARHGDIB","1","positive","More details"
"ENSG00000111897","SERINC1","1","positive","More details"
"ENSG00000112079","STK38","1","positive","More details"
"ENSG00000112624","BICRAL","1","positive","More details"
"ENSG00000112651","MRPL2","1","positive","More details"
"ENSG00000113209","PCDHB5","1","positive","More details"
"ENSG00000113248","PCDHB15","1","positive","More details"
"ENSG00000113387","SUB1","1","positive","More details"
"ENSG00000113558","SKP1","1","positive","More details"
"ENSG00000113648","H2AFY","1","positive","More details"
"ENSG00000114023","FAM162A","1","positive","More details"
"ENSG00000115107","STEAP3","1","positive","More details"
"ENSG00000115112","TFCP2L1","1","positive","More details"
"ENSG00000115216","NRBP1","1","positive","More details"
"ENSG00000115233","PSMD14","1","positive","More details"
"ENSG00000115286","NDUFS7","1","positive","More details"
"ENSG00000115306","SPTBN1","1","positive","More details"
"ENSG00000115310","RTN4","1","positive","More details"
"ENSG00000115414","FN1","1","positive","More details"
"ENSG00000115884","SDC1","1","positive","More details"
"ENSG00000115963","RND3","1","positive","More details"
"ENSG00000116120","FARSB","1","positive","More details"
"ENSG00000116209","TMEM59","1","positive","More details"
"ENSG00000116260","QSOX1","1","positive","More details"
"ENSG00000116285","ERRFI1","1","positive","More details"
"ENSG00000116729","WLS","1","positive","More details"
"ENSG00000116898","MRPS15","1","positive","More details"
"ENSG00000117394","SLC2A1","1","positive","More details"
"ENSG00000117450","PRDX1","1","positive","More details"
"ENSG00000117472","TSPAN1","1","positive","More details"
"ENSG00000117525","F3","1","positive","More details"
"ENSG00000117868","ESYT2","1","positive","More details"
"ENSG00000117984","CTSD","1","positive","More details"
"ENSG00000118246","FASTKD2","1","positive","More details"
"ENSG00000118523","CTGF","1","positive","More details"
"ENSG00000118705","RPN2","1","positive","More details"
"ENSG00000119396","RAB14","1","positive","More details"
"ENSG00000119421","NDUFA8","1","positive","More details"
"ENSG00000119630","PGF","1","positive","More details"
"ENSG00000119655","NPC2","1","positive","More details"
"ENSG00000120333","MRPS14","1","positive","More details"
"ENSG00000120675","DNAJC15","1","positive","More details"
"ENSG00000120875","DUSP4","1","positive","More details"
"ENSG00000121966","CXCR4","1","positive","More details"
"ENSG00000122705","CLTA","1","positive","More details"
"ENSG00000122863","CHST3","1","positive","More details"
"ENSG00000122884","P4HA1","1","positive","More details"
"ENSG00000122971","ACADS","1","positive","More details"
