HGNC.approved.symbol,mean,total,tech,bio,p.value,FDR
GFI1B,4.61836178072573,29.9145450574801,14.214565168373,15.6999798891071,0.000133218729444986,0.0338805091871837
PRKCB,4.83967059786626,27.2083034625108,14.5930866830294,12.6152167794814,0.00216152445997398,0.137860345752366
PADI4,4.03584173547863,24.682966889868,13.0538428295213,11.6291240603467,0.00163737722619706,0.120017306833639
MAX,6.87549259496955,25.0911559047773,16.4670536595539,8.62410224522342,0.0419243042030788,0.680628951872131
GADD45A,4.20982862770087,21.8658753831154,13.4247514939811,8.44112388913432,0.0189672710630608,0.457731047620107
ARRB1,4.34390957316427,21.4640894068642,13.6976814473755,7.76640795948873,0.0306304893814617,0.584747651515484
APOBEC3C,2.54000228756099,15.5056729989977,9.25732351475418,6.24834948424351,0.0129391912001838,0.374873958795912
HDAC5,4.26401415585729,19.4300748693912,13.5366183401952,5.893456529196,0.0753379938050101,0.874040552081136
PRKCD,4.12980636092609,19.1419285258304,13.2562557363936,5.88567278943679,0.0713780324809286,0.853408441908315
GSTP1,4.79337336203613,20.2415958829521,14.5163320846738,5.72526379827831,0.0964739900597849,0.957576305287714
JAK2,4.17902471443503,18.9891975240426,13.3602771082127,5.62892041582991,0.0821495938048632,0.897523148332999
MBTD1,4.08980912946574,18.7554906731781,13.1708080808071,5.58468259237092,0.0808051304578274,0.893119638579165
FOXO1,2.39314879776139,14.3784772402114,8.82243045043278,5.55604678977858,0.0188164397992937,0.45563214589729
ACTR3B,3.50722120432955,17.205447364052,11.8328749676695,5.37257239638252,0.0669673004343668,0.830267851882456
CHD1L,4.25298682588591,18.7046606498468,13.514064211703,5.19059643814379,0.10242317512917,0.972086089537205
ZBTB16,3.20412772677112,16.261564980129,11.0782540478271,5.18331093230195,0.0612381117575956,0.799029446276461
IKZF1,1.52639266316132,10.7396096844727,5.93041011791076,4.80919956656195,0.00371551320555292,0.189578029636056
CDK17,3.81495583753152,17.1463452507069,12.5582612258021,4.58808402490481,0.113910837652428,0.999076559929022
ING4,2.94337319165245,14.9375039607538,10.3910990766379,4.54640488411592,0.0743316221555343,0.869666697810194
KAT2B,3.60210180530763,16.4520504641722,12.0602268804241,4.39182358374812,0.114667561332439,0.999076559929022
CDK1,1.71239928467712,10.9689206640588,6.59791598963501,4.37100467442376,0.0143772815644993,0.396663083895198
TOP2A,1.44678693275468,9.99226982602011,5.64081529732094,4.35145452869916,0.00544133451489886,0.231864588309486
EID1,4.38946105545775,18.1058776216624,13.7877215546432,4.31815606701922,0.150608796547777,0.999076559929022
LBR,4.17903732906431,17.6510249131604,13.3603036180057,4.29072129515475,0.144544727888737,0.999076559929022
HDAC3,3.24727143341641,15.3912155264811,11.1884848856987,4.20273064078239,0.107498183560166,0.984869641505473
ATF7IP,5.71044757101793,19.8548137523585,15.7307649001593,4.12404885219921,0.19341039547375,0.999076559929022
SMYD3,1.91824395151582,11.4269641539847,7.31736102680106,4.10960312718368,0.0318765369941029,0.599963122500342
HMGN4,2.28261345117548,12.5415182969535,8.48702732772077,4.05449096923275,0.0574016926274894,0.781426784459045
RBBP7,3.75993455801895,16.3230359084773,12.4311775148358,3.89185839364151,0.15069843687338,0.999076559929022
ATAD2,1.9059746040053,10.8147483613081,7.27528489704591,3.53946346426223,0.0541436839075607,0.760256273538329
SATB1,1.96823056226213,11.0000521961836,7.48700394254314,3.51304825364043,0.060705357482476,0.796590542675857
SENP1,2.38697368609515,12.3123981892803,8.80387454235679,3.50852364692347,0.0941703179828484,0.946231062125357
BRE,3.50805219967815,15.3399164840901,11.8348834820815,3.50503300200865,0.164131375715001,0.999076559929022
VDR,2.42320939454675,12.4148627270722,8.91243099264207,3.50243173443014,0.0972770250103937,0.957576305287714
CHD9,5.56658706543833,19.0571623164405,15.5844528837338,3.47270943270666,0.230999085662314,0.999076559929022
HDAC6,2.49532763885055,12.4667962491544,9.12628157050051,3.34051467865394,0.113473275406578,0.999076559929022
ANP32E,2.43434717905603,12.2281750661704,8.94563800536678,3.28253706080365,0.112896555637804,0.999076559929022
BCOR,2.49193340589862,12.3954323160989,9.11627885548216,3.27915346061677,0.117541060055658,0.999076559929022
UBR5,4.68861827386344,17.6128517135957,14.3379592499558,3.27489246363991,0.225435085106134,0.999076559929022
KDM3A,4.36296720277814,16.9906485469614,13.735563471456,3.25508507550536,0.217027566586023,0.999076559929022
ASF1B,1.60410252347814,9.33117601240729,6.21089784788306,3.12027816452422,0.0486217729639856,0.722758081228466
USP12,4.94373103438831,17.8429869243269,14.7608025257631,3.0821843985638,0.245326277056408,0.999076559929022
JMJD1C,5.36648195585544,18.2700585565786,15.3499476554167,2.92011090116186,0.265014117571037,0.999076559929022
GADD45G,2.13923015725999,10.9485017293051,8.04159419998671,2.90690752931839,0.116386185862196,0.999076559929022
CTR9,4.16040851061109,16.2086238506588,13.3210813061891,2.88754254446974,0.23713947465823,0.999076559929022
TET2,4.80331576041231,17.4200450272666,14.5328545737136,2.88719045355301,0.255979011354546,0.999076559929022
POLE3,4.01752965696223,15.8677823506231,13.0137285722277,2.85405377839542,0.234551601235227,0.999076559929022
GADD45B,2.5437931821258,12.0914390027762,9.2683915526185,2.8230474501577,0.157342961914792,0.999076559929022
TLK1,7.15041564794477,19.3486108134587,16.537197635311,2.81141317814773,0.287336482475451,0.999076559929022
PCNA,1.98384170365542,10.350335766539,7.53958500901088,2.81075075752815,0.109236500472596,0.992067413445992
PDP1,2.35148241661989,11.506031061926,8.69683427388506,2.80919678804089,0.143153395434007,0.999076559929022
