HGNC.approved.symbol,mean,total,tech,bio,p.value,FDR
TOP2A,4.56676100196391,17.5538692990044,6.21616670150046,11.337702597504,7.41693259726188e-15,3.0443031624605e-12
GSTP1,2.67263056698068,17.4907894755767,6.29002913644915,11.2007603391275,3.02748757504723e-14,1.13612958727022e-11
CDK1,3.81331885920053,13.9324422551375,6.55486253329396,7.37757972184355,1.04370486481804e-06,0.000121853702639578
AURKA,4.0168646538908,13.054213888489,6.49295456747367,6.56125932101536,1.02212126820976e-05,0.00087175661021436
ATAD2,5.65550964048332,11.8195880650426,5.41370751246789,6.40588055257469,3.04627293351344e-07,3.98122107912759e-05
UBE2T,5.17720513968562,11.6219108804683,5.7896011188837,5.83230976158456,1.08445457858456e-05,0.000913062093744804
ANP32E,5.96082455624699,10.757693834658,5.17419177873918,5.58350205591885,2.69329174047389e-06,0.000275292142920267
CST6,3.35516307267499,11.770302169682,6.58595314354404,5.18434902613798,0.000452526109051297,0.0222610643420759
CDH1,3.79803291106331,11.5597601322332,6.55835770286235,5.00140242937089,0.000652545970624202,0.0300732107058371
ASF1B,3.7614777678645,11.5338937043301,6.5662943077677,4.96759939656237,0.000713163141433957,0.0323001423488425
PCNA,6.23030352303628,9.70045146686402,4.97294368099531,4.7275077858687,3.06701653168811e-05,0.00228884821792372
ESR1,2.08601636198102,10.3572284294608,5.6385034113108,4.71872501814996,0.000209373416366929,0.0116279709821202
PADI2,3.8564201650321,11.186803569977,6.54386521526169,4.64293835471535,0.00139010125507654,0.0545838114642836
CDC6,3.16258216389262,10.6015999678298,6.5465107555049,4.05508921232492,0.00451003049283135,0.131784194678739
AURKB,2.74742055021091,10.2832398680422,6.3447407953098,3.93849907273242,0.00443702451772285,0.130230387772136
PBK,3.0542145805194,10.2839356465123,6.5096902387297,3.77424540778261,0.00725890008849952,0.183350044639225
BUB1,2.81781048906278,10.1333295485719,6.39096618351476,3.74236336505717,0.0067828090130867,0.174342084114261
TLK1,6.34658403781585,8.25401259838202,4.89115986455008,3.36285273383194,0.00187525067799285,0.0679566616612913
BARD1,5.4241107203852,8.89185163714044,5.59709367601663,3.29475796112381,0.00654030678272091,0.171293438559617
GADD45B,5.07668067447939,9.13090945465968,5.86504197020272,3.26586748445696,0.00945173435869552,0.217219943240959
ELP2,5.93963540103793,8.29118241816171,5.19055880897596,3.10062360918575,0.00589686745938942,0.158677648703062
DTX3L,5.39201784406712,8.71484991910479,5.62235972677048,3.09249019233431,0.0102041775255372,0.231679809350335
APOBEC3B,3.09162205667249,9.52678980405678,6.5235784196292,3.00321138442758,0.0261455311342664,0.430606242862723
MGA,2.71980774613359,9.24490619985728,6.32519672594765,2.91970947390963,0.0258306474558882,0.426221908303221
FOXA1,5.56037313110542,8.3456121742841,5.48933161566588,2.85628055861822,0.0141340855703313,0.290295773140761
UBR7,4.78258363562748,8.90723451446634,6.07481391058044,2.8324206038859,0.0246738092469607,0.414952813769789
NEK6,4.23141093376709,9.18269508253509,6.40263876034157,2.78005632219351,0.0335907778208675,0.505092239597235
PHF19,4.14281569997419,9.20934930862366,6.44312894125698,2.76622036736668,0.0351555098189051,0.517947328902309
CIT,2.86943374934436,9.11469834413985,6.42160504023273,2.69309330390711,0.0385336491128179,0.546966178949517
HJURP,2.50091859156317,8.78323859516177,6.14167416487162,2.64156443029014,0.0349024914407334,0.517119880234983
SFMBT1,4.37376623345974,8.96345593094077,6.32921698174159,2.63423894919918,0.0396666029108487,0.55562086368379
KDM5B,6.29097157347299,7.5159105483989,4.93011914474053,2.58579140365837,0.0135157353932533,0.281335065804572
RNF2,4.22485900423718,8.9769988291549,6.40576891835671,2.57122991079819,0.0453102329756232,0.593888263324778
DAPK3,5.03612761682521,8.40847559446612,5.89499655855348,2.51347903591264,0.0361321213510622,0.526430779684444
HR,2.69319234756168,8.81481183506053,6.30563967453342,2.50917216052711,0.0467209267964346,0.603589359473193
C14orf169,3.91566891056538,8.99040487211419,6.52654824517177,2.46385662694241,0.0557525475320471,0.667296681940506
RBBP5,5.07949858513352,8.25505400653258,5.86295266799573,2.39210133853685,0.0427162946383923,0.577695300119987
RAD51,2.74426313922302,8.70676769733363,6.34254489170049,2.36422280563315,0.0580435561389524,0.682213054234515
SET,8.34445010590098,6.25898024459816,4.00325759952512,2.25572264507304,0.00876491027746582,0.207578740350465
EYA3,3.50371502883172,8.75817244470334,6.59410351592976,2.16406892877359,0.0832552075757113,0.81588261338063
UHRF1,3.90823888152236,8.66967240216525,6.52883442254947,2.14083797961578,0.0834344820118439,0.816586180049434
CTBP1,5.38795924602158,7.72568423165651,5.62554679777765,2.10013743387886,0.0577674801584128,0.68112794666516
RASSF1,4.27674258976629,8.47634648507496,6.3803258557037,2.09602062937126,0.0830418484147748,0.815318314170733
TP53,3.03527507162243,8.56782973013685,6.50218193108824,2.06564779904861,0.0902443698078483,0.848775277652119
MAPKAPK3,3.17705875265477,8.51810691551092,6.55055518417882,1.9675517313321,0.102715110342617,0.899407744530073
VRK1,3.74489238256883,8.51769377328028,6.56957135511643,1.94812241816385,0.10563176717307,0.91131431679598
AEBP2,3.83707750755,8.42286598052173,6.5489222140668,1.87394376645493,0.113852818999824,0.937260953402182
TONSL,3.04942514623377,8.38092657677796,6.50782932602633,1.87309725075164,0.112496344399384,0.932281209664954
LBR,4.91794188855971,7.83876037746338,5.98017224842049,1.85858812904288,0.0950656609083205,0.868017111309207
TLE2,4.0237396714293,8.3302812162298,6.49051749091718,1.83976372531262,0.116054331596724,0.944574917405655
